****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
         1     1.000     0.391     0.000     0.000    -2.015     0.391     1.000  1034.809 99999.304    45.000    10.000     0.020     1.000
         2     1.000     0.080     0.000     0.000    -2.016     0.393     1.000  1034.809 99995.293    44.999    10.000     0.020     1.000
         3     1.020     0.081     0.000     0.001    -2.018     0.442     1.020  1034.592 98014.028    44.727    10.013     0.020     1.000
         4     1.041     0.078     0.000     0.001    -2.020     0.485     1.041  1034.379 96072.418    44.460    10.026     0.020     1.000
         5     1.062     0.076     0.000     0.001    -2.022     0.527     1.062  1034.170 94169.655    44.198    10.038     0.020     1.000
         6     1.083     0.074     0.000     0.001    -2.024     0.568     1.083  1033.966 92304.945    43.941    10.050     0.020     1.000
         7     1.105     0.072     0.000     0.001    -2.026     0.607     1.105  1033.766 90477.514    43.689    10.062     0.020     1.000
         8     1.128     0.071     0.000     0.001    -2.028     0.645     1.128  1033.569 88686.602    43.442    10.074     0.020     1.000
         9     1.150     0.071     0.000     0.001    -2.031     0.682     1.150  1033.377 86931.465    43.200    10.086     0.020     1.000
        10     1.174     0.070     0.000     0.001    -2.033     0.719     1.174  1033.188 85211.378    42.963    10.097     0.020     1.000
        11     1.197     0.070     0.000     0.001    -2.035     0.755     1.197  1033.004 83525.626    42.731    10.108     0.020     1.000
        12     1.221     0.069     0.000     0.002    -2.038     0.790     1.221  1032.822 81873.514    42.503    10.119     0.020     1.000
        13     1.246     0.069     0.000     0.002    -2.040     0.825     1.246  1032.645 80254.358    42.279    10.129     0.020     1.000
        14     1.271     0.069     0.000     0.002    -2.042     0.859     1.271  1032.471 78667.490    42.060    10.140     0.020     1.000
        15     1.297     0.069     0.000     0.002    -2.045     0.894     1.297  1032.301 77112.257    41.845    10.150     0.020     1.000
        16     1.323     0.069     0.000     0.002    -2.047     0.928     1.323  1032.134 75588.016    41.635    10.160     0.020     1.000
        17     1.350     0.069     0.000     0.003    -2.050     0.961     1.350  1031.970 74094.141    41.428    10.169     0.020     1.000
        18     1.377     0.069     0.000     0.003    -2.052     0.995     1.377  1031.809 72630.018    41.226    10.179     0.020     1.000
        19     1.405     0.069     0.000     0.003    -2.055     1.028     1.405  1031.652 71195.045    41.027    10.188     0.020     1.000
        20     1.433     0.069     0.000     0.003    -2.057     1.062     1.433  1031.498 69788.634    40.833    10.197     0.020     1.000
        21     1.462     0.070     0.000     0.003    -2.060     1.095     1.462  1031.347 68410.207    40.642    10.206     0.020     1.000
        22     1.491     0.070     0.000     0.004    -2.063     1.128     1.491  1031.199 67059.200    40.455    10.215     0.020     1.000
        23     1.521     0.070     0.000     0.004    -2.065     1.161     1.521  1031.053 65735.059    40.272    10.223     0.020     1.000
