****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.75     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
        41     2.178     0.073     0.000     0.010    -2.189     2.148     2.178  1028.884 45912.481    37.525    10.342     0.020     1.000
        42     2.222     0.074     0.000     0.010    -2.194     2.189     2.222  1028.785 45007.903    37.399    10.347     0.020     1.000
        43     2.266     0.075     0.000     0.011    -2.198     2.231     2.266  1028.688 44121.232    37.276    10.352     0.020     1.000
        44     2.312     0.075     0.000     0.011    -2.202     2.274     2.312  1028.593 43252.109    37.156    10.358     0.020     1.000
        45     2.358     0.076     0.000     0.012    -2.207     2.317     2.358  1028.500 42400.183    37.037    10.363     0.020     1.000
        46     2.406     0.077     0.000     0.012    -2.211     2.361     2.406  1028.408 41565.113    36.921    10.367     0.020     1.000
        47     2.454     0.078     0.000     0.013    -2.216     2.405     2.454  1028.319 40746.560    36.807    10.372     0.020     1.013
        48     2.503     0.079     0.000     0.014    -2.220     2.449     2.503  1028.231 39944.197    36.696    10.377     0.020     1.034
        49     2.554     0.079     0.000     0.014    -2.225     2.494     2.554  1028.145 39157.699    36.587    10.381     0.020     1.055
        50     2.605     0.080     0.000     0.015    -2.230     2.540     2.605  1028.060 38386.751    36.479    10.386     0.020     1.077
        51     2.657     0.081     0.000     0.015    -2.234     2.586     2.657  1027.978 37631.042    36.374    10.390     0.020     1.099
        52     2.711     0.082     0.000     0.016    -2.239     2.632     2.711  1027.897 36890.270    36.271    10.394     0.020     1.121
        53     2.765     0.083     0.000     0.016    -2.244     2.679     2.765  1027.817 36164.136    36.171    10.399     0.020     1.144
        54     2.821     0.084     0.000     0.017    -2.249     2.727     2.821  1027.739 35452.350    36.072    10.403     0.020     1.167
        55     2.877     0.085     0.000     0.018    -2.253     2.775     2.877  1027.663 34754.625    35.975    10.406     0.020     1.191
        56     2.935     0.086     0.000     0.018    -2.258     2.824     2.935  1027.588 34070.681    35.879    10.410     0.020     1.216
        57     2.994     0.087     0.000     0.019    -2.263     2.873     2.994  1027.515 33400.245    35.786    10.414     0.020     1.241
        58     3.054     0.088     0.000     0.020    -2.268     2.923     3.054  1027.443 32743.049    35.695    10.418     0.020     1.266
        59     3.115     0.089     0.000     0.020    -2.273     2.974     3.115  1027.373 32098.828    35.605    10.421     0.020     1.292
        60     3.178     0.090     0.000     0.021    -2.279     3.025     3.178  1027.304 31467.324    35.517    10.425     0.020     1.318
        61     3.242     0.091     0.000     0.022    -2.284     3.077     3.242  1027.236 30848.286    35.431    10.428     0.020     1.345
        62     3.307     0.092     0.000     0.023    -2.289     3.130     3.307  1027.170 30241.465    35.347    10.431     0.020     1.373
        63     3.373     0.093     0.000     0.023    -2.294     3.183     3.373  1027.105 29646.619    35.264    10.434     0.020     1.401
        64     3.441     0.094     0.000     0.024    -2.299     3.237     3.441  1027.041 29063.510    35.183    10.437     0.020     1.430
        65     3.510     0.095     0.000     0.025    -2.305     3.292     3.510  1026.979 28491.905    35.104    10.440     0.020     1.459
        66     3.580     0.096     0.000     0.026    -2.310     3.347     3.580  1026.917 27931.576    35.026    10.443     0.020     1.489
        67     3.652     0.097     0.000     0.026    -2.316     3.403     3.652  1026.857 27382.299    34.949    10.446     0.020     1.520
        68     3.725     0.098     0.000     0.027    -2.321     3.460     3.725  1026.799 26843.854    34.875    10.449     0.020     1.551
        69     3.800     0.099     0.000     0.028    -2.327     3.518     3.800  1026.741 26316.027    34.801    10.451     0.020     1.583
        70     3.876     0.100     0.000     0.029    -2.332     3.576     3.876  1026.685 25798.608    34.729    10.454     0.020     1.615
        71     3.954     0.102     0.000     0.030    -2.338     3.635     3.954  1026.629 25291.389    34.659    10.456     0.020     1.649
        72     4.033     0.103     0.000     0.031    -2.344     3.695     4.033  1026.575 24794.170    34.590    10.459     0.020     1.682
        73     4.114     0.104     0.000     0.032    -2.350     3.755     4.114  1026.522 24306.751    34.522    10.461     0.020     1.717
        74     4.197     0.105     0.000     0.033    -2.355     3.817     4.197  1026.470 23828.938    34.455    10.463     0.020     1.752
        75     4.281     0.106     0.000     0.034    -2.361     3.879     4.281  1026.419 23360.542    34.390    10.465     0.020     1.788
        76     4.367     0.108     0.000     0.035    -2.367     3.942     4.367  1026.369 22901.375    34.326    10.467     0.020     1.825
        77     4.454     0.109     0.000     0.036    -2.373     4.006     4.454  1026.320 22451.256    34.264    10.469     0.020     1.863
        78     4.543     0.110     0.000     0.037    -2.379     4.071     4.543  1026.271 22010.004    34.203    10.471     0.020     1.901
        79     4.634     0.111     0.000     0.038    -2.386     4.137     4.634  1026.224 21577.445    34.142    10.473     0.020     1.940
        80     4.727     0.113     0.000     0.039    -2.392     4.203     4.727  1026.178 21153.406    34.084    10.475     0.020     1.980
        81     4.822     0.114     0.000     0.040    -2.398     4.271     4.822  1026.133 20737.719    34.026    10.477     0.020     2.021
        82     4.919     0.115     0.000     0.041    -2.404     4.339     4.919  1026.089 20330.219    33.969    10.478     0.020     2.063
        83     5.017     0.117     0.000     0.042    -2.411     4.409     5.017  1026.045 19930.743    33.914    10.480     0.020     2.105
        84     5.118     0.118     0.000     0.043    -2.417     4.479     5.118  1026.003 19539.133    33.859    10.482     0.020     2.149
        85     5.221     0.120     0.000     0.044    -2.424     4.550     5.221  1025.961 19155.234    33.806    10.483     0.020     2.193
        86     5.325     0.121     0.000     0.045    -2.430     4.623     5.325  1025.920 18778.893    33.754    10.485     0.020     2.238
        87     5.432     0.122     0.000     0.047    -2.437     4.696     5.432  1025.880 18409.960    33.703    10.486     0.020     2.285
        88     5.541     0.124     0.000     0.048    -2.444     4.770     5.541  1025.841 18048.289    33.652    10.487     0.020     2.332
        89     5.652     0.125     0.000     0.049    -2.450     4.845     5.652  1025.802 17693.738    33.603    10.488     0.020     2.380
        90     5.765     0.127     0.000     0.050    -2.457     4.922     5.765  1025.764 17346.164    33.555    10.490     0.020     2.429
        91     5.880     0.128     0.000     0.052    -2.464     4.999     5.880  1025.727 17005.430    33.508    10.491     0.020     2.480
        92     5.998     0.130     0.000     0.053    -2.471     5.078     5.998  1025.691 16671.402    33.461    10.492     0.020     2.531
        93     6.118     0.132     0.000     0.054    -2.478     5.157     6.118  1025.656 16343.946    33.416    10.493     0.020     2.583
        94     6.241     0.133     0.000     0.056    -2.485     5.238     6.241  1025.621 16022.934    33.372    10.494     0.020     2.637
        95     6.366     0.135     0.000     0.057    -2.492     5.320     6.366  1025.587 15708.237    33.328    10.495     0.020     2.691
        96     6.494     0.136     0.000     0.059    -2.499     5.403     6.494  1025.554 15399.731    33.285    10.495     0.020     2.747
        97     6.624     0.138     0.000     0.060    -2.507     5.487     6.624  1025.521 15097.294    33.243    10.496     0.020     2.804
        98     6.756     0.140     0.000     0.061    -2.514     5.572     6.756  1025.489 14800.806    33.202    10.497     0.020     2.862
        99     6.892     0.141     0.000     0.063    -2.521     5.659     6.892  1025.457 14510.149    33.162    10.498     0.020     2.922
       100     7.030     0.143     0.000     0.064    -2.529     5.747     7.030  1025.427 14225.210    33.123    10.498     0.020     2.983
       101     7.171     0.145     0.000     0.066    -2.536     5.836     7.171  1025.396 13945.874    33.084    10.499     0.020     3.045
       102     7.314     0.147     0.000     0.068    -2.544     5.926     7.314  1025.367 13672.032    33.046    10.499     0.020     3.108
       103     7.461     0.148     0.000     0.069    -2.552     6.017     7.461  1025.338 13403.574    33.009    10.500     0.020     3.173
       104     7.610     0.150     0.000     0.071    -2.560     6.110     7.610  1025.310 13140.396    32.973    10.500     0.020     3.239
       105     7.763     0.152     0.000     0.072    -2.567     6.204     7.763  1025.282 12882.392    32.937    10.501     0.020     3.306
       106     7.918     0.154     0.000     0.074    -2.575     6.300     7.918  1025.255 12629.461    32.902    10.501     0.020     3.375
       107     8.077     0.156     0.000     0.076    -2.583     6.397     8.077  1025.228 12381.503    32.868    10.501     0.020     3.445
       108     8.238     0.158     0.000     0.077    -2.591     6.495     8.238  1025.202 12138.419    32.834    10.501     0.020     3.517
       109     8.403     0.160     0.000     0.079    -2.600     6.595     8.403  1025.176 11900.114    32.802    10.502     0.020     3.590
       110     8.572     0.161     0.000     0.081    -2.608     6.696     8.572  1025.151 11666.493    32.769    10.502     0.020     3.665
       111     8.743     0.163     0.000     0.083    -2.616     6.798     8.743  1025.127 11437.464    32.738    10.502     0.020     3.742
       112     8.918     0.165     0.000     0.085    -2.625     6.902     8.918  1025.103 11212.937    32.707    10.502     0.020     3.820
       113     9.097     0.167     0.000     0.087    -2.633     7.008     9.097  1025.079 10992.823    32.677    10.502     0.020     3.900
       114     9.279     0.170     0.000     0.088    -2.642     7.115     9.279  1025.056 10777.035    32.647    10.502     0.020     3.982
       115     9.465     0.172     0.000     0.090    -2.650     7.223     9.465  1025.033 10565.487    32.618    10.502     0.020     4.065
       116     9.654     0.174     0.000     0.092    -2.659     7.333     9.654  1025.011 10358.097    32.589    10.502     0.020     4.150
       117     9.848     0.176     0.000     0.094    -2.668     7.445     9.848  1024.990 10154.783    32.561    10.502     0.020     4.237
       118    10.045     0.178     0.000     0.096    -2.677     7.558    10.045  1024.968  9955.463    32.534    10.501     0.020     4.326
       119    10.246     0.180     0.000     0.099    -2.685     7.673    10.246  1024.948  9760.060    32.507    10.501     0.020     4.417
       120    10.451     0.182     0.000     0.101    -2.694     7.789    10.451  1024.927  9568.496    32.481    10.501     0.020     4.509
       121    10.660     0.185     0.000     0.103    -2.704     7.908    10.660  1024.907  9380.696    32.455    10.500     0.020     4.604
       122    10.874     0.187     0.000     0.105    -2.713     8.027    10.874  1024.888  9196.585    32.430    10.500     0.020     4.701
       123    11.091     0.189     0.000     0.107    -2.722     8.149    11.091  1024.869  9016.092    32.405    10.500     0.020     4.800
       124    11.313     0.192     0.000     0.109    -2.731     8.272    11.313  1024.850  8839.144    32.381    10.499     0.020     4.901
       125    11.540     0.194     0.000     0.112    -2.741     8.398    11.540  1024.831  8665.673    32.357    10.499     0.020     5.004
       126    11.771     0.196     0.000     0.114    -2.750     8.524    11.771  1024.814  8495.609    32.334    10.498     0.020     5.110
       127    12.006     0.199     0.000     0.116    -2.760     8.653    12.006  1024.796  8328.885    32.311    10.498     0.020     5.217
       128    12.247     0.201     0.000     0.119    -2.770     8.784    12.247  1024.779  8165.436    32.289    10.497     0.020     5.328
       129    12.492     0.204     0.000     0.121    -2.780     8.916    12.492  1024.762  8005.198    32.267    10.496     0.020     5.440
       130    12.742     0.206     0.000     0.124    -2.790     9.051    12.742  1024.745  7848.107    32.246    10.496     0.020     5.555
       131    12.997     0.209     0.000     0.126    -2.799     9.187    12.997  1024.729  7694.101    32.225    10.495     0.020     5.673
       132    13.257     0.211     0.000     0.129    -2.810     9.326    13.257  1024.713  7543.120    32.204    10.494     0.020     5.793
       133    13.522     0.214     0.000     0.131    -2.820     9.466    13.522  1024.698  7395.104    32.184    10.493     0.020     5.916
       134    13.793     0.217     0.000     0.134    -2.830     9.609    13.793  1024.683  7249.995    32.165    10.493     0.020     6.041
       135    14.069     0.219     0.000     0.137    -2.840     9.753    14.069  1024.668  7107.736    32.145    10.492     0.020     6.169
       136    14.351     0.222     0.000     0.139    -2.851     9.900    14.351  1024.653  6968.269    32.127    10.491     0.020     6.300
       137    14.638     0.225     0.000     0.142    -2.861    10.048    14.638  1024.639  6831.542    32.108    10.490     0.020     6.434
       138    14.931     0.228     0.000     0.145    -2.872    10.199    14.931  1024.625  6697.499    32.090    10.489     0.020     6.571
       139    15.230     0.231     0.000     0.148    -2.883    10.353    15.230  1024.612  6566.089    32.072    10.488     0.020     6.711
       140    15.535     0.233     0.000     0.151    -2.894    10.508    15.535  1024.598  6437.258    32.055    10.487     0.020     6.854
       141    15.845     0.236     0.000     0.154    -2.904    10.665    15.845  1024.585  6310.957    32.038    10.486     0.020     7.000
       142    16.163     0.239     0.000     0.157    -2.916    10.825    16.163  1024.573  6187.136    32.021    10.485     0.020     7.150
       143    16.486     0.242     0.000     0.160    -2.927    10.988    16.486  1024.560  6065.746    32.005    10.483     0.020     7.302
       144    16.816     0.245     0.000     0.163    -2.938    11.152    16.816  1024.548  5946.739    31.989    10.482     0.020     7.459
       145    17.152     0.248     0.000     0.166    -2.949    11.319    17.152  1024.536  5830.068    31.973    10.481     0.020     7.618
       146    17.496     0.252     0.000     0.169    -2.961    11.489    17.496  1024.524  5715.688    31.958    10.480     0.020     7.781
       147    17.846     0.255     0.000     0.173    -2.972    11.661    17.846  1024.513  5603.554    31.943    10.478     0.020     7.948
       148    18.203     0.258     0.000     0.176    -2.984    11.835    18.203  1024.502  5493.620    31.929    10.477     0.020     8.119
       149    18.567     0.261     0.000     0.179    -2.996    12.012    18.567  1024.491  5385.845    31.914    10.476     0.020     8.293
       150    18.939     0.265     0.000     0.183    -3.007    12.192    18.939  1024.480  5280.185    31.900    10.474     0.020     8.472
       151    19.318     0.268     0.000     0.186    -3.019    12.374    19.318  1024.470  5176.599    31.886    10.473     0.020     8.654
       152    19.704     0.271     0.000     0.190    -3.031    12.559    19.704  1024.460  5075.047    31.873    10.471     0.020     8.841
       153    20.099     0.275     0.000     0.193    -3.043    12.747    20.099  1024.450  4975.487    31.860    10.470     0.020     9.032
       154    20.501     0.278     0.000     0.197    -3.056    12.937    20.501  1024.440  4877.882    31.847    10.468     0.020     9.227
       155    20.911     0.282     0.000     0.200    -3.068    13.131    20.911  1024.430  4782.193    31.834    10.467     0.020     9.426
       156    21.329     0.285     0.000     0.204    -3.081    13.327    21.329  1024.421  4688.381    31.822    10.465     0.020     9.630
       157    21.756     0.289     0.000     0.208    -3.093    13.526    21.756  1024.412  4596.411    31.809    10.464     0.020     9.839
       158    22.191     0.292     0.000     0.212    -3.106    13.728    22.191  1024.403  4506.245    31.798    10.462     0.020    10.052
       159    22.635     0.296     0.000     0.216    -3.119    13.933    22.635  1024.394  4417.850    31.786    10.460     0.020    10.271
       160    23.088     0.300     0.000     0.220    -3.132    14.140    23.088  1024.385  4331.189    31.774    10.459     0.020    10.494
       161    23.550     0.304     0.000     0.224    -3.145    14.351    23.550  1024.377  4246.228    31.763    10.457     0.020    10.723
       162    24.022     0.307     0.000     0.228    -3.158    14.565    24.022  1024.368  4162.935    31.752    10.455     0.020    10.956
       163    24.502     0.311     0.000     0.232    -3.171    14.783    24.502  1024.360  4081.277    31.741    10.454     0.020    11.195
       164    24.992     0.315     0.000     0.236    -3.184    15.003    24.992  1024.352  4001.221    31.731    10.452     0.020    11.440
