****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
         1     1.000     0.391     0.000     0.000    -2.015     0.391     1.000  1034.809 99999.304    45.000    10.000     0.020     1.000
         2     1.000     0.080     0.000     0.000    -2.016     0.393     1.000  1034.809 99995.293    44.999    10.000     0.020     1.000
         3     1.020     0.081     0.000     0.001    -2.018     0.442     1.020  1034.592 98014.028    44.727    10.013     0.020     1.000
         4     1.041     0.078     0.000     0.001    -2.020     0.485     1.041  1034.379 96072.418    44.460    10.026     0.020     1.000
         5     1.062     0.076     0.000     0.001    -2.022     0.527     1.062  1034.170 94169.655    44.198    10.038     0.020     1.000
         6     1.083     0.074     0.000     0.001    -2.024     0.568     1.083  1033.966 92304.945    43.941    10.050     0.020     1.000
         7     1.105     0.072     0.000     0.001    -2.026     0.607     1.105  1033.766 90477.514    43.689    10.062     0.020     1.000
         8     1.128     0.071     0.000     0.001    -2.028     0.645     1.128  1033.569 88686.602    43.442    10.074     0.020     1.000
         9     1.150     0.071     0.000     0.001    -2.031     0.682     1.150  1033.377 86931.465    43.200    10.086     0.020     1.000
        10     1.174     0.070     0.000     0.001    -2.033     0.719     1.174  1033.188 85211.378    42.963    10.097     0.020     1.000
        11     1.197     0.070     0.000     0.001    -2.035     0.755     1.197  1033.004 83525.626    42.731    10.108     0.020     1.000
        12     1.221     0.069     0.000     0.002    -2.038     0.790     1.221  1032.822 81873.514    42.503    10.119     0.020     1.000
        13     1.246     0.069     0.000     0.002    -2.040     0.825     1.246  1032.645 80254.358    42.279    10.129     0.020     1.000
        14     1.271     0.069     0.000     0.002    -2.042     0.859     1.271  1032.471 78667.490    42.060    10.140     0.020     1.000
        15     1.297     0.069     0.000     0.002    -2.045     0.894     1.297  1032.301 77112.257    41.845    10.150     0.020     1.000
        16     1.323     0.069     0.000     0.002    -2.047     0.928     1.323  1032.134 75588.016    41.635    10.160     0.020     1.000
        17     1.350     0.069     0.000     0.003    -2.050     0.961     1.350  1031.970 74094.141    41.428    10.169     0.020     1.000
        18     1.377     0.069     0.000     0.003    -2.052     0.995     1.377  1031.809 72630.018    41.226    10.179     0.020     1.000
        19     1.405     0.069     0.000     0.003    -2.055     1.028     1.405  1031.652 71195.045    41.027    10.188     0.020     1.000
        20     1.433     0.069     0.000     0.003    -2.057     1.062     1.433  1031.498 69788.634    40.833    10.197     0.020     1.000
        21     1.462     0.070     0.000     0.003    -2.060     1.095     1.462  1031.347 68410.207    40.642    10.206     0.020     1.000
        22     1.491     0.070     0.000     0.004    -2.063     1.128     1.491  1031.199 67059.200    40.455    10.215     0.020     1.000
        23     1.521     0.070     0.000     0.004    -2.065     1.161     1.521  1031.053 65735.059    40.272    10.223     0.020     1.000
        24     1.552     0.071     0.000     0.004    -2.068     1.195     1.552  1030.911 64437.244    40.092    10.232     0.020     1.000
        25     1.583     0.071     0.000     0.005    -2.071     1.228     1.583  1030.772 63165.225    39.916    10.240     0.020     1.000
        26     1.615     0.071     0.000     0.005    -2.073     1.261     1.615  1030.635 61918.480    39.743    10.248     0.020     1.000
        27     1.648     0.072     0.000     0.005    -2.076     1.295     1.648  1030.501 60696.502    39.574    10.256     0.020     1.000
        28     1.681     0.072     0.000     0.005    -2.079     1.328     1.681  1030.370 59498.794    39.408    10.263     0.020     1.000
        29     1.715     0.073     0.000     0.006    -2.081     1.362     1.715  1030.241 58324.865    39.245    10.271     0.020     1.000
        30     1.749     0.073     0.000     0.006    -2.084     1.395     1.749  1030.115 57174.240    39.085    10.278     0.020     1.000
        31     1.784     0.074     0.000     0.006    -2.087     1.429     1.784  1029.991 56046.449    38.929    10.286     0.020     1.000
        32     1.820     0.074     0.000     0.007    -2.090     1.464     1.820  1029.870 54941.035    38.776    10.293     0.020     1.000
        33     1.857     0.075     0.000     0.007    -2.093     1.498     1.857  1029.751 53857.548    38.625    10.299     0.020     1.000
        34     1.894     0.076     0.000     0.007    -2.096     1.532     1.894  1029.635 52795.548    38.478    10.306     0.020     1.000
        35     1.932     0.076     0.000     0.008    -2.099     1.567     1.932  1029.521 51754.606    38.334    10.313     0.020     1.000
        36     1.971     0.077     0.000     0.008    -2.102     1.602     1.971  1029.409 50734.297    38.192    10.319     0.020     1.000
        37     2.011     0.078     0.000     0.008    -2.105     1.637     2.011  1029.300 49734.210    38.053    10.326     0.020     1.005
        38     2.051     0.078     0.000     0.009    -2.108     1.673     2.051  1029.192 48753.940    37.917    10.332     0.020     1.026
        39     2.092     0.079     0.000     0.009    -2.111     1.709     2.092  1029.087 47793.089    37.783    10.338     0.020     1.046
        40     2.134     0.080     0.000     0.010    -2.114     1.745     2.134  1028.984 46851.269    37.653    10.344     0.020     1.067
        41     2.177     0.080     0.000     0.010    -2.117     1.781     2.177  1028.882 45928.100    37.524    10.349     0.020     1.089
        42     2.221     0.081     0.000     0.010    -2.120     1.818     2.221  1028.783 45023.209    37.399    10.355     0.020     1.111
        43     2.266     0.082     0.000     0.011    -2.123     1.855     2.266  1028.686 44136.230    37.275    10.360     0.020     1.133
        44     2.311     0.083     0.000     0.011    -2.126     1.892     2.311  1028.591 43266.805    37.154    10.366     0.020     1.156
        45     2.358     0.084     0.000     0.012    -2.129     1.930     2.358  1028.497 42414.585    37.036    10.371     0.020     1.179
        46     2.405     0.084     0.000     0.012    -2.133     1.968     2.405  1028.406 41579.225    36.920    10.376     0.020     1.203
