****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.25     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
        42     1.499     0.071     0.000     0.007    -2.053     1.132     1.499  1031.159 66704.629    40.406    10.218     0.020     1.000
        43     1.529     0.071     0.000     0.008    -2.056     1.166     1.529  1031.015 65387.538    40.223    10.227     0.020     1.000
        44     1.560     0.072     0.000     0.008    -2.058     1.201     1.560  1030.873 64096.630    40.044    10.235     0.020     1.000
        45     1.592     0.072     0.000     0.009    -2.061     1.235     1.592  1030.735 62831.378    39.869    10.243     0.020     1.000
        46     1.624     0.072     0.000     0.009    -2.064     1.269     1.624  1030.599 61591.265    39.697    10.251     0.020     1.000
        47     1.656     0.073     0.000     0.009    -2.066     1.304     1.656  1030.466 60375.786    39.529    10.259     0.020     1.000
        48     1.690     0.073     0.000     0.010    -2.069     1.338     1.690  1030.335 59184.444    39.364    10.267     0.020     1.000
        49     1.724     0.074     0.000     0.010    -2.072     1.373     1.724  1030.207 58016.756    39.202    10.274     0.020     1.000
        50     1.758     0.074     0.000     0.010    -2.075     1.407     1.758  1030.081 56872.245    39.043    10.281     0.020     1.000
        51     1.794     0.075     0.000     0.011    -2.078     1.442     1.794  1029.958 55750.446    38.888    10.289     0.020     1.000
        52     1.830     0.075     0.000     0.011    -2.081     1.477     1.830  1029.838 54650.903    38.735    10.296     0.020     1.000
        53     1.867     0.076     0.000     0.012    -2.083     1.512     1.867  1029.720 53573.169    38.585    10.303     0.020     1.000
        54     1.904     0.076     0.000     0.012    -2.086     1.547     1.904  1029.604 52516.808    38.439    10.309     0.020     1.000
        55     1.942     0.077     0.000     0.012    -2.089     1.583     1.942  1029.490 51481.390    38.295    10.316     0.020     1.000
        56     1.982     0.078     0.000     0.013    -2.092     1.618     1.982  1029.379 50466.497    38.154    10.322     0.020     1.000
        57     2.021     0.078     0.000     0.013    -2.095     1.654     2.021  1029.270 49471.716    38.016    10.329     0.020     1.011
        58     2.062     0.079     0.000     0.014    -2.098     1.690     2.062  1029.163 48496.645    37.881    10.335     0.020     1.031
        59     2.103     0.080     0.000     0.014    -2.101     1.727     2.103  1029.058 47540.890    37.748    10.341     0.020     1.052
        60     2.146     0.080     0.000     0.015    -2.104     1.764     2.146  1028.956 46604.065    37.618    10.347     0.020     1.073
        61     2.189     0.081     0.000     0.015    -2.107     1.801     2.189  1028.855 45685.790    37.490    10.352     0.020     1.094
        62     2.233     0.082     0.000     0.016    -2.111     1.838     2.233  1028.756 44785.695    37.365    10.358     0.020     1.116
        63     2.278     0.083     0.000     0.016    -2.114     1.875     2.278  1028.660 43903.416    37.242    10.363     0.020     1.139
        64     2.323     0.083     0.000     0.017    -2.117     1.913     2.323  1028.565 43038.599    37.122    10.369     0.020     1.162
        65     2.370     0.084     0.000     0.017    -2.120     1.952     2.370  1028.472 42190.893    37.004    10.374     0.020     1.185
        66     2.418     0.085     0.000     0.018    -2.123     1.990     2.418  1028.381 41359.958    36.889    10.379     0.020     1.209
        67     2.466     0.086     0.000     0.018    -2.127     2.029     2.466  1028.292 40545.458    36.775    10.384     0.020     1.233
        68     2.516     0.087     0.000     0.019    -2.130     2.069     2.516  1028.204 39747.067    36.664    10.389     0.020     1.258
        69     2.566     0.087     0.000     0.019    -2.133     2.108     2.566  1028.118 38964.462    36.556    10.394     0.020     1.283
        70     2.618     0.088     0.000     0.020    -2.137     2.148     2.618  1028.034 38197.330    36.449    10.399     0.020     1.309
        71     2.671     0.089     0.000     0.021    -2.140     2.189     2.671  1027.952 37445.361    36.344    10.403     0.020     1.335
        72     2.724     0.090     0.000     0.021    -2.144     2.230     2.724  1027.871 36708.254    36.242    10.408     0.020     1.362
        73     2.779     0.091     0.000     0.022    -2.147     2.271     2.779  1027.792 35985.712    36.141    10.412     0.020     1.389
        74     2.835     0.092     0.000     0.022    -2.151     2.313     2.835  1027.714 35277.446    36.043    10.416     0.020     1.417
        75     2.892     0.093     0.000     0.023    -2.154     2.356     2.892  1027.638 34583.172    35.946    10.420     0.020     1.446
        76     2.950     0.094     0.000     0.024    -2.158     2.398     2.950  1027.564 33902.611    35.851    10.424     0.020     1.475
        77     3.009     0.095     0.000     0.024    -2.161     2.442     3.009  1027.491 33235.490    35.758    10.428     0.020     1.504
        78     3.069     0.096     0.000     0.025    -2.165     2.485     3.069  1027.419 32581.542    35.667    10.432     0.020     1.535
        79     3.131     0.097     0.000     0.026    -2.169     2.530     3.131  1027.349 31940.506    35.578    10.436     0.020     1.565
        80     3.194     0.098     0.000     0.026    -2.172     2.574     3.194  1027.280 31312.124    35.491    10.440     0.020     1.597
        81     3.258     0.099     0.000     0.027    -2.176     2.620     3.258  1027.213 30696.145    35.405    10.443     0.020     1.629
        82     3.323     0.100     0.000     0.028    -2.180     2.665     3.323  1027.147 30092.323    35.321    10.447     0.020     1.662
        83     3.390     0.101     0.000     0.028    -2.184     2.712     3.390  1027.082 29500.416    35.238    10.450     0.020     1.695
        84     3.458     0.102     0.000     0.029    -2.188     2.759     3.458  1027.018 28920.188    35.158    10.453     0.020     1.729
        85     3.527     0.104     0.000     0.030    -2.191     2.806     3.527  1026.956 28351.407    35.078    10.456     0.020     1.764
        86     3.598     0.105     0.000     0.031    -2.195     2.854     3.598  1026.895 27793.845    35.001    10.460     0.020     1.799
        87     3.670     0.106     0.000     0.031    -2.199     2.903     3.670  1026.835 27247.281    34.925    10.463     0.020     1.835
        88     3.744     0.107     0.000     0.032    -2.203     2.952     3.744  1026.776 26711.495    34.850    10.466     0.020     1.872
        89     3.819     0.108     0.000     0.033    -2.207     3.002     3.819  1026.719 26186.275    34.777    10.469     0.020     1.909
        90     3.895     0.109     0.000     0.034    -2.212     3.053     3.895  1026.663 25671.410    34.705    10.471     0.020     1.948
        91     3.974     0.111     0.000     0.035    -2.216     3.104     3.974  1026.607 25166.696    34.635    10.474     0.020     1.987
        92     4.053     0.112     0.000     0.035    -2.220     3.155     4.053  1026.553 24671.931    34.566    10.477     0.020     2.027
        93     4.134     0.113     0.000     0.036    -2.224     3.208     4.134  1026.500 24186.918    34.498    10.479     0.020     2.067
        94     4.217     0.115     0.000     0.037    -2.228     3.261     4.217  1026.448 23711.464    34.432    10.482     0.020     2.109
        95     4.302     0.116     0.000     0.038    -2.233     3.315     4.302  1026.397 23245.379    34.367    10.484     0.020     2.151
        96     4.388     0.117     0.000     0.039    -2.237     3.369     4.388  1026.347 22788.479    34.304    10.487     0.020     2.194
        97     4.476     0.119     0.000     0.040    -2.241     3.424     4.476  1026.299 22340.580    34.241    10.489     0.020     2.238
        98     4.566     0.120     0.000     0.041    -2.246     3.480     4.566  1026.251 21901.506    34.180    10.491     0.020     2.283
        99     4.657     0.121     0.000     0.042    -2.250     3.537     4.657  1026.204 21471.081    34.120    10.493     0.020     2.329
