****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00     45.00     90.00     25.00      0.30     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
         1     1.000     0.418     0.000     0.001    -2.028     0.525     1.000  1034.809 99999.304    45.000    10.000     0.020     1.000
------------------------- merging happened ---------------------------
         2     1.000     0.069     0.000     0.001    -2.028     0.527     1.000  1034.808 99989.812    44.999    10.000     0.020     1.000
         3     1.020     0.070     0.000     0.001    -2.032     0.585     1.020  1034.591 98008.660    44.726    10.013     0.020     1.000
         4     1.041     0.067     0.000     0.001    -2.035     0.638     1.041  1034.378 96067.161    44.459    10.026     0.020     1.000
         5     1.062     0.066     0.000     0.001    -2.038     0.690     1.062  1034.170 94164.505    44.197    10.038     0.020     1.000
         6     1.083     0.064     0.000     0.001    -2.042     0.739     1.083  1033.965 92299.902    43.940    10.050     0.020     1.000
         7     1.105     0.063     0.000     0.001    -2.045     0.787     1.105  1033.765 90472.575    43.689    10.062     0.020     1.000
         8     1.128     0.063     0.000     0.001    -2.049     0.834     1.128  1033.569 88681.765    43.442    10.074     0.020     1.000
         9     1.150     0.062     0.000     0.002    -2.053     0.880     1.150  1033.377 86926.729    43.200    10.085     0.020     1.000
        10     1.174     0.062     0.000     0.002    -2.056     0.926     1.174  1033.188 85206.739    42.963    10.096     0.020     1.000
        11     1.197     0.061     0.000     0.002    -2.060     0.970     1.197  1033.003 83521.085    42.730    10.107     0.020     1.000
        12     1.221     0.061     0.000     0.002    -2.064     1.014     1.221  1032.822 81869.067    42.502    10.118     0.020     1.000
        13     1.246     0.061     0.000     0.002    -2.067     1.058     1.246  1032.645 80250.004    42.279    10.128     0.020     1.000
        14     1.271     0.061     0.000     0.003    -2.071     1.101     1.271  1032.471 78663.228    42.060    10.139     0.020     1.000
        15     1.297     0.061     0.000     0.003    -2.075     1.143     1.297  1032.301 77108.083    41.845    10.149     0.020     1.000
        16     1.323     0.061     0.000     0.003    -2.079     1.186     1.323  1032.134 75583.930    41.635    10.158     0.020     1.000
        17     1.350     0.061     0.000     0.003    -2.083     1.228     1.350  1031.970 74090.141    41.428    10.168     0.020     1.000
        18     1.377     0.061     0.000     0.004    -2.087     1.270     1.377  1031.810 72626.102    41.226    10.177     0.020     1.000
        19     1.405     0.061     0.000     0.004    -2.091     1.312     1.405  1031.652 71191.212    41.027    10.186     0.020     1.000
        20     1.433     0.061     0.000     0.004    -2.095     1.354     1.433  1031.498 69784.882    40.833    10.195     0.020     1.000
        21     1.462     0.062     0.000     0.004    -2.099     1.395     1.462  1031.347 68406.534    40.642    10.204     0.020     1.000
        22     1.491     0.062     0.000     0.005    -2.104     1.437     1.491  1031.199 67055.605    40.455    10.213     0.020     1.000
        23     1.521     0.062     0.000     0.005    -2.108     1.479     1.521  1031.054 65731.541    40.272    10.221     0.020     1.000
        24     1.552     0.063     0.000     0.005    -2.112     1.521     1.552  1030.912 64433.801    40.092    10.229     0.020     1.000
        25     1.583     0.063     0.000     0.006    -2.116     1.563     1.583  1030.773 63161.855    39.916    10.237     0.020     1.000
        26     1.615     0.063     0.000     0.006    -2.121     1.605     1.615  1030.636 61915.182    39.744    10.245     0.020     1.000
        27     1.648     0.064     0.000     0.006    -2.125     1.647     1.648  1030.502 60693.275    39.574    10.253     0.020     1.000
        28     1.681     0.064     0.000     0.007    -2.129     1.689     1.681  1030.371 59495.636    39.409    10.260     0.020     1.000
        29     1.715     0.065     0.000     0.007    -2.134     1.732     1.715  1030.242 58321.775    39.246    10.268     0.020     1.000
        30     1.749     0.065     0.000     0.008    -2.138     1.775     1.749  1030.116 57171.216    39.086    10.275     0.020     1.000
        31     1.784     0.066     0.000     0.008    -2.143     1.818     1.784  1029.993 56043.491    38.930    10.282     0.020     1.000
        32     1.820     0.066     0.000     0.008    -2.148     1.861     1.820  1029.872 54938.141    38.777    10.289     0.020     1.000
        33     1.857     0.067     0.000     0.009    -2.152     1.904     1.857  1029.753 53854.716    38.627    10.295     0.020     1.000
        34     1.894     0.067     0.000     0.009    -2.157     1.948     1.894  1029.637 52792.778    38.479    10.302     0.020     1.000
        35     1.932     0.068     0.000     0.010    -2.162     1.992     1.932  1029.523 51751.895    38.335    10.308     0.020     1.000
