****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      1.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
        42     2.301     0.313     0.000     0.319    -1.358     1.151     0.020    10.502    32.751 43452.519  1025.137     2.301     2.629
        43     2.347     0.318     0.000     0.329    -1.370     1.174     0.020    10.509    32.717 42599.374  1025.109     2.347     2.737
        44     2.394     0.323     0.000     0.339    -1.383     1.197     0.020    10.515    32.684 41763.003  1025.083     2.394     2.848
        45     2.442     0.328     0.000     0.349    -1.396     1.221     0.020    10.521    32.652 40943.075  1025.056     2.442     2.961
        46     2.491     0.333     0.000     0.359    -1.409     1.246     0.020    10.527    32.620 40139.265  1025.031     2.491     3.077
        47     2.541     0.338     0.000     0.369    -1.422     1.271     0.020    10.533    32.589 39351.257  1025.006     2.541     3.196
        48     2.592     0.343     0.000     0.379    -1.436     1.296     0.020    10.539    32.559 38578.739  1024.981     2.592     3.317
        49     2.644     0.348     0.000     0.389    -1.449     1.322     0.020    10.545    32.529 37821.405  1024.957     2.644     3.441
        50     2.697     0.353     0.000     0.399    -1.463     1.348     0.020    10.550    32.500 37078.957  1024.934     2.697     3.567
        51     2.751     0.359     0.000     0.410    -1.477     1.375     0.020    10.555    32.471 36351.101  1024.910     2.751     3.697
        52     2.806     0.364     0.000     0.420    -1.491     1.403     0.020    10.560    32.443 35637.549  1024.888     2.806     3.829
        53     2.862     0.369     0.000     0.431    -1.506     1.431     0.020    10.565    32.416 34938.020  1024.866     2.862     3.964
        54     2.920     0.375     0.000     0.441    -1.521     1.460     0.020    10.570    32.389 34252.238  1024.844     2.920     4.102
        55     2.978     0.380     0.000     0.452    -1.536     1.489     0.020    10.574    32.363 33579.932  1024.823     2.978     4.243
        56     3.038     0.386     0.000     0.462    -1.551     1.519     0.020    10.578    32.337 32920.836  1024.802     3.038     4.387
        57     3.098     0.391     0.000     0.473    -1.566     1.549     0.020    10.583    32.312 32274.691  1024.782     3.098     4.534
        58     3.160     0.397     0.000     0.484    -1.582     1.580     0.020    10.587    32.287 31641.242  1024.762     3.160     4.684
        59     3.224     0.403     0.000     0.495    -1.598     1.612     0.020    10.590    32.263 31020.237  1024.743     3.224     4.837
        60     3.288     0.408     0.000     0.506    -1.614     1.644     0.020    10.594    32.240 30411.434  1024.724     3.288     4.993
        61     3.354     0.414     0.000     0.517    -1.630     1.677     0.020    10.598    32.217 29814.591  1024.705     3.354     5.152
        62     3.421     0.420     0.000     0.528    -1.646     1.711     0.020    10.601    32.194 29229.472  1024.687     3.421     5.314
        63     3.490     0.426     0.000     0.539    -1.663     1.745     0.020    10.604    32.172 28655.848  1024.669     3.490     5.480
        64     3.560     0.432     0.000     0.550    -1.680     1.780     0.020    10.607    32.150 28093.492  1024.652     3.560     5.648
        65     3.631     0.438     0.000     0.561    -1.697     1.815     0.020    10.610    32.129 27542.182  1024.635     3.631     5.820
        66     3.703     0.444     0.000     0.573    -1.714     1.852     0.020    10.613    32.108 27001.700  1024.618     3.703     5.995
        67     3.778     0.451     0.000     0.584    -1.732     1.889     0.020    10.616    32.088 26471.835  1024.602     3.778     6.174
        68     3.853     0.457     0.000     0.596    -1.750     1.927     0.020    10.618    32.068 25952.376  1024.586     3.853     6.356
        69     3.930     0.463     0.000     0.607    -1.768     1.965     0.020    10.620    32.048 25443.120  1024.570     3.930     6.541
        70     4.009     0.470     0.000     0.619    -1.786     2.005     0.020    10.623    32.029 24943.865  1024.555     4.009     6.730
        71     4.089     0.476     0.000     0.630    -1.805     2.045     0.020    10.625    32.010 24454.415  1024.540     4.089     6.922
        72     4.171     0.483     0.000     0.642    -1.824     2.086     0.020    10.627    31.992 23974.577  1024.526     4.171     7.117
        73     4.255     0.490     0.000     0.654    -1.843     2.127     0.020    10.628    31.974 23504.161  1024.512     4.255     7.317
        74     4.340     0.496     0.000     0.665    -1.862     2.170     0.020    10.630    31.957 23042.984  1024.498     4.340     7.520
        75     4.427     0.503     0.000     0.677    -1.882     2.213     0.020    10.632    31.940 22590.862  1024.484     4.427     7.726
        76     4.515     0.510     0.000     0.689    -1.901     2.258     0.020    10.633    31.923 22147.617  1024.471     4.515     7.937
        77     4.606     0.517     0.000     0.701    -1.921     2.303     0.020    10.634    31.907 21713.076  1024.458     4.606     8.151
        78     4.698     0.524     0.000     0.713    -1.941     2.349     0.020    10.636    31.891 21287.067  1024.445     4.698     8.369
        79     4.792     0.531     0.000     0.725    -1.962     2.396     0.020    10.637    31.875 20869.422  1024.433     4.792     8.590
        80     4.888     0.539     0.000     0.737    -1.983     2.444     0.020    10.637    31.860 20459.977  1024.421     4.888     8.816
        81     4.985     0.546     0.000     0.749    -2.004     2.493     0.020    10.638    31.845 20058.571  1024.409     4.985     9.046
        82     5.085     0.554     0.000     0.762    -2.025     2.543     0.020    10.639    31.830 19665.045  1024.398     5.085     9.280
        83     5.187     0.561     0.000     0.774    -2.046     2.593     0.020    10.639    31.816 19279.245  1024.387     5.187     9.517
