****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      5.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
        42     2.301     0.316     0.000     0.323    -5.357     1.150     0.020     9.936    32.854 43459.987  1025.313     2.301     2.661
        43     2.347     0.321     0.000     0.333    -5.369     1.174     0.020     9.935    32.822 42606.793  1025.288     2.347     2.772
        44     2.394     0.326     0.000     0.343    -5.382     1.197     0.020     9.933    32.790 41770.369  1025.263     2.394     2.885
        45     2.442     0.331     0.000     0.353    -5.395     1.221     0.020     9.931    32.759 40950.385  1025.239     2.442     3.000
        46     2.491     0.336     0.000     0.363    -5.407     1.245     0.020     9.929    32.728 40146.516  1025.216     2.491     3.119
        47     2.541     0.341     0.000     0.373    -5.421     1.270     0.020     9.927    32.698 39358.446  1025.193     2.541     3.240
        48     2.592     0.346     0.000     0.384    -5.434     1.296     0.020     9.925    32.669 38585.862  1025.170     2.592     3.364
        49     2.644     0.351     0.000     0.394    -5.448     1.322     0.020     9.923    32.640 37828.461  1025.148     2.644     3.491
        50     2.696     0.357     0.000     0.405    -5.461     1.348     0.020     9.921    32.612 37085.943  1025.127     2.696     3.621
        51     2.750     0.362     0.000     0.415    -5.475     1.375     0.020     9.919    32.584 36358.014  1025.105     2.750     3.754
        52     2.805     0.367     0.000     0.426    -5.490     1.403     0.020     9.917    32.557 35644.389  1025.085     2.805     3.890
        53     2.862     0.373     0.000     0.437    -5.504     1.431     0.020     9.915    32.530 34944.784  1025.064     2.862     4.029
        54     2.919     0.378     0.000     0.448    -5.519     1.459     0.020     9.913    32.504 34258.925  1025.044     2.919     4.170
        55     2.977     0.384     0.000     0.458    -5.534     1.489     0.020     9.911    32.479 33586.540  1025.025     2.977     4.315
        56     3.037     0.390     0.000     0.469    -5.549     1.518     0.020     9.909    32.454 32927.364  1025.005     3.037     4.463
        57     3.098     0.395     0.000     0.481    -5.564     1.549     0.020     9.907    32.429 32281.138  1024.987     3.098     4.614
        58     3.160     0.401     0.000     0.492    -5.580     1.580     0.020     9.905    32.405 31647.606  1024.968     3.160     4.768
        59     3.223     0.407     0.000     0.503    -5.595     1.612     0.020     9.903    32.381 31026.519  1024.950     3.223     4.925
        60     3.288     0.413     0.000     0.514    -5.611     1.644     0.020     9.901    32.358 30417.632  1024.933     3.288     5.085
        61     3.353     0.419     0.000     0.525    -5.627     1.677     0.020     9.898    32.335 29820.704  1024.915     3.353     5.249
        62     3.420     0.425     0.000     0.537    -5.644     1.710     0.020     9.896    32.313 29235.500  1024.898     3.420     5.416
        63     3.489     0.431     0.000     0.548    -5.661     1.744     0.020     9.894    32.291 28661.791  1024.882     3.489     5.586
        64     3.559     0.437     0.000     0.560    -5.677     1.779     0.020     9.891    32.270 28099.348  1024.865     3.559     5.760
        65     3.630     0.443     0.000     0.571    -5.695     1.815     0.020     9.889    32.249 27547.952  1024.849     3.630     5.936
        66     3.703     0.449     0.000     0.583    -5.712     1.851     0.020     9.887    32.228 27007.385  1024.834     3.703     6.117
        67     3.777     0.456     0.000     0.595    -5.729     1.888     0.020     9.884    32.208 26477.433  1024.819     3.777     6.300
        68     3.852     0.462     0.000     0.606    -5.747     1.926     0.020     9.882    32.188 25957.888  1024.804     3.852     6.488
        69     3.929     0.469     0.000     0.618    -5.765     1.965     0.020     9.879    32.169 25448.545  1024.789     3.929     6.678
        70     4.008     0.475     0.000     0.630    -5.784     2.004     0.020     9.877    32.150 24949.204  1024.775     4.008     6.873
        71     4.088     0.482     0.000     0.642    -5.802     2.044     0.020     9.874    32.131 24459.668  1024.760     4.088     7.071
        72     4.170     0.488     0.000     0.654    -5.821     2.085     0.020     9.871    32.113 23979.744  1024.747     4.170     7.272
        73     4.254     0.495     0.000     0.666    -5.840     2.127     0.020     9.869    32.095 23509.243  1024.733     4.254     7.477
        74     4.339     0.502     0.000     0.678    -5.859     2.169     0.020     9.866    32.078 23047.980  1024.720     4.339     7.686
        75     4.426     0.509     0.000     0.690    -5.878     2.213     0.020     9.863    32.061 22595.773  1024.707     4.426     7.899
