effluent_chemistry.total_alkalinity,effluent.flow,termination,nearfield_end_dilution,acute_region,acute_distance_m,acute_width_m,acute_dilution,acute_dilution_factor,acute_travel_time_hr,acute_total_alkalinity_umol_kg,acute_dic_umol_kg,acute_ph_total,acute_pco2_uatm,acute_carbonate_umol_kg,acute_bicarbonate_umol_kg,acute_omega_calcite,acute_omega_aragonite,acute_omega_brucite,chronic_region,chronic_distance_m,chronic_width_m,chronic_dilution,chronic_dilution_factor,chronic_travel_time_hr,chronic_total_alkalinity_umol_kg,chronic_dic_umol_kg,chronic_ph_total,chronic_pco2_uatm,chronic_carbonate_umol_kg,chronic_bicarbonate_umol_kg,chronic_omega_calcite,chronic_omega_aragonite,chronic_omega_brucite,port_ph_total,port_dic_umol_kg,port_omega_brucite,port_omega_aragonite,nearfield_peak_omega_brucite,nearfield_peak_ph_total,nearfield_end_distance_m,nearfield_end_time_s,nearfield_end_ph_total,nearfield_end_omega_brucite,omega1_dilution,omega1_time_s,omega1_distance_m,omega1_region,centreline_parabolic_dilution,centreline_parabolic_time_s,centreline_parabolic_distance_m,centreline_parabolic_region,centreline_gaussian_dilution,centreline_gaussian_time_s,centreline_gaussian_distance_m,centreline_gaussian_region,error,warnings
4000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2901.7445056088495,2500.0,8.385352035678011,206.43300712598767,303.3650613992393,2187.589240835977,7.388815464662704,4.665712261481196,0.008622829376879061,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2900.254873141284,2500.0,8.38369219752016,207.31462709136713,302.24434530845963,2188.668746677927,7.361568685795632,4.648415615238848,0.008541480442082704,9.168137638168961,2500.0,0.3808388130950244,17.938420304916598,0.3808388130950244,9.168137638168961,2.843859088471849,138.95927851814736,8.38570137929003,0.008640051796792132,,,,never,,,,never,,,,never,,GeometryWarning
4000.0,0.001,oscillation limit,287.3314428569795,farfield,20.7,24.04841968077106,335.9114489191383,1.1690730592486522,0.24065191215472614,2903.290626084997,2500.0,8.387010769158362,205.56134233955254,304.53499852663526,2186.461614538458,7.4173574072041975,4.683849117089931,0.008713460482313898,farfield,207.0,169.94887852146388,2264.854026384688,7.882374458795411,2.828151912154726,2900.486065030311,2500.0,8.383891285853029,207.21478701483446,302.4243977222985,2188.4949474334658,7.366044268807705,4.651273892969268,0.008559559066356573,9.168137638168957,2500.0,0.38083881309501777,17.93842030491652,0.38083881309501777,9.168137638168957,3.373062324859715,144.58221003467787,8.387606940304156,0.008743192631399221,,,,never,,,,never,,,,never,,GeometryWarning
4000.0,0.005,oscillation limit,189.53662769131017,farfield,20.7,24.52843610061474,211.58312389367052,1.1163178667411267,0.21122818317956116,2925.104655037273,2500.0,8.411469983285844,193.10678721918646,321.1506449024207,2170.4263881611914,7.824413957973107,4.9414674275486705,0.009984697399529955,farfield,207.0,170.84023784266287,1379.8983777518954,7.280378439566173,2.798728183179561,2920.756533572844,2500.0,8.406835190468978,195.43412074174012,317.8564616420545,2173.6118987258733,7.744308324905739,4.890589302691357,0.009720838412126431,9.168137638168961,2500.0,0.3808388130950244,17.938420304916598,0.3808388130950244,9.168137638168961,5.491570811071599,163.4794759902215,8.41207181572933,0.01001948226574732,,,,never,,,,never,,,,never,,GeometryWarning
6000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2904.9163339885763,2500.0,8.389210557974279,204.39235125489733,305.75110492490353,2185.2926167650835,7.446930379250259,4.702409280235496,0.008777434063013897,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2900.7182788527102,2500.0,8.384258846767379,207.0126135235536,302.59263004275294,2188.333699646339,7.370051630244635,4.653772116445651,0.00856379873498301,10.670717788647307,2500.0,385.3909428000883,36.58402627474369,385.3909428000883,10.670717788647307,2.843859088471849,138.95927851814736,8.39024978997379,0.008822936781945687,2.1558100251732566,0.4726124705844178,0.01835722028003194,nearfield,4.311620050346513,2.5230252568899396,0.07727823004084788,nearfield,4.986464657058945,2.9919909834136176,0.08958965032251925,nearfield,,GeometryWarning
6000.0,0.001,oscillation limit,287.3314428569795,farfield,20.7,24.04841968077106,335.9114489191383,1.1690730592486522,0.24065191215472614,2909.273582603173,2500.0,8.394250422134732,201.7622570566111,309.0400217250299,2182.1229870490797,7.527083267209586,4.753137875907039,0.009008920646697857,farfield,207.0,169.94887852146388,2264.854026384688,7.882374458795411,2.828151912154726,2901.3698196308756,2500.0,8.38497106720476,206.63986863828143,303.08871017579054,2187.855829296668,7.382224692640157,4.661490989225641,0.008602228316083167,10.670717788647307,2500.0,385.3909428000882,36.584026274743685,385.3909428000882,10.670717788647307,3.373062324859715,144.58221003467787,8.396014690107496,0.009088360522167223,2.1626257326793756,0.17985145829787305,0.02673358677127955,nearfield,4.325251465358751,0.7756286069451513,0.07649122813121445,nearfield,5.002229629016241,1.0089298809818918,0.09133555383441266,nearfield,,GeometryWarning
6000.0,0.005,oscillation limit,189.53662769131017,farfield,20.7,24.52843610061474,211.58312389367052,1.1163178667411267,0.21122818317956116,2934.6065343784853,2500.0,8.42250660116999,187.65735045535317,328.3593626070612,2163.45536378437,8.000044882376015,5.052386252761819,0.01050544729182174,farfield,207.0,170.84023784266287,1379.8983777518954,7.280378439566173,2.798728183179561,2922.2065335902676,2500.0,8.40854371166566,194.5718858774456,318.9538029815903,2172.55219808418,7.7710441339397125,4.907473168459719,0.00979762422403707,10.670717788647307,2500.0,385.3909428000883,36.58402627474369,385.3909428000883,10.670717788647307,5.491570811071599,163.4794759902215,8.424306796654601,0.01060022888299064,2.4005794508371325,0.04946653224623095,0.03164612885755946,nearfield,4.801158901674265,0.2160735527338533,0.0863683325471692,nearfield,5.552624975430895,0.2909882729462289,0.10364639069281077,nearfield,,GeometryWarning
10000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2911.2599907480308,2500.0,8.396862131720958,200.40014554130005,310.53045666396054,2180.68819940709,7.56333714848752,4.775915047643301,0.009092306880320424,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2901.645090275563,2500.0,8.385390722537975,206.4105454885277,303.2893564098851,2187.6633628143345,7.387021340618333,4.664487531905733,0.008608554163071217,11.504703848192133,2500.0,17942.114465879557,37.667798939421196,17942.114465879557,11.504703848192133,2.843859088471849,138.95927851814736,8.399256270822072,0.009196575257713975,4.954698721948822,2.9726306659594233,0.08909006010808407,nearfield,9.909397443897644,5.082409875298366,0.14010469376869855,nearfield,11.460392972886066,5.5904166856961,0.1516431289623478,nearfield,,GeometryWarning
10000.0,0.001,oscillation limit,287.3314428569795,farfield,20.7,24.04841968077106,335.9114489191383,1.1690730592486522,0.24065191215472614,2921.239495639526,2500.0,8.408501869113937,194.47060532904874,318.075516015767,2173.4068590367488,7.747154804633898,4.892106790694771,0.009620288045758395,farfield,207.0,169.94887852146388,2264.854026384688,7.882374458795411,2.828151912154726,2903.137328832006,2500.0,8.387125473222826,205.49712109240616,304.417904271536,2186.5767131680896,7.414599403834694,4.681933935836478,0.008688000163968104,11.504703848192133,2500.0,17942.114465879553,37.66779893942119,17942.114465879553,11.504703848192133,3.373062324859715,144.58221003467787,8.412525574313987,0.009806348313225011,4.9727580879641975,0.9984515188366346,0.09069516224496496,nearfield,9.945516175928395,3.2131782167773264,0.1962759179133275,nearfield,11.502164923713377,4.142918065756833,0.2324881700740929,nearfield,,GeometryWarning
10000.0,0.005,oscillation limit,189.53662769131017,farfield,20.7,24.52843610061474,211.58312389367052,1.1163178667411267,0.21122818317956116,2953.6102930609095,2500.0,8.444064655038417,177.41500772312017,342.83629595066714,2149.4251806988304,8.352756319920466,5.275139383964946,0.011602688059502144,farfield,207.0,170.84023784266287,1379.8983777518954,7.280378439566173,2.798728183179561,2925.1065336251136,2500.0,8.411948049754109,192.86412755134177,321.14992363151134,2170.430629296912,7.824550786971342,4.94126302484128,0.00995243870384778,11.504703848192133,2500.0,17942.114465879557,37.667798939421196,17942.114465879557,11.504703848192133,5.491570811071599,163.4794759902215,8.44814920624348,0.011830417244719487,4.990145938912376,0.2343187249070594,0.09070953373080423,nearfield,9.980291877824753,0.9299292475374779,0.2068958733187124,nearfield,11.542383636495519,1.2339623260172474,0.24394775740157112,nearfield,,GeometryWarning
20000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2927.1191326466665,2500.0,8.41562254817362,190.91150435144354,322.52016081219017,2169.114277869666,7.8553605859781594,4.96031503591712,0.009913188932068287,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2903.962118832693,2500.0,8.388212156333907,204.91671018631487,305.0320841013008,2185.9861121403,7.42946782402797,4.691290093324773,0.008721137976793499,12.006166597616474,2500.0,180633.84308456196,37.79948835770402,180633.84308456196,12.006166597616474,2.843859088471849,138.95927851814736,8.421266951092761,0.010177649481252708,11.941397417224689,5.741038163917824,0.15502792198495627,nearfield,23.882794834449378,8.914446412862937,0.2239043489543276,nearfield,27.62087358421129,9.779059345800391,0.24216964045775283,nearfield,,GeometryWarning
