effluent_chemistry.total_alkalinity,diffuser.port_depth,termination,nearfield_end_dilution,acute_region,acute_distance_m,acute_width_m,acute_dilution,acute_dilution_factor,acute_travel_time_hr,acute_total_alkalinity_umol_kg,acute_dic_umol_kg,acute_ph_total,acute_pco2_uatm,acute_carbonate_umol_kg,acute_bicarbonate_umol_kg,acute_omega_calcite,acute_omega_aragonite,acute_omega_brucite,chronic_region,chronic_distance_m,chronic_width_m,chronic_dilution,chronic_dilution_factor,chronic_travel_time_hr,chronic_total_alkalinity_umol_kg,chronic_dic_umol_kg,chronic_ph_total,chronic_pco2_uatm,chronic_carbonate_umol_kg,chronic_bicarbonate_umol_kg,chronic_omega_calcite,chronic_omega_aragonite,chronic_omega_brucite,port_ph_total,port_dic_umol_kg,port_omega_brucite,port_omega_aragonite,nearfield_peak_omega_brucite,nearfield_peak_ph_total,nearfield_end_distance_m,nearfield_end_time_s,nearfield_end_ph_total,nearfield_end_omega_brucite,omega1_dilution,omega1_time_s,omega1_distance_m,omega1_region,centreline_parabolic_dilution,centreline_parabolic_time_s,centreline_parabolic_distance_m,centreline_parabolic_region,centreline_gaussian_dilution,centreline_gaussian_time_s,centreline_gaussian_distance_m,centreline_gaussian_region,error,warnings
4000.0,2.0,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2901.7445056088495,2500.0,8.385352035678011,206.43300712598767,303.3650613992393,2187.589240835977,7.388815464662704,4.665712261481196,0.008622829376879061,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2900.254873141284,2500.0,8.38369219752016,207.31462709136713,302.24434530845963,2188.668746677927,7.361568685795632,4.648415615238848,0.008541480442082704,9.168137638168961,2500.0,0.3808388130950244,17.938420304916598,0.3808388130950244,9.168137638168961,2.843859088471849,138.95927851814736,8.38570137929003,0.008640051796792132,,,,never,,,,never,,,,never,,GeometryWarning
6000.0,2.0,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2904.9163339885763,2500.0,8.389210557974279,204.39235125489733,305.75110492490353,2185.2926167650835,7.446930379250259,4.702409280235496,0.008777434063013897,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2900.7182788527102,2500.0,8.384258846767379,207.0126135235536,302.59263004275294,2188.333699646339,7.370051630244635,4.653772116445651,0.00856379873498301,10.670717788647307,2500.0,385.3909428000883,36.58402627474369,385.3909428000883,10.670717788647307,2.843859088471849,138.95927851814736,8.39024978997379,0.008822936781945687,2.1558100251732566,0.4726124705844178,0.01835722028003194,nearfield,4.311620050346513,2.5230252568899396,0.07727823004084788,nearfield,4.986464657058945,2.9919909834136176,0.08958965032251925,nearfield,,GeometryWarning
10000.0,2.0,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2911.2599907480308,2500.0,8.396862131720958,200.40014554130005,310.53045666396054,2180.68819940709,7.56333714848752,4.775915047643301,0.009092306880320424,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2901.645090275563,2500.0,8.385390722537975,206.4105454885277,303.2893564098851,2187.6633628143345,7.387021340618333,4.664487531905733,0.008608554163071217,11.504703848192133,2500.0,17942.114465879557,37.667798939421196,17942.114465879557,11.504703848192133,2.843859088471849,138.95927851814736,8.399256270822072,0.009196575257713975,4.954698721948822,2.9726306659594233,0.08909006010808407,nearfield,9.909397443897644,5.082409875298366,0.14010469376869855,nearfield,11.460392972886066,5.5904166856961,0.1516431289623478,nearfield,,GeometryWarning
20000.0,2.0,oscillation limit,534.3506100208206,farfield,20.7,23.82454490468711,633.3416461111826,1.1852548387406256,0.24800195710455766,2927.1191326466665,2500.0,8.41562254817362,190.91150435144354,322.52016081219017,2169.114277869666,7.8553605859781594,4.96031503591712,0.009913188932068287,farfield,207.0,169.5293873151375,4319.4708292552305,8.083589216987937,2.8355019571045577,2903.962118832693,2500.0,8.388212156333907,204.91671018631487,305.0320841013008,2185.9861121403,7.42946782402797,4.691290093324773,0.008721137976793499,12.006166597616474,2500.0,180633.84308456196,37.79948835770402,180633.84308456196,12.006166597616474,2.843859088471849,138.95927851814736,8.421266951092761,0.010177649481252708,11.941397417224689,5.741038163917824,0.15502792198495627,nearfield,23.882794834449378,8.914446412862937,0.2239043489543276,nearfield,27.62087358421129,9.779059345800391,0.24216964045775283,nearfield,,GeometryWarning
4000.0,5.0,oscillation limit,1027.0210818530525,farfield,20.7,23.029185619147064,1172.382654294625,1.141537087222491,0.2175805523707119,2850.987016797273,2450.042913773794,8.402927198110786,192.85698482582376,300.60265098110153,2140.7791056828687,7.316594677110433,4.6149808333815345,0.008063304696613895,farfield,207.0,167.9557788837089,8078.25968329944,7.865719434623338,2.805080552370712,2850.1424342019136,2450.0061927913875,8.40219674253382,193.2142938587844,299.99444308338894,2141.3305177737716,7.301872620061277,4.605554440778862,0.008012347432081941,9.168137638168966,2500.0,0.3808388130950338,17.938420304916686,0.3808388130950338,9.168137638168966,5.034200229308744,248.33590876289196,8.403041862002784,0.008071335483985698,,,,never,,,,never,,,,never,,GeometryWarning
6000.0,5.0,oscillation limit,1027.0210818530525,farfield,20.7,23.029185619147064,1172.382654294625,1.141537087222491,0.2175805523707119,2852.7035677490526,2450.042913773794,8.405033493937518,191.8128010199609,301.8892112624348,2139.539439265259,7.347909235715962,4.634732661470225,0.008141904194435036,farfield,207.0,167.9557788837089,8078.25968329944,7.865719434623338,2.805080552370712,2850.3901458574155,2450.0061927913875,8.4025015589491,193.06261316009434,300.1800123322477,2141.1517636276953,7.306389380445607,4.608403324480895,0.008023602524390024,10.670717788647307,2500.0,385.3909428000885,36.584026274743636,385.3909428000885,10.670717788647307,5.034200229308744,248.33590876289196,8.405430393414518,0.008160606969433168,2.157098474244971,0.47118777987788374,0.018296322650225495,nearfield,4.314196948489942,2.530994423999437,0.07725749617144427,nearfield,4.989444885225389,3.0512963637808785,0.09091769366479095,nearfield,,GeometryWarning
10000.0,5.0,oscillation limit,1027.0210818530525,farfield,20.7,23.029185619147064,1172.382654294625,1.141537087222491,0.2175805523707119,2856.136669652611,2450.042913773794,8.409226538489024,189.74952264882964,304.4644949450559,2137.05681656649,7.410591002726641,4.6742695268024255,0.008300676310685715,farfield,207.0,167.9557788837089,8078.25968329944,7.865719434623338,2.805080552370712,2850.885569168419,2450.0061927913875,8.403110782147426,192.7597806540837,300.5511959962837,2140.7941864058257,7.315424000563643,4.614101785284268,0.008046145008098365,11.504703848192133,2500.0,17942.114465879564,37.66779893942113,17942.114465879564,11.504703848192133,5.034200229308744,248.33590876289196,8.410182498776297,0.00834116423917608,4.950566799270353,3.025284902922149,0.09024539955818378,nearfield,9.901133598540707,5.2433165088895946,0.14390915588483733,nearfield,11.450835689933813,5.769472384886135,0.15586115313274426,nearfield,,GeometryWarning
20000.0,5.0,oscillation limit,1027.0210818530525,farfield,20.7,23.029185619147064,1172.382654294625,1.141537087222491,0.2175805523707119,2864.719424411509,2450.042913773794,8.419597351425026,184.7332871216943,310.91515276943386,2130.8314358398407,7.567598416503439,4.773302806707375,0.008706884564433083,farfield,207.0,167.9557788837089,8078.25968329944,7.865719434623338,2.805080552370712,2852.124127445928,2450.0061927913875,8.404631457400793,192.00577101833886,301.4794181069274,2139.8998423904964,7.338016951082099,4.628351974144457,0.008102689924196084,12.006166597616474,2500.0,180633.84308456202,37.79948835770396,180633.84308456202,12.006166597616474,5.034200229308744,248.33590876289196,8.421920353960456,0.008804453071913292,11.942038973211263,5.928643178240357,0.15943810275180081,nearfield,23.884077946422526,9.201109547866794,0.23046648525257976,nearfield,27.622357525845857,10.090010640089519,0.24924479008264466,nearfield,,GeometryWarning
4000.0,11.0,oscillation limit,1029.709693558789,farfield,20.7,22.763503008268458,1165.7259772639336,1.1320918745894848,0.2102805699695931,2850.9927576193454,2450.043163374754,8.402862815703083,191.8456530619021,299.3394841562238,2141.978213289879,7.261852854304928,4.583765816586811,0.007655218578492597,farfield,207.0,167.43441536106118,8073.390545623764,7.84045308704558,2.7977805699695932,2850.1425032385546,2450.0061957929806,8.401913585318862,192.31170209175573,298.73105681329514,2142.527757681155,7.247108655583504,4.574435616402843,0.007617828859596964,9.168137638168957,2500.0,0.38083881309501777,17.93842030491652,0.38083881309501777,9.168137638168957,5.559798962189299,274.3804921037095,8.403001202840263,0.007660684468550166,,,,never,,,,never,,,,never,,GeometryWarning
6000.0,11.0,oscillation limit,1029.709693558789,farfield,20.7,22.763503008268458,1165.7259772639336,1.1320918745894848,0.2102805699695931,2852.719292609511,2450.043163374754,8.404980314575111,190.80194324113796,300.6282606105511,2140.7369065011007,7.293118040879252,4.603500766022769,0.007730238181107597,farfield,207.0,167.43441536106118,8073.390545623764,7.84045308704558,2.7977805699695932,2850.390334957781,2450.0061957929806,8.40221839808758,192.1608049687632,298.91595621489637,2142.3497219006963,7.251594248972589,4.577266960479774,0.007628529632992971,10.670717788647307,2500.0,385.3909428000882,36.584026274743685,385.3909428000882,10.670717788647307,5.559798962189299,274.3804921037095,8.405382394935724,0.007745152244530401,2.1363395963591114,0.45551556688350636,0.017766801136762284,nearfield,4.272679192718223,2.212148560817094,0.06803468618400936,nearfield,4.941428868188024,3.114742975747539,0.09181969642787477,nearfield,,GeometryWarning
