****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m) (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
        43     2.310     0.174     0.148     0.084   -10.831  2738.933  1343.949    10.124    27.814    16.438 11307.476  2715.575
        44     2.355     0.177     0.153     0.087   -10.826  2720.522  1348.970    10.076    27.353    16.193 10757.945  2616.379
        45     2.402     0.181     0.158     0.090   -10.820  2702.473  1353.892    10.031    26.881    15.941 10214.485  2516.242
        46     2.450     0.184     0.163     0.093   -10.814  2684.777  1358.717     9.988    26.403    15.683  9682.043  2416.206
        47     2.498     0.188     0.169     0.096   -10.808  2667.429  1363.449     9.946    25.921    15.421  9164.404  2317.120
        48     2.548     0.192     0.174     0.099   -10.801  2650.420  1368.087     9.907    25.438    15.158  8664.322  2219.654
        49     2.598     0.195     0.180     0.102   -10.795  2633.745  1372.634     9.869    24.957    14.893  8183.688  2124.322
        50     2.650     0.199     0.185     0.105   -10.789  2617.397  1377.092     9.832    24.479    14.630  7723.688  2031.509
        51     2.702     0.203     0.191     0.109   -10.782  2601.370  1381.463     9.798    24.006    14.367  7284.950  1941.490
        52     2.756     0.207     0.197     0.112   -10.775  2585.657  1385.748     9.764    23.538    14.107  6867.673  1854.455
        53     2.810     0.211     0.203     0.115   -10.768  2570.252  1389.949     9.732    23.076    13.849  6471.727  1770.522
        54     2.866     0.215     0.209     0.119   -10.761  2555.149  1394.068     9.701    22.622    13.594  6096.739  1689.755
        55     2.923     0.220     0.216     0.122   -10.754  2540.342  1398.106     9.671    22.175    13.342  5742.158  1612.174
        56     2.981     0.224     0.222     0.126   -10.747  2525.825  1402.064     9.643    21.736    13.094  5407.311  1537.768
        57     3.040     0.228     0.229     0.129   -10.740  2511.594  1405.945     9.615    21.306    12.851  5091.440  1466.497
        58     3.100     0.233     0.235     0.133   -10.732  2497.641  1409.750     9.588    20.884    12.611  4793.736  1398.303
        59     3.162     0.237     0.242     0.137   -10.725  2483.961  1413.481     9.562    20.471    12.375  4513.358  1333.114
        60     3.225     0.242     0.249     0.141   -10.717  2470.550  1417.138     9.537    20.066    12.144  4249.458  1270.846
        61     3.289     0.247     0.256     0.145   -10.709  2457.402  1420.724     9.513    19.671    11.917  4001.192  1211.409
        62     3.354     0.251     0.263     0.148   -10.701  2444.512  1424.239     9.489    19.284    11.695  3767.726  1154.705
