****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m) (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
         1     1.019     0.077     0.002     0.001   -10.997  2976.542  1992.204     9.789    14.667     8.476  1634.309   501.274
         2     1.039     0.078     0.004     0.003   -10.995  2953.472  1984.514     9.761    19.330    10.884  3795.360   960.939
         3     1.060     0.080     0.007     0.004   -10.992  2930.855  1976.975     9.733    21.424    11.894  5176.605  1205.304
         4     1.080     0.081     0.009     0.005   -10.990  2908.682  1969.583     9.706    22.380    12.320  5902.864  1318.071
         5     1.101     0.083     0.011     0.007   -10.987  2886.943  1962.336     9.680    22.744    12.457  6195.914  1355.536
         6     1.123     0.085     0.014     0.008   -10.984  2865.630  1955.232     9.654    22.773    12.437  6219.665  1350.045
         7     1.145     0.086     0.016     0.009   -10.981  2844.735  1948.266     9.628    22.603    12.328  6081.480  1320.143
         8     1.167     0.088     0.019     0.011   -10.978  2824.250  1941.437     9.604    22.312    12.166  5849.584  1276.661
         9     1.190     0.090     0.022     0.012   -10.975  2804.167  1934.743     9.579    21.948    11.974  5566.981  1226.046
        10     1.213     0.091     0.024     0.014   -10.972  2784.477  1928.179     9.556    21.539    11.764  5260.691  1172.185
        11     1.237     0.093     0.027     0.015   -10.969  2765.174  1921.744     9.532    21.104    11.546  4947.596  1117.442
        12     1.261     0.095     0.030     0.017   -10.966  2746.249  1915.435     9.509    20.657    11.323  4638.120  1063.250
        13     1.286     0.097     0.032     0.019   -10.963  2727.695  1909.250     9.487    20.205    11.100  4338.546  1010.464
        14     1.311     0.099     0.035     0.020   -10.959  2709.505  1903.187     9.465    19.754    10.878  4052.488   959.582
        15     1.337     0.101     0.038     0.022   -10.956  2691.672  1897.242     9.444    19.307    10.660  3781.843   910.868
        16     1.363     0.103     0.041     0.024   -10.953  2674.188  1891.414     9.422    18.868    10.445  3527.402   864.443
        17     1.390     0.105     0.044     0.025   -10.949  2657.047  1885.700     9.402    18.439    10.235  3289.252   820.336
        18     1.417     0.107     0.047     0.027   -10.946  2640.242  1880.098     9.381    18.019    10.030  3067.041   778.518
        19     1.445     0.109     0.050     0.029   -10.942  2623.767  1874.606     9.361    17.610     9.830  2860.149   738.926
        20     1.474     0.111     0.054     0.031   -10.938  2607.614  1869.221     9.342    17.211     9.635  2667.805   701.472
        21     1.503     0.113     0.057     0.033   -10.935  2591.779  1863.942     9.323    16.825     9.446  2489.162   666.061
        22     1.532     0.116     0.060     0.035   -10.931  2576.254  1858.767     9.304    16.449     9.261  2323.346   632.592
        23     1.562     0.118     0.064     0.036   -10.927  2561.033  1853.693     9.285    16.085     9.081  2169.490   600.961
        24     1.593     0.120     0.067     0.038   -10.923  2546.111  1848.719     9.267    15.731     8.906  2026.750   571.067
        25     1.624     0.122     0.071     0.040   -10.919  2531.481  1843.842     9.249    15.388     8.736  1894.319   542.812
        26     1.656     0.125     0.074     0.043   -10.915  2517.139  1839.061     9.231    15.056     8.570  1771.436   516.102
        27     1.689     0.127     0.078     0.045   -10.911  2503.077  1834.373     9.214    14.734     8.409  1657.386   490.847
        28     1.722     0.130     0.082     0.047   -10.906  2489.291  1829.778     9.197    14.421     8.252  1551.502   466.963
