"1.00E+00","3.00E+03","2.70E+03","8.00E+00","1.00E+02"
"3.00E+00","3.00E+03","2.70E+03","8.00E+00","1.00E+02"
"6.00E+00","3.00E+03","2.75E+03","8.00E+00","1.00E+02"
"1.00E+01","2.90E+03","2.80E+03","8.00E+00","1.00E+02"
"1.20E+01","2.90E+03","2.80E+03","8.00E+00","1.00E+02"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
