****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.30     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.237     0.000     0.009    -2.409     0.109     1.020  1026.913 98033.401    34.924    10.011     0.020     1.000
         2     1.029     0.237     0.000     0.012    -2.413     0.154     1.029  1026.887 97177.907    34.891    10.016     0.020     1.000
         3     1.038     0.238     0.000     0.016    -2.417     0.202     1.038  1026.860 96305.154    34.858    10.021     0.020     1.000
         4     1.048     0.239     0.000     0.020    -2.421     0.250     1.048  1026.832 95415.655    34.824    10.026     0.020     1.000
         5     1.058     0.241     0.000     0.024    -2.425     0.299     1.058  1026.805 94516.287    34.789    10.031     0.020     1.000
         6     1.068     0.242     0.000     0.028    -2.430     0.349     1.068  1026.776 93608.082    34.754    10.036     0.020     1.000
         7     1.079     0.243     0.000     0.032    -2.434     0.401     1.079  1026.748 92691.306    34.719    10.041     0.020     1.000
         8     1.090     0.244     0.000     0.036    -2.439     0.453     1.090  1026.719 91765.901    34.683    10.046     0.020     1.000
         9     1.101     0.245     0.000     0.040    -2.443     0.507     1.101  1026.691 90831.751    34.647    10.051     0.020     1.000
        10     1.112     0.246     0.000     0.044    -2.448     0.562     1.112  1026.661 89888.720    34.611    10.056     0.020     1.000
        11     1.124     0.248     0.000     0.048    -2.453     0.618     1.124  1026.632 88936.667    34.574    10.061     0.020     1.000
        12     1.137     0.249     0.000     0.053    -2.458     0.675     1.137  1026.602 87975.451    34.537    10.066     0.020     1.000
        13     1.149     0.250     0.000     0.057    -2.464     0.734     1.149  1026.572 87004.928    34.500    10.072     0.020     1.000
        14     1.162     0.252     0.000     0.061    -2.469     0.794     1.162  1026.542 86024.956    34.462    10.077     0.020     1.000
        15     1.176     0.253     0.000     0.066    -2.475     0.856     1.176  1026.511 85035.392    34.424    10.082     0.020     1.000
        16     1.190     0.255     0.000     0.070    -2.481     0.919     1.190  1026.481 84036.093    34.386    10.088     0.020     1.000
        17     1.204     0.256     0.000     0.075    -2.487     0.985     1.204  1026.449 83026.915    34.347    10.093     0.020     1.000
        18     1.219     0.258     0.000     0.080    -2.493     1.051     1.219  1026.418 82007.715    34.308    10.099     0.020     1.000
        19     1.235     0.260     0.000     0.085    -2.499     1.120     1.235  1026.386 80978.349    34.268    10.104     0.020     1.000
        20     1.251     0.261     0.000     0.090    -2.506     1.190     1.251  1026.354 79938.672    34.228    10.110     0.020     1.000
        21     1.268     0.263     0.000     0.095    -2.513     1.263     1.268  1026.322 78888.540    34.188    10.115     0.020     1.000
        22     1.285     0.265     0.000     0.100    -2.520     1.337     1.285  1026.289 77827.809    34.147    10.121     0.020     1.000
        23     1.303     0.267     0.000     0.105    -2.527     1.414     1.303  1026.256 76756.334    34.106    10.126     0.020     1.000
        24     1.321     0.269     0.000     0.110    -2.535     1.493     1.321  1026.223 75673.969    34.065    10.132     0.020     1.000
        25     1.341     0.271     0.000     0.115    -2.542     1.574     1.341  1026.189 74580.568    34.023    10.138     0.020     1.000
        26     1.361     0.273     0.000     0.121    -2.550     1.658     1.361  1026.155 73475.984    33.980    10.143     0.020     1.000
        27     1.382     0.275     0.000     0.127    -2.559     1.745     1.382  1026.121 72360.071    33.937    10.149     0.020     1.000
        28     1.404     0.277     0.000     0.132    -2.568     1.835     1.404  1026.086 71232.678    33.894    10.155     0.020     1.000
        29     1.427     0.279     0.000     0.138    -2.577     1.927     1.427  1026.051 70093.657    33.850    10.161     0.020     1.000
        30     1.450     0.282     0.000     0.144    -2.586     2.023     1.450  1026.016 68942.856    33.806    10.167     0.020     1.000
        31     1.475     0.284     0.000     0.150    -2.596     2.122     1.475  1025.980 67780.121    33.762    10.172     0.020     1.000
        32     1.501     0.287     0.000     0.157    -2.606     2.225     1.501  1025.944 66605.297    33.717    10.178     0.020     1.000
        33     1.529     0.290     0.000     0.163    -2.616     2.332     1.529  1025.907 65418.226    33.671    10.184     0.020     1.000
        34     1.557     0.293     0.000     0.170    -2.627     2.442     1.557  1025.871 64218.744    33.625    10.190     0.020     1.000
        35     1.587     0.296     0.000     0.177    -2.639     2.557     1.587  1025.833 63006.686    33.579    10.196     0.020     1.000
        36     1.619     0.299     0.000     0.184    -2.651     2.677     1.619  1025.796 61781.880    33.532    10.202     0.020     1.000
        37     1.651     0.302     0.000     0.191    -2.663     2.799     1.651  1025.759 60568.278    33.486    10.207     0.020     1.000
        38     1.684     0.305     0.000     0.198    -2.675     2.923     1.684  1025.722 59378.559    33.440    10.213     0.020     1.000
        39     1.718     0.308     0.000     0.205    -2.688     3.047     1.718  1025.687 58212.251    33.395    10.219     0.020     1.000
        40     1.752     0.312     0.000     0.212    -2.700     3.174     1.752  1025.652 57068.893    33.352    10.224     0.020     1.000
        41     1.787     0.315     0.000     0.219    -2.713     3.301     1.787  1025.618 55948.030    33.309    10.229     0.020     1.000
        42     1.823     0.319     0.000     0.226    -2.726     3.430     1.823  1025.584 54849.219    33.267    10.234     0.020     1.000
        43     1.860     0.322     0.000     0.233    -2.739     3.560     1.860  1025.551 53772.025    33.226    10.239     0.020     1.000
        44     1.897     0.326     0.000     0.239    -2.752     3.692     1.897  1025.519 52716.020    33.186    10.243     0.020     1.000
        45     1.935     0.329     0.000     0.246    -2.766     3.825     1.935  1025.488 51680.788    33.146    10.248     0.020     1.000
        46     1.974     0.333     0.000     0.253    -2.779     3.959     1.974  1025.457 50665.917    33.108    10.252     0.020     1.000
        47     2.013     0.337     0.000     0.260    -2.793     4.096     2.013  1025.427 49671.006    33.070    10.256     0.020     1.007
        48     2.054     0.341     0.000     0.267    -2.807     4.233     2.054  1025.397 48695.662    33.033    10.260     0.020     1.027
        49     2.095     0.344     0.000     0.274    -2.821     4.373     2.095  1025.368 47739.498    32.996    10.264     0.020     1.047
