****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.00     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.003     0.313     0.000     0.008    -2.410     0.276     1.003  1026.964 99655.326    34.987    10.002     0.020     1.000
         2     1.004     0.291     0.000     0.008    -2.410     0.291     1.004  1026.962 99607.747    34.985    10.002     0.020     1.000
         3     1.005     0.290     0.000     0.009    -2.411     0.309     1.005  1026.960 99540.283    34.982    10.003     0.020     1.000
         4     1.005     0.289     0.000     0.009    -2.412     0.328     1.005  1026.958 99467.854    34.980    10.003     0.020     1.000
         5     1.006     0.288     0.000     0.010    -2.412     0.347     1.006  1026.955 99390.461    34.977    10.003     0.020     1.000
         6     1.007     0.287     0.000     0.010    -2.413     0.366     1.007  1026.953 99307.690    34.973    10.004     0.020     1.000
         7     1.008     0.286     0.000     0.011    -2.414     0.386     1.008  1026.950 99219.074    34.970    10.004     0.020     1.000
         8     1.009     0.284     0.000     0.011    -2.415     0.406     1.009  1026.947 99124.095    34.966    10.005     0.020     1.000
         9     1.010     0.283     0.000     0.012    -2.416     0.427     1.010  1026.944 99022.179    34.962    10.005     0.020     1.000
        10     1.011     0.282     0.000     0.012    -2.416     0.448     1.011  1026.941 98912.687    34.958    10.006     0.020     1.000
        11     1.012     0.281     0.000     0.013    -2.417     0.470     1.012  1026.937 98794.908    34.954    10.007     0.020     1.000
        12     1.013     0.280     0.000     0.014    -2.418     0.492     1.013  1026.933 98668.046    34.949    10.007     0.020     1.000
        13     1.015     0.279     0.000     0.014    -2.419     0.515     1.015  1026.929 98531.210    34.943    10.008     0.020     1.000
        14     1.016     0.277     0.000     0.015    -2.420     0.538     1.016  1026.924 98383.400    34.938    10.009     0.020     1.000
        15     1.018     0.276     0.000     0.016    -2.421     0.563     1.018  1026.919 98223.485    34.932    10.010     0.020     1.000
        16     1.020     0.275     0.000     0.016    -2.422     0.587     1.020  1026.914 98050.188    34.925    10.011     0.020     1.000
