****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        42     2.301     0.315     0.000     0.321    -2.757     2.647     2.301  1025.234 43456.651    32.830    10.291     0.020     1.151
        43     2.347     0.320     0.000     0.331    -2.770     2.756     2.347  1025.208 42603.486    32.797    10.295     0.020     1.174
        44     2.394     0.325     0.000     0.341    -2.782     2.868     2.394  1025.183 41767.093    32.765    10.298     0.020     1.197
        45     2.442     0.330     0.000     0.351    -2.795     2.983     2.442  1025.158 40947.141    32.734    10.301     0.020     1.221
        46     2.491     0.335     0.000     0.361    -2.808     3.100     2.491  1025.134 40143.306    32.704    10.304     0.020     1.246
        47     2.541     0.340     0.000     0.371    -2.821     3.221     2.541  1025.110 39355.271    32.674    10.307     0.020     1.270
        48     2.592     0.345     0.000     0.382    -2.835     3.343     2.592  1025.087 38582.723    32.645    10.310     0.020     1.296
        49     2.644     0.350     0.000     0.392    -2.848     3.469     2.644  1025.064 37825.359    32.616    10.313     0.020     1.322
        50     2.697     0.355     0.000     0.402    -2.862     3.598     2.697  1025.042 37082.880    32.588    10.315     0.020     1.348
        51     2.751     0.361     0.000     0.413    -2.876     3.729     2.751  1025.020 36354.991    32.560    10.318     0.020     1.375
        52     2.806     0.366     0.000     0.423    -2.890     3.863     2.806  1024.999 35641.405    32.533    10.320     0.020     1.403
        53     2.862     0.371     0.000     0.434    -2.905     4.001     2.862  1024.978 34941.842    32.507    10.322     0.020     1.431
        54     2.919     0.377     0.000     0.445    -2.920     4.141     2.919  1024.957 34256.024    32.481    10.324     0.020     1.460
        55     2.978     0.382     0.000     0.456    -2.934     4.284     2.978  1024.937 33583.681    32.456    10.326     0.020     1.489
        56     3.037     0.388     0.000     0.466    -2.950     4.430     3.037  1024.918 32924.549    32.431    10.328     0.020     1.519
        57     3.098     0.394     0.000     0.477    -2.965     4.580     3.098  1024.899 32278.366    32.407    10.330     0.020     1.549
        58     3.160     0.399     0.000     0.488    -2.980     4.732     3.160  1024.880 31644.877    32.383    10.332     0.020     1.580
        59     3.223     0.405     0.000     0.499    -2.996     4.888     3.223  1024.862 31023.834    32.360    10.333     0.020     1.612
        60     3.288     0.411     0.000     0.511    -3.012     5.046     3.288  1024.844 30414.991    32.337    10.335     0.020     1.644
        61     3.354     0.417     0.000     0.522    -3.028     5.208     3.354  1024.826 29818.107    32.315    10.336     0.020     1.677
        62     3.421     0.423     0.000     0.533    -3.045     5.373     3.421  1024.809 29232.948    32.293    10.337     0.020     1.710
        63     3.489     0.429     0.000     0.544    -3.062     5.542     3.489  1024.792 28659.282    32.271    10.338     0.020     1.745
