****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        47     1.379     0.301     0.000     0.111    -2.590     2.613     1.379  1026.126 72525.854    33.944    10.147     0.020     1.000
        48     1.402     0.303     0.000     0.116    -2.600     2.727     1.402  1026.089 71318.010    33.898    10.153     0.020     1.000
        49     1.427     0.304     0.000     0.120    -2.611     2.847     1.427  1026.051 70059.315    33.850    10.159     0.020     1.000
        50     1.455     0.306     0.000     0.125    -2.623     2.975     1.455  1026.010 68747.107    33.800    10.166     0.020     1.000
        51     1.484     0.308     0.000     0.130    -2.635     3.110     1.484  1025.969 67396.403    33.748    10.172     0.020     1.000
        52     1.513     0.310     0.000     0.135    -2.648     3.244     1.513  1025.928 66072.292    33.697    10.179     0.020     1.000
        53     1.544     0.312     0.000     0.140    -2.660     3.379     1.544  1025.889 64774.247    33.647    10.185     0.020     1.000
        54     1.575     0.314     0.000     0.145    -2.673     3.514     1.575  1025.850 63501.754    33.599    10.191     0.020     1.000
        55     1.606     0.317     0.000     0.150    -2.686     3.649     1.606  1025.812 62254.307    33.551    10.197     0.020     1.000
        56     1.639     0.319     0.000     0.155    -2.699     3.785     1.639  1025.774 61031.411    33.504    10.203     0.020     1.000
        57     1.671     0.322     0.000     0.160    -2.712     3.921     1.671  1025.738 59832.582    33.459    10.208     0.020     1.000
        58     1.705     0.324     0.000     0.165    -2.726     4.058     1.705  1025.702 58657.345    33.414    10.213     0.020     1.000
        59     1.739     0.327     0.000     0.170    -2.739     4.195     1.739  1025.667 57505.232    33.370    10.219     0.020     1.000
        60     1.774     0.330     0.000     0.174    -2.753     4.334     1.774  1025.632 56375.789    33.327    10.224     0.020     1.000
        61     1.809     0.333     0.000     0.179    -2.766     4.473     1.809  1025.599 55268.566    33.284    10.228     0.020     1.000
        62     1.846     0.336     0.000     0.184    -2.780     4.613     1.846  1025.566 54183.126    33.243    10.233     0.020     1.000
        63     1.883     0.339     0.000     0.189    -2.794     4.754     1.883  1025.533 53119.039    33.203    10.238     0.020     1.000
        64     1.920     0.342     0.000     0.194    -2.808     4.896     1.920  1025.502 52075.883    33.163    10.242     0.020     1.000
        65     1.959     0.345     0.000     0.198    -2.822     5.040     1.959  1025.471 51053.245    33.124    10.246     0.020     1.000
        66     1.998     0.349     0.000     0.203    -2.837     5.184     1.998  1025.440 50050.721    33.086    10.250     0.020     1.000
        67     2.038     0.352     0.000     0.208    -2.851     5.330     2.038  1025.411 49067.913    33.048    10.254     0.020     1.019
        68     2.079     0.355     0.000     0.213    -2.866     5.477     2.079  1025.382 48104.432    33.012    10.258     0.020     1.039
        69     2.120     0.359     0.000     0.218    -2.881     5.626     2.120  1025.353 47159.898    32.976    10.261     0.020     1.060
        70     2.163     0.363     0.000     0.222    -2.896     5.775     2.163  1025.325 46233.937    32.941    10.265     0.020     1.081
        71     2.206     0.366     0.000     0.227    -2.911     5.927     2.206  1025.298 45326.182    32.907    10.268     0.020     1.103
        72     2.250     0.370     0.000     0.232    -2.926     6.079     2.250  1025.271 44436.275    32.873    10.271     0.020     1.125
        73     2.295     0.374     0.000     0.237    -2.941     6.234     2.295  1025.245 43563.864    32.840    10.274     0.020     1.148
        74     2.341     0.378     0.000     0.242    -2.957     6.390     2.341  1025.219 42708.603    32.808    10.277     0.020     1.171
        75     2.388     0.382     0.000     0.247    -2.973     6.547     2.388  1025.194 41870.155    32.776    10.280     0.020     1.194
        76     2.436     0.386     0.000     0.251    -2.988     6.707     2.436  1025.170 41048.189    32.745    10.282     0.020     1.218
        77     2.485     0.390     0.000     0.256    -3.004     6.868     2.485  1025.146 40242.380    32.715    10.285     0.020     1.242
        78     2.535     0.394     0.000     0.261    -3.021     7.030     2.535  1025.122 39452.408    32.685    10.287     0.020     1.267
        79     2.585     0.398     0.000     0.266    -3.037     7.195     2.585  1025.099 38677.963    32.656    10.289     0.020     1.293
        80     2.637     0.403     0.000     0.271    -3.053     7.362     2.637  1025.077 37918.737    32.627    10.291     0.020     1.319
        81     2.690     0.407     0.000     0.276    -3.070     7.530     2.690  1025.055 37174.431    32.599    10.293     0.020     1.345
        82     2.744     0.411     0.000     0.281    -3.087     7.701     2.744  1025.033 36444.751    32.572    10.295     0.020     1.372
        83     2.799     0.416     0.000     0.286    -3.104     7.873     2.799  1025.012 35729.408    32.545    10.297     0.020     1.399
        84     2.855     0.421     0.000     0.291    -3.121     8.048     2.855  1024.991 35028.121    32.519    10.298     0.020     1.427
        85     2.912     0.425     0.000     0.297    -3.138     8.225     2.912  1024.971 34340.613    32.493    10.300     0.020     1.456
        86     2.970     0.430     0.000     0.302    -3.156     8.404     2.970  1024.951 33666.612    32.467    10.301     0.020     1.485
        87     3.030     0.435     0.000     0.307    -3.173     8.585     3.030  1024.931 33005.853    32.443    10.303     0.020     1.515
        88     3.090     0.440     0.000     0.312    -3.191     8.769     3.090  1024.912 32358.075    32.418    10.304     0.020     1.545
        89     3.152     0.445     0.000     0.317    -3.209     8.954     3.152  1024.893 31723.022    32.394    10.305     0.020     1.576
        90     3.215     0.450     0.000     0.323    -3.228     9.143     3.215  1024.875 31100.444    32.371    10.306     0.020     1.608
        91     3.280     0.455     0.000     0.328    -3.246     9.333     3.280  1024.857 30490.096    32.348    10.307     0.020     1.640
        92     3.345     0.460     0.000     0.333    -3.265     9.526     3.345  1024.839 29891.737    32.325    10.308     0.020     1.673
        93     3.412     0.465     0.000     0.339    -3.283     9.722     3.412  1024.822 29305.130    32.303    10.308     0.020     1.706
        94     3.481     0.471     0.000     0.344    -3.302     9.920     3.481  1024.805 28730.045    32.282    10.309     0.020     1.740
        95     3.550     0.476     0.000     0.350    -3.322    10.121     3.550  1024.788 28166.256    32.261    10.309     0.020     1.775
        96     3.621     0.482     0.000     0.355    -3.341    10.324     3.621  1024.772 27613.539    32.240    10.310     0.020     1.811
        97     3.694     0.487     0.000     0.361    -3.360    10.530     3.694  1024.756 27071.677    32.219    10.310     0.020     1.847
        98     3.768     0.493     0.000     0.367    -3.380    10.739     3.768  1024.741 26540.456    32.199    10.310     0.020     1.884
        99     3.843     0.499     0.000     0.372    -3.400    10.950     3.843  1024.725 26019.668    32.180    10.310     0.020     1.922
       100     3.920     0.505     0.000     0.378    -3.420    11.165     3.920  1024.711 25509.106    32.161    10.310     0.020     1.960
       101     3.999     0.510     0.000     0.384    -3.441    11.382     3.999  1024.696 25008.571    32.142    10.310     0.020     1.999
       102     4.079     0.516     0.000     0.390    -3.461    11.603     4.079  1024.682 24517.864    32.123    10.310     0.020     2.039
       103     4.160     0.523     0.000     0.395    -3.482    11.826     4.160  1024.668 24036.792    32.105    10.310     0.020     2.080
       104     4.244     0.529     0.000     0.401    -3.503    12.052     4.244  1024.654 23565.167    32.087    10.309     0.020     2.122
       105     4.328     0.535     0.000     0.407    -3.524    12.282     4.328  1024.640 23102.801    32.070    10.309     0.020     2.164
       106     4.415     0.541     0.000     0.413    -3.546    12.514     4.415  1024.627 22649.514    32.053    10.308     0.020     2.208
       107     4.503     0.548     0.000     0.419    -3.567    12.750     4.503  1024.614 22205.126    32.036    10.308     0.020     2.252
       108     4.594     0.554     0.000     0.426    -3.589    12.990     4.594  1024.602 21769.463    32.020    10.307     0.020     2.297
       109     4.686     0.561     0.000     0.432    -3.611    13.232     4.686  1024.589 21342.354    32.004    10.306     0.020     2.343
       110     4.779     0.568     0.000     0.438    -3.633    13.478     4.779  1024.577 20923.629    31.988    10.305     0.020     2.390
       111     4.875     0.574     0.000     0.444    -3.656    13.727     4.875  1024.565 20513.124    31.973    10.304     0.020     2.437
       112     4.972     0.581     0.000     0.451    -3.679    13.980     4.972  1024.554 20110.679    31.957    10.303     0.020     2.486
       113     5.072     0.588     0.000     0.457    -3.702    14.237     5.072  1024.542 19716.133    31.943    10.302     0.020     2.536
       114     5.173     0.595     0.000     0.464    -3.725    14.497     5.173  1024.531 19329.333    31.928    10.301     0.020     2.587
       115     5.277     0.602     0.000     0.470    -3.748    14.761     5.277  1024.520 18950.125    31.914    10.299     0.020     2.639
       116     5.383     0.610     0.000     0.477    -3.772    15.028     5.383  1024.510 18578.361    31.900    10.298     0.020     2.691
       117     5.490     0.617     0.000     0.484    -3.796    15.300     5.490  1024.499 18213.894    31.886    10.297     0.020     2.745
       118     5.600     0.625     0.000     0.490    -3.820    15.575     5.600  1024.489 17856.581    31.873    10.295     0.020     2.800
       119     5.712     0.632     0.000     0.497    -3.844    15.854     5.712  1024.479 17506.281    31.859    10.293     0.020     2.856
       120     5.827     0.640     0.000     0.504    -3.869    16.137     5.827  1024.469 17162.857    31.846    10.292     0.020     2.913
       121     5.943     0.648     0.000     0.511    -3.893    16.425     5.943  1024.460 16826.174    31.834    10.290     0.020     2.972
       122     6.062     0.656     0.000     0.518    -3.919    16.716     6.062  1024.450 16496.098    31.821    10.288     0.020     3.031
       123     6.183     0.664     0.000     0.526    -3.944    17.012     6.183  1024.441 16172.501    31.809    10.286     0.020     3.092
       124     6.307     0.672     0.000     0.533    -3.969    17.312     6.307  1024.432 15855.255    31.797    10.284     0.020     3.154
       125     6.433     0.680     0.000     0.540    -3.995    17.616     6.433  1024.424 15544.235    31.785    10.282     0.020     3.217
       126     6.562     0.688     0.000     0.548    -4.021    17.925     6.562  1024.415 15239.318    31.774    10.280     0.020     3.281
       127     6.693     0.697     0.000     0.555    -4.048    18.238     6.693  1024.407 14940.386    31.763    10.277     0.020     3.347
       128     6.827     0.705     0.000     0.563    -4.074    18.556     6.827  1024.399 14647.320    31.752    10.275     0.020     3.414
       129     6.964     0.714     0.000     0.570    -4.101    18.879     6.964  1024.391 14360.006    31.741    10.273     0.020     3.482
       130     7.103     0.723     0.000     0.578    -4.128    19.206     7.103  1024.383 14078.329    31.730    10.270     0.020     3.552
       131     7.245     0.732     0.000     0.586    -4.156    19.538     7.245  1024.375 13802.180    31.720    10.268     0.020     3.623
