****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        () (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
         1     1.020     0.013     0.000     0.000    -2.000     0.009     1.020  1026.912 98033.309    34.924    10.013     0.020     1.000  4084.213  2566.114     9.148    27.723    17.644 11197.298     0.000
         2     1.041     0.013     0.000     0.001    -1.999     0.017     1.041  1026.852 96105.410    34.849    10.026     0.020     1.000  4060.993  2564.817     9.137    27.314    17.382 10712.820     0.000
         3     1.061     0.013     0.000     0.001    -1.999     0.024     1.061  1026.792 94215.534    34.775    10.038     0.020     1.000  4038.230  2563.546     9.126    26.913    17.126 10251.085     0.000
         4     1.083     0.014     0.000     0.002    -1.999     0.032     1.083  1026.734 92362.927    34.703    10.051     0.020     1.000  4015.913  2562.300     9.115    26.520    16.874  9811.001     0.000
         5     1.104     0.014     0.000     0.002    -1.998     0.040     1.104  1026.677 90546.849    34.632    10.063     0.020     1.000  3994.035  2561.079     9.104    26.134    16.627  9391.527     0.000
         6     1.127     0.014     0.000     0.002    -1.998     0.048     1.127  1026.621 88766.577    34.563    10.075     0.020     1.000  3972.586  2559.881     9.093    25.756    16.385  8991.672     0.000
         7     1.149     0.014     0.000     0.003    -1.998     0.056     1.149  1026.566 87023.975    34.495    10.086     0.020     1.000  3951.589  2558.709     9.082    25.386    16.148  8611.045     0.000
         8     1.172     0.015     0.000     0.003    -1.997     0.064     1.172  1026.513 85345.077    34.430    10.097     0.020     1.000  3931.359  2557.579     9.072    25.029    15.919  8254.303     0.000
         9     1.194     0.015     0.000     0.003    -1.997     0.072     1.194  1026.462 83723.490    34.367    10.108     0.020     1.000  3911.818  2556.488     9.062    24.684    15.699  7918.930     0.000
        10     1.217     0.015     0.000     0.004    -1.997     0.081     1.217  1026.413 82160.232    34.306    10.119     0.020     1.000  3892.978  2555.436     9.053    24.352    15.486  7604.082     0.000
        11     1.240     0.015     0.000     0.004    -1.996     0.089     1.240  1026.365 80650.463    34.247    10.129     0.020     1.000  3874.782  2554.420     9.043    24.031    15.280  7307.810     0.000
        12     1.263     0.016     0.000     0.004    -1.996     0.098     1.263  1026.320 79192.013    34.190    10.138     0.020     1.000  3857.204  2553.438     9.034    23.720    15.082  7028.814     0.000
        13     1.286     0.016     0.000     0.005    -1.996     0.107     1.286  1026.275 77781.763    34.136    10.148     0.020     1.000  3840.205  2552.489     9.026    23.420    14.890  6765.704     0.000
        14     1.309     0.016     0.000     0.005    -1.995     0.115     1.309  1026.232 76417.419    34.082    10.157     0.020     1.000  3823.759  2551.570     9.017    23.130    14.704  6517.332     0.000
        15     1.332     0.016     0.000     0.006    -1.995     0.124     1.332  1026.191 75096.584    34.031    10.166     0.020     1.000  3807.837  2550.681     9.009    22.849    14.524  6282.608     0.000
        16     1.355     0.017     0.000     0.006    -1.995     0.133     1.355  1026.150 73817.163    33.981    10.174     0.020     1.000  3792.413  2549.819     9.001    22.577    14.350  6060.562     0.000
        17     1.378     0.017     0.000     0.006    -1.994     0.142     1.378  1026.111 72577.133    33.933    10.183     0.020     1.000  3777.463  2548.984     8.993    22.313    14.181  5850.298     0.000
        18     1.401     0.017     0.000     0.007    -1.994     0.151     1.401  1026.074 71374.636    33.886    10.191     0.020     1.000  3762.966  2548.174     8.985    22.057    14.018  5651.002     0.000
        19     1.424     0.018     0.000     0.007    -1.994     0.160     1.424  1026.037 70207.916    33.841    10.198     0.020     1.000  3748.899  2547.389     8.978    21.809    13.859  5461.928     0.000
        20     1.448     0.018     0.000     0.007    -1.994     0.169     1.448  1026.001 69075.334    33.796    10.206     0.020     1.000  3735.243  2546.626     8.970    21.568    13.705  5282.391     0.000
        21     1.471     0.018     0.000     0.008    -1.993     0.179     1.471  1025.966 67975.351    33.754    10.213     0.020     1.000  3721.980  2545.885     8.963    21.334    13.555  5111.763     0.000
        22     1.495     0.018     0.000     0.008    -1.993     0.188     1.495  1025.933 66906.523    33.712    10.220     0.020     1.000  3709.092  2545.165     8.956    21.107    13.410  4949.467     0.000
        23     1.518     0.019     0.000     0.009    -1.993     0.198     1.518  1025.900 65867.492    33.671    10.227     0.020     1.000  3696.563  2544.465     8.950    20.886    13.269  4794.971     0.000
        24     1.542     0.019     0.000     0.009    -1.992     0.207     1.542  1025.868 64856.982    33.632    10.234     0.020     1.000  3684.377  2543.784     8.943    20.671    13.131  4647.785     0.000
        25     1.566     0.019     0.000     0.009    -1.992     0.217     1.566  1025.837 63873.793    33.594    10.241     0.020     1.000  3672.521  2543.122     8.937    20.462    12.998  4507.457     0.000
        26     1.589     0.019     0.000     0.010    -1.992     0.226     1.589  1025.807 62916.793    33.556    10.247     0.020     1.000  3660.980  2542.477     8.930    20.259    12.868  4373.570     0.000
        27     1.613     0.020     0.000     0.010    -1.992     0.236     1.613  1025.778 61984.916    33.520    10.253     0.020     1.000  3649.742  2541.849     8.924    20.061    12.741  4245.737     0.000
        28     1.637     0.020     0.000     0.010    -1.991     0.246     1.637  1025.749 61077.156    33.485    10.259     0.020     1.000  3638.794  2541.237     8.918    19.868    12.618  4123.602     0.000
        29     1.661     0.020     0.000     0.011    -1.991     0.256     1.661  1025.721 60192.564    33.450    10.265     0.020     1.000  3628.126  2540.641     8.912    19.680    12.498  4006.832     0.000
        30     1.685     0.020     0.000     0.011    -1.991     0.266     1.685  1025.694 59330.243    33.417    10.271     0.020     1.000  3617.726  2540.060     8.906    19.497    12.381  3895.121     0.000
        31     1.710     0.021     0.000     0.011    -1.991     0.276     1.710  1025.668 58489.346    33.384    10.277     0.020     1.000  3607.584  2539.493     8.901    19.318    12.267  3788.182     0.000
        32     1.734     0.021     0.000     0.012    -1.990     0.287     1.734  1025.642 57669.073    33.352    10.282     0.020     1.000  3597.691  2538.940     8.895    19.144    12.156  3685.751     0.000
        33     1.758     0.021     0.000     0.012    -1.990     0.297     1.758  1025.617 56868.663    33.321    10.288     0.020     1.000  3588.037  2538.401     8.890    18.974    12.047  3587.579     0.000
