****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        () (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
        27     1.613     0.020     0.000     0.010    -1.992     0.236     1.613  1025.778 61984.916    33.520    10.253     0.020     1.000 13846.729  2541.849    11.744    59.221    37.614104653.583     0.000
        28     1.637     0.020     0.000     0.010    -1.991     0.246     1.637  1025.749 61077.156    33.485    10.259     0.020     1.000 13686.728  2541.237    11.736    59.218    37.609104635.038     0.000
        29     1.661     0.020     0.000     0.011    -1.991     0.256     1.661  1025.721 60192.564    33.450    10.265     0.020     1.000 13530.803  2540.641    11.727    59.214    37.605104616.229     0.000
        30     1.685     0.020     0.000     0.011    -1.991     0.266     1.685  1025.694 59330.243    33.417    10.271     0.020     1.000 13378.795  2540.060    11.719    59.211    37.600104597.154     0.000
        31     1.710     0.021     0.000     0.011    -1.991     0.276     1.710  1025.668 58489.346    33.384    10.277     0.020     1.000 13230.557  2539.493    11.711    59.207    37.596104577.815     0.000
        32     1.734     0.021     0.000     0.012    -1.990     0.287     1.734  1025.642 57669.073    33.352    10.282     0.020     1.000 13085.947  2538.940    11.703    59.203    37.591104558.209     0.000
        33     1.758     0.021     0.000     0.012    -1.990     0.297     1.758  1025.617 56868.663    33.321    10.288     0.020     1.000 12944.832  2538.401    11.695    59.199    37.587104538.337     0.000
        34     1.783     0.022     0.000     0.013    -1.990     0.307     1.783  1025.592 56087.400    33.290    10.293     0.020     1.000 12807.087  2537.874    11.687    59.195    37.582104518.195     0.000
        35     1.808     0.022     0.000     0.013    -1.990     0.318     1.808  1025.568 55324.604    33.260    10.298     0.020     1.000 12672.591  2537.360    11.679    59.191    37.578104497.784     0.000
        36     1.832     0.022     0.000     0.013    -1.990     0.329     1.832  1025.545 54579.631    33.231    10.303     0.020     1.000 12541.232  2536.858    11.671    59.187    37.573104477.100     0.000
        37     1.857     0.022     0.000     0.014    -1.989     0.339     1.857  1025.522 53851.869    33.203    10.308     0.020     1.000 12412.903  2536.367    11.663    59.183    37.569104456.142     0.000
        38     1.882     0.023     0.000     0.014    -1.989     0.350     1.882  1025.499 53140.739    33.175    10.313     0.020     1.000 12287.501  2535.888    11.655    59.179    37.564104434.908     0.000
        39     1.907     0.023     0.000     0.015    -1.989     0.361     1.907  1025.477 52445.692    33.148    10.317     0.020     1.000 12164.930  2535.419    11.648    59.175    37.560104413.395     0.000
        40     1.932     0.023     0.000     0.015    -1.989     0.372     1.932  1025.456 51766.204    33.122    10.322     0.020     1.000 12045.098  2534.961    11.640    59.171    37.555104391.600     0.000
        41     1.957     0.023     0.000     0.015    -1.988     0.383     1.957  1025.435 51101.782    33.096    10.326     0.020     1.000 11927.919  2534.513    11.632    59.166    37.551104369.521     0.000
        42     1.982     0.024     0.000     0.016    -1.988     0.395     1.982  1025.415 50451.953    33.070    10.331     0.020     1.000 11813.309  2534.075    11.624    59.162    37.547104347.156     0.000
        43     2.007     0.024     0.000     0.016    -1.988     0.406     2.007  1025.395 49816.272    33.046    10.335     0.020     1.004 11701.190  2533.646    11.617    59.158    37.542104324.501     0.000
        44     2.033     0.024     0.000     0.016    -1.988     0.418     2.033  1025.375 49194.311    33.021    10.339     0.020     1.016 11591.487  2533.226    11.609    59.153    37.537104301.554     0.000
        45     2.058     0.024     0.000     0.017    -1.988     0.429     2.058  1025.356 48585.669    32.997    10.343     0.020     1.029 11484.129  2532.816    11.602    59.149    37.533104278.311     0.000
        46     2.084     0.025     0.000     0.017    -1.987     0.441     2.084  1025.337 47989.959    32.974    10.347     0.020     1.042 11379.049  2532.414    11.594    59.144    37.528104254.770     0.000
        47     2.109     0.025     0.000     0.018    -1.987     0.453     2.109  1025.319 47406.818    32.951    10.351     0.020     1.055 11276.183  2532.021    11.587    59.139    37.524104230.928     0.000
        48     2.135     0.025     0.000     0.018    -1.987     0.465     2.135  1025.301 46835.897    32.929    10.355     0.020     1.068 11175.468  2531.636    11.579    59.135    37.519104206.782     0.000
        49     2.161     0.025     0.000     0.018    -1.987     0.477     2.161  1025.283 46276.866    32.907    10.359     0.020     1.080 11076.849  2531.259    11.572    59.130    37.515104182.330     0.000
        50     2.187     0.026     0.000     0.019    -1.987     0.489     2.187  1025.266 45729.410    32.886    10.362     0.020     1.093 10980.268  2530.889    11.564    59.125    37.510104157.569     0.000
        51     2.213     0.026     0.000     0.019    -1.986     0.502     2.213  1025.249 45193.231    32.865    10.366     0.020     1.106 10885.673  2530.528    11.557    59.120    37.506104132.496     0.000
        52     2.239     0.026     0.000     0.020    -1.986     0.514     2.239  1025.232 44668.044    32.845    10.369     0.020     1.119 10793.015  2530.174    11.549    59.115    37.501104107.109     0.000
        53     2.265     0.026     0.000     0.020    -1.986     0.527     2.265  1025.216 44153.579    32.825    10.373     0.020     1.132 10702.246  2529.826    11.542    59.110    37.496104081.406     0.000
        54     2.291     0.027     0.000     0.021    -1.986     0.540     2.291  1025.200 43649.577    32.805    10.376     0.020     1.145 10613.321  2529.486    11.535    59.105    37.492104055.385     0.000
        55     2.317     0.027     0.000     0.021    -1.986     0.553     2.317  1025.185 43155.795    32.786    10.380     0.020     1.159 10526.196  2529.153    11.527    59.100    37.487104029.045     0.000
        56     2.343     0.027     0.000     0.021    -1.986     0.566     2.343  1025.170 42672.000    32.767    10.383     0.020     1.172 10440.831  2528.827    11.520    59.095    37.483104002.383     0.000
        57     2.370     0.027     0.000     0.022    -1.985     0.579     2.370  1025.155 42197.971    32.748    10.386     0.020     1.185 10357.187  2528.507    11.513    59.090    37.478103975.399     0.000
        58     2.396     0.028     0.000     0.022    -1.985     0.592     2.396  1025.140 41733.497    32.730    10.389     0.020     1.198 10275.226  2528.194    11.506    59.084    37.473103948.092     0.000
        59     2.423     0.028     0.000     0.023    -1.985     0.606     2.423  1025.126 41278.378    32.712    10.392     0.020     1.211 10194.915  2527.887    11.498    59.079    37.468103920.461     0.000
        60     2.449     0.028     0.000     0.023    -1.985     0.619     2.449  1025.112 40832.426    32.695    10.395     0.020     1.225 10116.219  2527.586    11.491    59.074    37.464103892.508     0.000
        61     2.476     0.028     0.000     0.024    -1.985     0.633     2.476  1025.098 40395.460    32.678    10.398     0.020     1.238 10039.107  2527.291    11.484    59.068    37.459103864.231     0.000
        62     2.502     0.029     0.000     0.024    -1.985     0.647     2.502  1025.084 39967.309    32.661    10.401     0.020     1.251  9963.549  2527.002    11.477    59.063    37.454103835.633     0.000
        63     2.529     0.029     0.000     0.024    -1.984     0.661     2.529  1025.071 39547.811    32.645    10.404     0.020     1.264  9889.516  2526.719    11.470    59.057    37.449103806.715     0.000
        64     2.555     0.029     0.000     0.025    -1.984     0.676     2.555  1025.058 39136.813    32.629    10.407     0.020     1.278  9816.981  2526.442    11.463    59.051    37.445103777.478     0.000
        65     2.582     0.029     0.000     0.025    -1.984     0.690     2.582  1025.045 38734.168    32.613    10.409     0.020     1.291  9745.919  2526.170    11.456    59.045    37.440103747.927     0.000
        66     2.608     0.030     0.000     0.026    -1.984     0.705     2.608  1025.033 38339.740    32.598    10.412     0.020     1.304  9676.306  2525.904    11.449    59.040    37.435103718.064     0.000
        67     2.635     0.030     0.000     0.026    -1.984     0.720     2.635  1025.021 37953.398    32.582    10.415     0.020     1.317  9608.118  2525.643    11.442    59.034    37.430103687.894     0.000
        68     2.661     0.030     0.000     0.027    -1.984     0.735     2.661  1025.009 37575.019    32.568    10.417     0.020     1.331  9541.334  2525.388    11.435    59.028    37.425103657.422     0.000
        69     2.688     0.030     0.000     0.027    -1.983     0.750     2.688  1024.997 37204.487    32.553    10.420     0.020     1.344  9475.934  2525.138    11.428    59.022    37.420103626.654     0.000
        70     2.714     0.031     0.000     0.028    -1.983     0.765     2.714  1024.986 36841.691    32.539    10.422     0.020     1.357  9411.898  2524.893    11.421    59.016    37.416103595.597     0.000
        71     2.741     0.031     0.000     0.028    -1.983     0.781     2.741  1024.975 36486.528    32.525    10.425     0.020     1.370  9349.208  2524.653    11.415    59.010    37.411103564.259     0.000
        72     2.767     0.031     0.000     0.029    -1.983     0.797     2.767  1024.964 36138.901    32.512    10.427     0.020     1.384  9287.847  2524.418    11.408    59.003    37.406103532.648     0.000
        73     2.793     0.031     0.000     0.029    -1.983     0.813     2.793  1024.953 35798.719    32.498    10.429     0.020     1.397  9227.799  2524.189    11.401    58.997    37.401103500.776     0.000
        74     2.820     0.032     0.000     0.030    -1.983     0.829     2.820  1024.942 35465.894    32.485    10.431     0.020     1.410  9169.049  2523.964    11.395    58.991    37.396103468.652     0.000
        75     2.846     0.032     0.000     0.030    -1.983     0.845     2.846  1024.932 35140.346    32.473    10.434     0.020     1.423  9111.582  2523.744    11.388    58.985    37.391103436.290     0.000
        76     2.872     0.032     0.000     0.031    -1.982     0.862     2.872  1024.922 34821.999    32.460    10.436     0.020     1.436  9055.385  2523.530    11.381    58.978    37.386103403.704     0.000
        77     2.898     0.032     0.000     0.031    -1.982     0.879     2.898  1024.912 34510.782    32.448    10.438     0.020     1.449  9000.446  2523.320    11.375    58.972    37.381103370.907     0.000
        78     2.923     0.032     0.000     0.032    -1.982     0.895     2.923  1024.903 34206.628    32.436    10.440     0.020     1.462  8946.753  2523.114    11.368    58.965    37.376103337.918     0.000
        79     2.949     0.033     0.000     0.032    -1.982     0.913     2.949  1024.893 33909.475    32.424    10.442     0.020     1.475  8894.295  2522.914    11.362    58.959    37.371103304.754     0.000
        80     2.974     0.033     0.000     0.033    -1.982     0.930     2.974  1024.884 33619.265    32.413    10.444     0.020     1.487  8843.062  2522.718    11.356    58.952    37.366103271.433     0.000
        81     3.000     0.033     0.000     0.033    -1.982     0.947     3.000  1024.875 33335.943    32.402    10.446     0.020     1.500  8793.044  2522.526    11.349    58.946    37.361103237.978     0.000
        82     3.025     0.033     0.000     0.034    -1.982     0.965     3.025  1024.867 33059.459    32.391    10.448     0.020     1.512  8744.233  2522.340    11.343    58.939    37.356103204.411     0.000
        83     3.050     0.034     0.000     0.034    -1.982     0.983     3.050  1024.858 32789.765    32.381    10.450     0.020     1.525  8696.619  2522.158    11.337    58.933    37.351103170.756     0.000
        84     3.074     0.034     0.000     0.035    -1.981     1.001     3.074  1024.850 32526.816    32.370    10.451     0.020     1.537  8650.196  2521.980    11.331    58.926    37.346103137.039     0.000
