"0.00E+00","2.00E-02","9.00E+01","3.09E+01","1.12E+01","0.00E+00","0.00E+00","2.00E-02","9.00E+01","3.00E-04"
"3.00E+00","2.00E-02","9.00E+01","3.12E+01","1.04E+01","0.00E+00","0.00E+00","2.00E-02","9.00E+01","3.00E-04"
"6.00E+00","2.00E-02","9.00E+01","3.12E+01","9.69E+00","0.00E+00","0.00E+00","2.00E-02","9.00E+01","3.00E-04"
"9.00E+00","2.00E-02","9.00E+01","3.17E+01","9.44E+00","0.00E+00","0.00E+00","2.00E-02","9.00E+01","3.00E-04"
"1.20E+01","2.00E-02","9.00E+01","3.18E+01","9.34E+00","0.00E+00","0.00E+00","2.00E-02","9.00E+01","3.00E-04"
"1.50E+01","2.00E-02","9.00E+01","3.19E+01","9.22E+00","0.00E+00","0.00E+00","2.00E-02","9.00E+01","3.00E-04"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
