****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        42     2.301     0.029     0.000     0.029    -1.971     0.043     2.301  1025.194 43454.942    32.797    10.378     0.020     1.151
        43     2.347     0.029     0.000     0.030    -1.970     0.045     2.347  1025.167 42601.766    32.764    10.384     0.020     1.174
        44     2.394     0.030     0.000     0.031    -1.969     0.047     2.394  1025.141 41765.363    32.731    10.390     0.020     1.197
        45     2.442     0.031     0.000     0.032    -1.968     0.049     2.442  1025.115 40945.401    32.699    10.396     0.020     1.221
        46     2.491     0.031     0.000     0.033    -1.967     0.052     2.491  1025.089 40141.557    32.667    10.401     0.020     1.246
        47     2.541     0.032     0.000     0.034    -1.966     0.054     2.541  1025.064 39353.513    32.637    10.406     0.020     1.271
        48     2.592     0.032     0.000     0.036    -1.965     0.057     2.592  1025.040 38580.957    32.606    10.412     0.020     1.296
        49     2.644     0.033     0.000     0.037    -1.964     0.059     2.644  1025.016 37823.586    32.577    10.417     0.020     1.322
        50     2.697     0.034     0.000     0.038    -1.963     0.062     2.697  1024.993 37081.099    32.548    10.422     0.020     1.348
        51     2.751     0.034     0.000     0.039    -1.962     0.065     2.751  1024.970 36353.204    32.519    10.427     0.020     1.375
        52     2.806     0.035     0.000     0.040    -1.960     0.068     2.806  1024.947 35639.612    32.491    10.432     0.020     1.403
        53     2.862     0.036     0.000     0.042    -1.959     0.071     2.862  1024.925 34940.043    32.464    10.437     0.020     1.431
        54     2.919     0.036     0.000     0.043    -1.958     0.074     2.919  1024.903 34254.221    32.437    10.441     0.020     1.460
        55     2.978     0.037     0.000     0.044    -1.957     0.078     2.978  1024.882 33581.873    32.411    10.446     0.020     1.489
        56     3.037     0.038     0.000     0.046    -1.955     0.081     3.037  1024.861 32922.736    32.385    10.451     0.020     1.519
        57     3.098     0.039     0.000     0.047    -1.954     0.085     3.098  1024.841 32276.549    32.360    10.455     0.020     1.549
        58     3.160     0.039     0.000     0.048    -1.953     0.089     3.160  1024.821 31643.058    32.335    10.459     0.020     1.580
        59     3.224     0.040     0.000     0.050    -1.951     0.093     3.224  1024.801 31022.011    32.311    10.464     0.020     1.612
        60     3.288     0.041     0.000     0.051    -1.950     0.097     3.288  1024.782 30413.165    32.287    10.468     0.020     1.644
        61     3.354     0.042     0.000     0.053    -1.949     0.101     3.354  1024.763 29816.280    32.264    10.472     0.020     1.677
        62     3.421     0.043     0.000     0.054    -1.947     0.105     3.421  1024.745 29231.119    32.241    10.476     0.020     1.711
        63     3.489     0.043     0.000     0.056    -1.946     0.110     3.489  1024.727 28657.452    32.218    10.480     0.020     1.745
        64     3.559     0.044     0.000     0.057    -1.944     0.115     3.559  1024.709 28095.053    32.196    10.484     0.020     1.780
        65     3.631     0.045     0.000     0.059    -1.943     0.120     3.631  1024.691 27543.701    32.175    10.488     0.020     1.815
        66     3.703     0.046     0.000     0.060    -1.941     0.125     3.703  1024.674 27003.178    32.153    10.492     0.020     1.852
        67     3.777     0.047     0.000     0.062    -1.939     0.130     3.777  1024.657 26473.270    32.133    10.495     0.020     1.889
        68     3.853     0.048     0.000     0.064    -1.938     0.136     3.853  1024.641 25953.770    32.112    10.499     0.020     1.927
        69     3.930     0.049     0.000     0.066    -1.936     0.142     3.930  1024.625 25444.472    32.092    10.503     0.020     1.965
        70     4.009     0.050     0.000     0.067    -1.935     0.148     4.009  1024.609 24945.175    32.073    10.506     0.020     2.004
        71     4.089     0.051     0.000     0.069    -1.933     0.154     4.089  1024.594 24455.684    32.054    10.510     0.020     2.045
        72     4.171     0.052     0.000     0.071    -1.931     0.161     4.171  1024.578 23975.805    32.035    10.513     0.020     2.085
        73     4.254     0.053     0.000     0.073    -1.929     0.167     4.254  1024.563 23505.349    32.016    10.517     0.020     2.127
        74     4.339     0.054     0.000     0.075    -1.927     0.174     4.339  1024.549 23044.131    31.998    10.520     0.020     2.170
        75     4.426     0.055     0.000     0.077    -1.926     0.182     4.426  1024.534 22591.968    31.980    10.523     0.020     2.213
        76     4.515     0.056     0.000     0.079    -1.924     0.189     4.515  1024.520 22148.685    31.963    10.526     0.020     2.257
        77     4.605     0.057     0.000     0.081    -1.922     0.197     4.605  1024.507 21714.104    31.946    10.529     0.020     2.303
        78     4.697     0.058     0.000     0.083    -1.920     0.205     4.697  1024.493 21288.056    31.929    10.532     0.020     2.349
