****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.25     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.020     0.197     0.000     0.007    -2.008     1.000     0.020    10.013    34.924 98033.309  1026.912     1.020     0.064
         2     1.041     0.200     0.000     0.015    -2.015     1.000     0.020    10.026    34.849 96105.410  1026.852     1.041     0.127
         3     1.061     0.203     0.000     0.022    -2.022     1.000     0.020    10.038    34.775 94215.536  1026.792     1.061     0.191
         4     1.083     0.206     0.000     0.029    -2.030     1.000     0.020    10.051    34.703 92362.932  1026.734     1.083     0.256
         5     1.104     0.209     0.000     0.036    -2.038     1.000     0.020    10.063    34.632 90546.859  1026.677     1.104     0.323
         6     1.127     0.212     0.000     0.044    -2.046     1.000     0.020    10.074    34.563 88766.593  1026.621     1.127     0.391
         7     1.149     0.216     0.000     0.051    -2.054     1.000     0.020    10.086    34.495 87021.424  1026.566     1.149     0.461
         8     1.172     0.219     0.000     0.058    -2.062     1.000     0.020    10.097    34.429 85310.657  1026.513     1.172     0.532
         9     1.196     0.222     0.000     0.066    -2.070     1.000     0.020    10.108    34.364 83633.609  1026.460     1.196     0.606
        10     1.220     0.225     0.000     0.073    -2.079     1.000     0.020    10.118    34.300 81989.613  1026.408     1.220     0.681
        11     1.244     0.229     0.000     0.081    -2.087     1.000     0.020    10.129    34.237 80378.014  1026.358     1.244     0.757
        12     1.269     0.232     0.000     0.089    -2.096     1.000     0.020    10.139    34.176 78798.171  1026.308     1.269     0.836
        13     1.295     0.235     0.000     0.096    -2.105     1.000     0.020    10.149    34.116 77249.455  1026.260     1.295     0.916
        14     1.320     0.238     0.000     0.104    -2.114     1.000     0.020    10.158    34.057 75731.249  1026.212     1.320     0.997
        15     1.347     0.242     0.000     0.112    -2.124     1.000     0.020    10.168    33.999 74242.950  1026.165     1.347     1.081
        16     1.374     0.245     0.000     0.119    -2.133     1.000     0.020    10.177    33.942 72783.967  1026.120     1.374     1.166
        17     1.401     0.249     0.000     0.127    -2.143     1.000     0.020    10.186    33.887 71353.718  1026.075     1.401     1.252
        18     1.430     0.252     0.000     0.135    -2.153     1.000     0.020    10.195    33.833 69951.636  1026.031     1.430     1.341
        19     1.458     0.256     0.000     0.143    -2.163     1.000     0.020    10.203    33.779 68577.164  1025.988     1.458     1.431
        20     1.487     0.259     0.000     0.151    -2.173     1.000     0.020    10.212    33.727 67229.756  1025.946     1.487     1.523
        21     1.517     0.263     0.000     0.159    -2.183     1.000     0.020    10.220    33.676 65908.876  1025.905     1.517     1.617
        22     1.548     0.266     0.000     0.167    -2.193     1.000     0.020    10.227    33.626 64614.000  1025.864     1.548     1.713
        23     1.579     0.270     0.000     0.175    -2.204     1.000     0.020    10.235    33.576 63344.615  1025.825     1.579     1.810
        24     1.610     0.274     0.000     0.183    -2.215     1.000     0.020    10.243    33.528 62100.216  1025.786     1.610     1.909
