****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.22     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.020     0.174     0.000     0.006    -2.006     1.000     0.020    10.013    34.924 98033.309  1026.912     1.020     0.043
         2     1.041     0.177     0.000     0.013    -2.013     1.000     0.020    10.026    34.849 96105.410  1026.852     1.041     0.086
         3     1.061     0.180     0.000     0.019    -2.019     1.000     0.020    10.038    34.775 94215.536  1026.792     1.061     0.129
         4     1.083     0.183     0.000     0.025    -2.026     1.000     0.020    10.051    34.703 92362.931  1026.734     1.083     0.174
         5     1.104     0.186     0.000     0.032    -2.032     1.000     0.020    10.063    34.632 90546.858  1026.677     1.104     0.220
         6     1.127     0.189     0.000     0.038    -2.039     1.000     0.020    10.074    34.563 88766.591  1026.621     1.127     0.267
         7     1.149     0.192     0.000     0.045    -2.046     1.000     0.020    10.086    34.495 87021.421  1026.566     1.149     0.316
         8     1.172     0.195     0.000     0.052    -2.053     1.000     0.020    10.097    34.429 85310.652  1026.512     1.172     0.367
         9     1.196     0.199     0.000     0.059    -2.060     1.000     0.020    10.108    34.364 83633.603  1026.460     1.196     0.419
        10     1.220     0.202     0.000     0.065    -2.068     1.000     0.020    10.119    34.300 81989.606  1026.408     1.220     0.473
        11     1.244     0.205     0.000     0.072    -2.075     1.000     0.020    10.129    34.237 80378.006  1026.358     1.244     0.528
        12     1.269     0.209     0.000     0.080    -2.083     1.000     0.020    10.139    34.176 78798.161  1026.308     1.269     0.585
        13     1.295     0.212     0.000     0.087    -2.091     1.000     0.020    10.149    34.116 77249.443  1026.259     1.295     0.644
        14     1.320     0.216     0.000     0.094    -2.099     1.000     0.020    10.159    34.057 75731.235  1026.212     1.320     0.705
        15     1.347     0.219     0.000     0.101    -2.107     1.000     0.020    10.168    33.999 74242.934  1026.165     1.347     0.767
        16     1.374     0.223     0.000     0.109    -2.115     1.000     0.020    10.178    33.942 72783.949  1026.120     1.374     0.831
