****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.003     0.391     0.000     0.010    -2.013     1.000     0.020    10.002    34.988 99686.440  1026.964     1.003     0.336
         2     1.004     0.360     0.000     0.010    -2.014     1.000     0.020    10.002    34.986 99645.726  1026.963     1.004     0.353
         3     1.004     0.359     0.000     0.011    -2.015     1.000     0.020    10.003    34.984 99585.252  1026.961     1.004     0.373
         4     1.005     0.357     0.000     0.012    -2.016     1.000     0.020    10.003    34.981 99520.260  1026.959     1.005     0.393
         5     1.006     0.356     0.000     0.012    -2.016     1.000     0.020    10.004    34.979 99450.718  1026.957     1.006     0.414
         6     1.006     0.354     0.000     0.013    -2.017     1.000     0.020    10.004    34.976 99376.238  1026.955     1.006     0.435
         7     1.007     0.353     0.000     0.013    -2.018     1.000     0.020    10.005    34.973 99296.386  1026.952     1.007     0.457
         8     1.008     0.351     0.000     0.014    -2.019     1.000     0.020    10.005    34.969 99210.679  1026.950     1.008     0.479
         9     1.009     0.349     0.000     0.015    -2.020     1.000     0.020    10.006    34.966 99118.585  1026.947     1.009     0.502
        10     1.010     0.348     0.000     0.015    -2.021     1.000     0.020    10.006    34.962 99019.508  1026.944     1.010     0.525
        11     1.011     0.346     0.000     0.016    -2.022     1.000     0.020    10.007    34.958 98912.789  1026.940     1.011     0.549
        12     1.012     0.345     0.000     0.017    -2.024     1.000     0.020    10.008    34.953 98797.688  1026.937     1.012     0.573
        13     1.013     0.343     0.000     0.018    -2.025     1.000     0.020    10.009    34.948 98673.380  1026.933     1.013     0.598
        14     1.015     0.342     0.000     0.018    -2.026     1.000     0.020    10.010    34.943 98538.936  1026.928     1.015     0.624
        15     1.016     0.340     0.000     0.019    -2.027     1.000     0.020    10.011    34.938 98393.312  1026.924     1.016     0.650
        16     1.018     0.339     0.000     0.020    -2.029     1.000     0.020    10.012    34.931 98235.329  1026.919     1.018     0.677
        17     1.020     0.337     0.000     0.021    -2.030     1.000     0.020    10.013    34.925 98063.652  1026.913     1.020     0.705
        18     1.022     0.336     0.000     0.022    -2.031     1.000     0.020    10.014    34.917 97876.760  1026.908     1.022     0.734
        19     1.024     0.334     0.000     0.022    -2.033     1.000     0.020    10.015    34.910 97672.919  1026.901     1.024     0.763
        20     1.026     0.333     0.000     0.023    -2.034     1.000     0.020    10.017    34.901 97450.140  1026.894     1.026     0.794
        21     1.029     0.331     0.000     0.024    -2.036     1.000     0.020    10.018    34.891 97206.128  1026.887     1.029     0.826
        22     1.032     0.330     0.000     0.025    -2.038     1.000     0.020    10.020    34.881 96938.225  1026.878     1.032     0.858
        23     1.035     0.328     0.000     0.026    -2.040     1.000     0.020    10.022    34.870 96643.329  1026.869     1.035     0.892
        24     1.038     0.327     0.000     0.027    -2.042     1.000     0.020    10.024    34.857 96317.794  1026.859     1.038     0.927
        25     1.042     0.326     0.000     0.028    -2.044     1.000     0.020    10.027    34.843 95957.304  1026.847     1.042     0.964
        26     1.046     0.325     0.000     0.029    -2.046     1.000     0.020    10.029    34.828 95577.252  1026.835     1.046     1.002
        27     1.051     0.323     0.000     0.031    -2.048     1.000     0.020    10.032    34.813 95180.590  1026.823     1.051     1.041
        28     1.055     0.322     0.000     0.032    -2.051     1.000     0.020    10.034    34.797 94766.507  1026.810     1.055     1.082
        29     1.060     0.321     0.000     0.033    -2.053     1.000     0.020    10.037    34.780 94333.948  1026.796     1.060     1.124
        30     1.065     0.320     0.000     0.034    -2.056     1.000     0.020    10.040    34.762 93881.774  1026.782     1.065     1.168
        31     1.071     0.318     0.000     0.036    -2.059     1.000     0.020    10.043    34.744 93408.755  1026.767     1.071     1.213
        32     1.076     0.317     0.000     0.037    -2.061     1.000     0.020    10.046    34.725 92913.561  1026.752     1.076     1.261
        33     1.082     0.316     0.000     0.038    -2.065     1.000     0.020    10.050    34.705 92394.753  1026.735     1.082     1.310
        34     1.089     0.315     0.000     0.040    -2.068     1.000     0.020    10.053    34.683 91850.768  1026.718     1.089     1.361
        35     1.096     0.314     0.000     0.041    -2.071     1.000     0.020    10.057    34.661 91279.911  1026.700     1.096     1.415
        36     1.103     0.313     0.000     0.043    -2.075     1.000     0.020    10.061    34.638 90680.338  1026.682     1.103     1.470
        37     1.110     0.312     0.000     0.045    -2.079     1.000     0.020    10.065    34.613 90050.037  1026.662     1.110     1.529
        38     1.119     0.311     0.000     0.046    -2.083     1.000     0.020    10.069    34.588 89386.817  1026.641     1.119     1.590
        39     1.128     0.310     0.000     0.048    -2.088     1.000     0.020    10.074    34.561 88688.277  1026.619     1.128     1.654
        40     1.137     0.309     0.000     0.050    -2.093     1.000     0.020    10.078    34.532 87951.790  1026.596     1.137     1.721
        41     1.147     0.308     0.000     0.052    -2.098     1.000     0.020    10.083    34.502 87174.470  1026.572     1.147     1.792
        42     1.158     0.308     0.000     0.054    -2.103     1.000     0.020    10.089    34.470 86353.143  1026.546     1.158     1.866
        43     1.170     0.307     0.000     0.056    -2.109     1.000     0.020    10.094    34.436 85484.307  1026.519     1.170     1.945
        44     1.183     0.306     0.000     0.059    -2.116     1.000     0.020    10.100    34.401 84564.090  1026.490     1.183     2.028
        45     1.196     0.306     0.000     0.061    -2.122     1.000     0.020    10.106    34.363 83588.199  1026.459     1.196     2.116
        46     1.211     0.305     0.000     0.064    -2.130     1.000     0.020    10.113    34.322 82551.860  1026.427     1.211     2.210
        47     1.228     0.305     0.000     0.067    -2.138     1.000     0.020    10.120    34.280 81449.746  1026.392     1.228     2.310
        48     1.246     0.305     0.000     0.070    -2.147     1.000     0.020    10.127    34.234 80275.892  1026.356     1.246     2.417
        49     1.265     0.305     0.000     0.073    -2.156     1.000     0.020    10.135    34.186 79023.590  1026.316     1.265     2.531
        50     1.287     0.306     0.000     0.076    -2.167     1.000     0.020    10.143    34.134 77683.444  1026.275     1.287     2.655
        51     1.312     0.306     0.000     0.080    -2.178     1.000     0.020    10.152    34.078 76244.033  1026.230     1.312     2.788
        52     1.338     0.307     0.000     0.084    -2.190     1.000     0.020    10.161    34.020 74745.643  1026.183     1.338     2.928
        53     1.365     0.308     0.000     0.087    -2.203     1.000     0.020    10.170    33.963 73276.767  1026.137     1.365     3.067
        54     1.392     0.309     0.000     0.091    -2.215     1.000     0.020    10.179    33.907 71836.823  1026.092     1.392     3.205
        55     1.420     0.310     0.000     0.095    -2.228     1.000     0.020    10.188    33.852 70425.237  1026.048     1.420     3.343
        56     1.448     0.311     0.000     0.098    -2.241     1.000     0.020    10.196    33.799 69041.449  1026.005     1.448     3.480
        57     1.477     0.313     0.000     0.102    -2.253     1.000     0.020    10.204    33.746 67684.908  1025.963     1.477     3.616
        58     1.507     0.314     0.000     0.105    -2.266     1.000     0.020    10.212    33.695 66355.077  1025.921     1.507     3.753
        59     1.537     0.316     0.000     0.109    -2.279     1.000     0.020    10.219    33.645 65051.427  1025.881     1.537     3.889
        60     1.568     0.318     0.000     0.113    -2.292     1.000     0.020    10.227    33.595 63773.441  1025.841     1.568     4.025
        61     1.599     0.320     0.000     0.116    -2.305     1.000     0.020    10.234    33.547 62520.611  1025.802     1.599     4.162
        62     1.632     0.323     0.000     0.120    -2.319     1.000     0.020    10.241    33.500 61292.441  1025.764     1.632     4.299
        63     1.664     0.325     0.000     0.123    -2.332     1.000     0.020    10.248    33.453 60088.442  1025.727     1.664     4.436
        64     1.698     0.327     0.000     0.127    -2.345     1.000     0.020    10.254    33.408 58908.139  1025.690     1.698     4.574
        65     1.732     0.330     0.000     0.130    -2.359     1.000     0.020    10.260    33.363 57751.062  1025.654     1.732     4.712
        66     1.766     0.333     0.000     0.134    -2.373     1.000     0.020    10.267    33.319 56616.753  1025.619     1.766     4.851
        67     1.802     0.335     0.000     0.137    -2.387     1.000     0.020    10.273    33.276 55504.762  1025.585     1.802     4.991
        68     1.838     0.338     0.000     0.141    -2.401     1.000     0.020    10.278    33.234 54414.649  1025.551     1.838     5.132
        69     1.875     0.341     0.000     0.144    -2.415     1.000     0.020    10.284    33.193 53345.982  1025.518     1.875     5.273
        70     1.912     0.344     0.000     0.148    -2.429     1.000     0.020    10.289    33.153 52298.337  1025.486     1.912     5.416
