****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
        42     2.301     0.314     0.000     0.321    -2.358     1.151     0.020    10.351    32.807 43455.472  1025.206     2.301     2.642
        43     2.347     0.319     0.000     0.330    -2.370     1.174     0.020    10.356    32.774 42602.313  1025.180     2.347     2.751
        44     2.394     0.324     0.000     0.340    -2.383     1.197     0.020    10.360    32.742 41765.926  1025.154     2.394     2.863
        45     2.442     0.329     0.000     0.350    -2.395     1.221     0.020    10.364    32.711 40945.981  1025.129     2.442     2.977
        46     2.491     0.334     0.000     0.360    -2.408     1.246     0.020    10.368    32.680 40142.153  1025.105     2.491     3.094
        47     2.541     0.339     0.000     0.371    -2.422     1.271     0.020    10.372    32.650 39354.126  1025.080     2.541     3.213
        48     2.592     0.344     0.000     0.381    -2.435     1.296     0.020    10.375    32.620 38581.587  1025.057     2.592     3.336
        49     2.644     0.349     0.000     0.391    -2.449     1.322     0.020    10.379    32.591 37824.231  1025.034     2.644     3.461
        50     2.697     0.355     0.000     0.401    -2.462     1.348     0.020    10.382    32.563 37081.761  1025.011     2.697     3.589
        51     2.751     0.360     0.000     0.412    -2.476     1.375     0.020    10.386    32.535 36353.881  1024.989     2.751     3.720
        52     2.806     0.365     0.000     0.422    -2.491     1.403     0.020    10.389    32.508 35640.305  1024.967     2.806     3.854
        53     2.862     0.371     0.000     0.433    -2.505     1.431     0.020    10.392    32.481 34940.752  1024.946     2.862     3.990
        54     2.919     0.376     0.000     0.444    -2.520     1.460     0.020    10.394    32.455 34254.944  1024.925     2.919     4.130
        55     2.978     0.382     0.000     0.454    -2.535     1.489     0.020    10.397    32.429 33582.612  1024.905     2.978     4.272
        56     3.037     0.387     0.000     0.465    -2.550     1.519     0.020    10.400    32.404 32923.490  1024.885     3.037     4.418
        57     3.098     0.393     0.000     0.476    -2.565     1.549     0.020    10.402    32.380 32277.317  1024.865     3.098     4.567
        58     3.160     0.399     0.000     0.487    -2.581     1.580     0.020    10.404    32.356 31643.840  1024.846     3.160     4.718
        59     3.223     0.404     0.000     0.498    -2.597     1.612     0.020    10.407    32.332 31022.808  1024.828     3.223     4.873
        60     3.288     0.410     0.000     0.509    -2.613     1.644     0.020    10.409    32.309 30413.976  1024.809     3.288     5.031
        61     3.354     0.416     0.000     0.520    -2.629     1.677     0.020    10.411    32.287 29817.104  1024.792     3.354     5.192
        62     3.421     0.422     0.000     0.532    -2.645     1.710     0.020    10.412    32.265 29231.957  1024.774     3.421     5.356
        63     3.489     0.428     0.000     0.543    -2.662     1.745     0.020    10.414    32.243 28658.304  1024.757     3.489     5.524
        64     3.559     0.434     0.000     0.554    -2.679     1.780     0.020    10.416    32.222 28095.918  1024.740     3.559     5.695
        65     3.630     0.441     0.000     0.566    -2.696     1.815     0.020    10.417    32.201 27544.579  1024.724     3.630     5.869
        66     3.703     0.447     0.000     0.577    -2.713     1.852     0.020    10.419    32.181 27004.068  1024.708     3.703     6.046
        67     3.777     0.453     0.000     0.589    -2.731     1.889     0.020    10.420    32.161 26474.173  1024.692     3.777     6.227
        68     3.853     0.459     0.000     0.600    -2.749     1.926     0.020    10.421    32.142 25954.684  1024.677     3.853     6.412
        69     3.930     0.466     0.000     0.612    -2.767     1.965     0.020    10.422    32.123 25445.398  1024.662     3.930     6.600
        70     4.009     0.472     0.000     0.623    -2.785     2.004     0.020    10.423    32.104 24946.113  1024.648     4.009     6.791
        71     4.089     0.479     0.000     0.635    -2.804     2.044     0.020    10.424    32.086 24456.633  1024.633     4.089     6.986
        72     4.171     0.486     0.000     0.647    -2.822     2.085     0.020    10.424    32.068 23976.765  1024.619     4.171     7.184
        73     4.254     0.492     0.000     0.659    -2.841     2.127     0.020    10.425    32.051 23506.320  1024.606     4.254     7.387
        74     4.339     0.499     0.000     0.671    -2.861     2.170     0.020    10.425    32.034 23045.113  1024.592     4.339     7.593
        75     4.426     0.506     0.000     0.683    -2.880     2.213     0.020    10.426    32.017 22592.961  1024.579     4.426     7.802
        76     4.515     0.513     0.000     0.695    -2.900     2.257     0.020    10.426    32.001 22149.687  1024.567     4.515     8.016
        77     4.605     0.520     0.000     0.707    -2.920     2.303     0.020    10.426    31.985 21715.116  1024.554     4.605     8.233
        78     4.697     0.528     0.000     0.719    -2.940     2.349     0.020    10.426    31.969 21289.078  1024.542     4.697     8.454
        79     4.791     0.535     0.000     0.731    -2.960     2.396     0.020    10.426    31.954 20871.404  1024.530     4.791     8.680
        80     4.887     0.542     0.000     0.744    -2.981     2.444     0.020    10.426    31.939 20461.930  1024.519     4.887     8.909
        81     4.985     0.550     0.000     0.756    -3.002     2.492     0.020    10.425    31.924 20060.495  1024.508     4.985     9.142
        82     5.085     0.557     0.000     0.769    -3.023     2.542     0.020    10.425    31.910 19666.941  1024.497     5.085     9.380
        83     5.186     0.565     0.000     0.781    -3.045     2.593     0.020    10.424    31.896 19281.113  1024.486     5.186     9.621
        84     5.290     0.572     0.000     0.794    -3.066     2.645     0.020    10.424    31.883 18902.858  1024.475     5.290     9.867
        85     5.396     0.580     0.000     0.806    -3.088     2.698     0.020    10.423    31.869 18532.027  1024.465     5.396    10.117
        86     5.504     0.588     0.000     0.819    -3.111     2.752     0.020    10.422    31.856 18168.476  1024.455     5.504    10.372
        87     5.614     0.596     0.000     0.832    -3.133     2.807     0.020    10.422    31.843 17812.060  1024.445     5.614    10.630
        88     5.727     0.604     0.000     0.845    -3.156     2.863     0.020    10.421    31.831 17462.639  1024.435     5.727    10.894
        89     5.841     0.612     0.000     0.858    -3.179     2.921     0.020    10.420    31.818 17120.077  1024.426     5.841    11.162
        90     5.958     0.621     0.000     0.871    -3.202     2.979     0.020    10.418    31.806 16784.238  1024.417     5.958    11.434
        91     6.077     0.629     0.000     0.884    -3.225     3.039     0.020    10.417    31.794 16454.990  1024.408     6.077    11.711
        92     6.199     0.638     0.000     0.897    -3.249     3.099     0.020    10.416    31.783 16132.204  1024.399     6.199    11.993
        93     6.323     0.646     0.000     0.910    -3.273     3.161     0.020    10.415    31.771 15815.752  1024.390     6.323    12.280
        94     6.449     0.655     0.000     0.923    -3.298     3.225     0.020    10.413    31.760 15505.512  1024.382     6.449    12.571
        95     6.578     0.664     0.000     0.937    -3.322     3.289     0.020    10.412    31.749 15201.359  1024.373     6.578    12.868
        96     6.710     0.673     0.000     0.950    -3.347     3.355     0.020    10.410    31.738 14903.175  1024.365     6.710    13.169
        97     6.844     0.682     0.000     0.964    -3.372     3.422     0.020    10.408    31.728 14610.843  1024.357     6.844    13.475
        98     6.981     0.691     0.000     0.977    -3.398     3.491     0.020    10.407    31.717 14324.248  1024.350     6.981    13.787
        99     7.121     0.700     0.000     0.991    -3.423     3.560     0.020    10.405    31.707 14043.277  1024.342     7.121    14.103
       100     7.263     0.709     0.000     1.005    -3.449     3.632     0.020    10.403    31.697 13767.819  1024.335     7.263    14.425
       101     7.409     0.719     0.000     1.018    -3.476     3.704     0.020    10.401    31.688 13497.766  1024.328     7.409    14.752
