****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
         1     1.010     0.314     0.000     0.010    -2.011     1.000     0.020    10.006    34.963 99053.786  1026.945     1.010     0.218
         2     1.012     0.304     0.000     0.011    -2.013     1.000     0.020    10.008    34.956 98859.686  1026.938     1.012     0.241
         3     1.014     0.304     0.000     0.012    -2.014     1.000     0.020    10.009    34.946 98622.882  1026.931     1.014     0.268
         4     1.017     0.303     0.000     0.014    -2.016     1.000     0.020    10.011    34.937 98370.473  1026.923     1.017     0.295
         5     1.019     0.303     0.000     0.015    -2.017     1.000     0.020    10.013    34.926 98102.716  1026.915     1.019     0.323
         6     1.022     0.302     0.000     0.016    -2.019     1.000     0.020    10.014    34.915 97818.528  1026.906     1.022     0.352
         7     1.025     0.302     0.000     0.017    -2.020     1.000     0.020    10.016    34.903 97516.634  1026.896     1.025     0.381
         8     1.029     0.301     0.000     0.019    -2.022     1.000     0.020    10.019    34.891 97201.938  1026.886     1.029     0.410
         9     1.032     0.301     0.000     0.020    -2.024     1.000     0.020    10.021    34.879 96878.261  1026.876     1.032     0.441
        10     1.036     0.300     0.000     0.022    -2.026     1.000     0.020    10.023    34.866 96545.640  1026.866     1.036     0.472
        11     1.039     0.300     0.000     0.023    -2.027     1.000     0.020    10.025    34.852 96203.742  1026.855     1.039     0.504
        12     1.043     0.299     0.000     0.024    -2.029     1.000     0.020    10.027    34.839 95852.223  1026.844     1.043     0.536
        13     1.047     0.299     0.000     0.026    -2.031     1.000     0.020    10.030    34.825 95490.724  1026.833     1.047     0.570
        14     1.051     0.298     0.000     0.027    -2.033     1.000     0.020    10.032    34.810 95118.867  1026.821     1.051     0.604
        15     1.056     0.298     0.000     0.029    -2.036     1.000     0.020    10.035    34.795 94736.259  1026.809     1.056     0.639
        16     1.060     0.297     0.000     0.031    -2.038     1.000     0.020    10.037    34.780 94342.486  1026.796     1.060     0.674
        17     1.065     0.297     0.000     0.032    -2.040     1.000     0.020    10.040    34.764 93937.115  1026.784     1.065     0.711
        18     1.069     0.296     0.000     0.034    -2.043     1.000     0.020    10.043    34.748 93519.694  1026.771     1.069     0.748
        19     1.074     0.296     0.000     0.036    -2.045     1.000     0.020    10.046    34.731 93089.745  1026.757     1.074     0.787
        20     1.079     0.296     0.000     0.037    -2.048     1.000     0.020    10.048    34.714 92646.770  1026.743     1.079     0.826
        21     1.085     0.295     0.000     0.039    -2.050     1.000     0.020    10.051    34.696 92190.246  1026.729     1.085     0.867
        22     1.090     0.295     0.000     0.041    -2.053     1.000     0.020    10.054    34.678 91719.622  1026.714     1.090     0.908
        23     1.096     0.295     0.000     0.043    -2.056     1.000     0.020    10.058    34.659 91234.322  1026.699     1.096     0.951
        24     1.102     0.294     0.000     0.045    -2.059     1.000     0.020    10.061    34.640 90733.739  1026.683     1.102     0.995
        25     1.108     0.294     0.000     0.047    -2.062     1.000     0.020    10.064    34.620 90217.237  1026.667     1.108     1.040
        26     1.115     0.294     0.000     0.049    -2.066     1.000     0.020    10.068    34.599 89684.144  1026.650     1.115     1.087
        27     1.122     0.293     0.000     0.051    -2.069     1.000     0.020    10.071    34.578 89133.756  1026.633     1.122     1.135
        28     1.129     0.293     0.000     0.053    -2.073     1.000     0.020    10.075    34.556 88565.331  1026.615     1.129     1.184
        29     1.137     0.293     0.000     0.055    -2.076     1.000     0.020    10.079    34.533 87978.089  1026.597     1.137     1.235
        30     1.145     0.293     0.000     0.057    -2.080     1.000     0.020    10.083    34.509 87371.208  1026.578     1.145     1.288
        31     1.153     0.293     0.000     0.060    -2.084     1.000     0.020    10.087    34.485 86743.821  1026.558     1.153     1.343
        32     1.162     0.293     0.000     0.062    -2.089     1.000     0.020    10.091    34.460 86095.016  1026.538     1.162     1.399
        33     1.171     0.293     0.000     0.065    -2.093     1.000     0.020    10.095    34.434 85423.829  1026.517     1.171     1.457
        34     1.180     0.293     0.000     0.067    -2.098     1.000     0.020    10.100    34.407 84729.243  1026.495     1.180     1.517
        35     1.190     0.293     0.000     0.070    -2.103     1.000     0.020    10.104    34.379 84009.614  1026.472     1.190     1.580
        36     1.201     0.293     0.000     0.073    -2.108     1.000     0.020    10.109    34.350 83262.705  1026.449     1.201     1.645
        37     1.212     0.293     0.000     0.075    -2.113     1.000     0.020    10.114    34.320 82486.973  1026.424     1.212     1.712
        38     1.224     0.293     0.000     0.078    -2.119     1.000     0.020    10.119    34.288 81681.045  1026.399     1.224     1.782
        39     1.237     0.294     0.000     0.081    -2.125     1.000     0.020    10.124    34.256 80843.539  1026.373     1.237     1.855
        40     1.250     0.294     0.000     0.084    -2.131     1.000     0.020    10.130    34.222 79973.005  1026.346     1.250     1.931
        41     1.265     0.295     0.000     0.088    -2.138     1.000     0.020    10.135    34.187 79067.910  1026.317     1.265     2.011
        42     1.280     0.295     0.000     0.091    -2.145     1.000     0.020    10.141    34.151 78126.631  1026.288     1.280     2.094
        43     1.296     0.296     0.000     0.094    -2.152     1.000     0.020    10.147    34.113 77147.451  1026.257     1.296     2.181
        44     1.314     0.297     0.000     0.098    -2.160     1.000     0.020    10.154    34.073 76128.546  1026.226     1.314     2.272
        45     1.332     0.298     0.000     0.102    -2.169     1.000     0.020    10.160    34.032 75067.984  1026.192     1.332     2.368
        46     1.352     0.299     0.000     0.106    -2.178     1.000     0.020    10.167    33.989 73963.711  1026.158     1.352     2.468
        47     1.373     0.300     0.000     0.110    -2.187     1.000     0.020    10.174    33.945 72813.541  1026.122     1.373     2.574
        48     1.396     0.301     0.000     0.114    -2.197     1.000     0.020    10.182    33.898 71615.144  1026.085     1.396     2.686
        49     1.421     0.303     0.000     0.119    -2.208     1.000     0.020    10.189    33.850 70366.035  1026.046     1.421     2.805
        50     1.448     0.305     0.000     0.124    -2.220     1.000     0.020    10.197    33.799 69063.552  1026.005     1.448     2.931
        51     1.477     0.307     0.000     0.129    -2.232     1.000     0.020    10.205    33.747 67706.574  1025.963     1.477     3.064
        52     1.507     0.309     0.000     0.134    -2.245     1.000     0.020    10.213    33.695 66376.314  1025.921     1.507     3.197
        53     1.537     0.311     0.000     0.139    -2.258     1.000     0.020    10.221    33.645 65072.243  1025.881     1.537     3.331
        54     1.568     0.313     0.000     0.143    -2.270     1.000     0.020    10.228    33.596 63793.845  1025.841     1.568     3.465
        55     1.599     0.315     0.000     0.148    -2.283     1.000     0.020    10.235    33.547 62540.611  1025.802     1.599     3.599
        56     1.631     0.318     0.000     0.153    -2.296     1.000     0.020    10.242    33.500 61312.045  1025.764     1.631     3.733
        57     1.664     0.320     0.000     0.158    -2.310     1.000     0.020    10.249    33.453 60107.658  1025.726     1.664     3.868
        58     1.697     0.323     0.000     0.163    -2.323     1.000     0.020    10.256    33.408 58926.974  1025.690     1.697     4.004
        59     1.731     0.325     0.000     0.168    -2.336     1.000     0.020    10.262    33.363 57769.525  1025.654     1.731     4.140
        60     1.766     0.328     0.000     0.172    -2.350     1.000     0.020    10.269    33.319 56634.850  1025.619     1.766     4.278
        61     1.801     0.331     0.000     0.177    -2.363     1.000     0.020    10.275    33.276 55522.502  1025.585     1.801     4.416
        62     1.837     0.334     0.000     0.182    -2.377     1.000     0.020    10.280    33.234 54432.038  1025.551     1.837     4.554
        63     1.874     0.337     0.000     0.187    -2.391     1.000     0.020    10.286    33.193 53363.027  1025.518     1.874     4.694
        64     1.911     0.340     0.000     0.191    -2.405     1.000     0.020    10.292    33.153 52315.045  1025.486     1.911     4.835
        65     1.950     0.343     0.000     0.196    -2.419     1.000     0.020    10.297    33.113 51287.678  1025.454     1.950     4.977
        66     1.989     0.347     0.000     0.201    -2.434     1.000     0.020    10.302    33.075 50280.518  1025.423     1.989     5.120
        67     2.029     0.350     0.000     0.206    -2.448     1.014     0.020    10.307    33.037 49293.168  1025.393     2.029     5.265
        68     2.069     0.353     0.000     0.210    -2.463     1.035     0.020    10.312    33.000 48325.235  1025.363     2.069     5.410
        69     2.111     0.357     0.000     0.215    -2.477     1.055     0.020    10.316    32.963 47376.338  1025.334     2.111     5.557
        70     2.153     0.361     0.000     0.220    -2.492     1.077     0.020    10.321    32.928 46446.100  1025.305     2.153     5.705
        71     2.196     0.364     0.000     0.225    -2.507     1.098     0.020    10.325    32.893 45534.154  1025.278     2.196     5.855
        72     2.240     0.368     0.000     0.229    -2.523     1.120     0.020    10.329    32.859 44640.139  1025.250     2.240     6.006
        73     2.285     0.372     0.000     0.234    -2.538     1.142     0.020    10.333    32.825 43763.701  1025.223     2.285     6.159
        74     2.331     0.376     0.000     0.239    -2.553     1.165     0.020    10.337    32.792 42904.494  1025.197     2.331     6.313
        75     2.377     0.379     0.000     0.244    -2.569     1.189     0.020    10.341    32.760 42062.179  1025.172     2.377     6.469
        76     2.425     0.383     0.000     0.249    -2.585     1.213     0.020    10.344    32.729 41236.422  1025.147     2.425     6.627
        77     2.474     0.388     0.000     0.254    -2.601     1.237     0.020    10.348    32.698 40426.896  1025.122     2.474     6.786
        78     2.523     0.392     0.000     0.259    -2.617     1.262     0.020    10.351    32.668 39633.283  1025.098     2.523     6.948
        79     2.574     0.396     0.000     0.263    -2.633     1.287     0.020    10.354    32.638 38855.269  1025.075     2.574     7.111
        80     2.625     0.400     0.000     0.268    -2.650     1.313     0.020    10.357    32.609 38092.546  1025.052     2.625     7.275
        81     2.678     0.405     0.000     0.273    -2.666     1.339     0.020    10.359    32.581 37344.813  1025.029     2.678     7.442
        82     2.731     0.409     0.000     0.278    -2.683     1.366     0.020    10.362    32.553 36611.774  1025.007     2.731     7.611
        83     2.786     0.414     0.000     0.283    -2.700     1.393     0.020    10.365    32.526 35893.141  1024.985     2.786     7.782
        84     2.842     0.418     0.000     0.288    -2.717     1.421     0.020    10.367    32.499 35188.630  1024.964     2.842     7.955
        85     2.899     0.423     0.000     0.294    -2.734     1.449     0.020    10.369    32.473 34497.962  1024.944     2.899     8.129
        86     2.957     0.428     0.000     0.299    -2.752     1.478     0.020    10.371    32.448 33820.865  1024.923     2.957     8.307
        87     3.016     0.432     0.000     0.304    -2.769     1.508     0.020    10.373    32.423 33157.071  1024.904     3.016     8.486
        88     3.076     0.437     0.000     0.309    -2.787     1.538     0.020    10.375    32.398 32506.319  1024.884     3.076     8.668
        89     3.138     0.442     0.000     0.314    -2.805     1.569     0.020    10.377    32.374 31868.353  1024.865     3.138     8.852
        90     3.201     0.447     0.000     0.319    -2.823     1.600     0.020    10.378    32.351 31242.919  1024.847     3.201     9.038
        91     3.265     0.452     0.000     0.325    -2.842     1.632     0.020    10.380    32.328 30629.772  1024.829     3.265     9.227
        92     3.330     0.458     0.000     0.330    -2.860     1.665     0.020    10.381    32.305 30028.670  1024.811     3.330     9.418
        93     3.397     0.463     0.000     0.335    -2.879     1.698     0.020    10.382    32.283 29439.376  1024.794     3.397     9.611
        94     3.465     0.468     0.000     0.341    -2.898     1.732     0.020    10.383    32.262 28861.657  1024.777     3.465     9.808
        95     3.534     0.474     0.000     0.346    -2.917     1.767     0.020    10.384    32.241 28295.285  1024.760     3.534    10.007
        96     3.605     0.479     0.000     0.352    -2.936     1.802     0.020    10.385    32.220 27740.038  1024.744     3.605    10.208
        97     3.677     0.485     0.000     0.357    -2.956     1.839     0.020    10.386    32.200 27195.697  1024.728     3.677    10.413
        98     3.751     0.491     0.000     0.363    -2.976     1.875     0.020    10.386    32.180 26662.046  1024.713     3.751    10.620
        99     3.826     0.496     0.000     0.369    -2.995     1.913     0.020    10.387    32.161 26138.875  1024.698     3.826    10.830
       100     3.902     0.502     0.000     0.374    -3.016     1.951     0.020    10.387    32.142 25625.979  1024.683     3.902    11.043
       101     3.980     0.508     0.000     0.380    -3.036     1.990     0.020    10.388    32.124 25123.156  1024.669     3.980    11.259
       102     4.060     0.514     0.000     0.386    -3.056     2.030     0.020    10.388    32.106 24630.206  1024.655     4.060    11.478
       103     4.141     0.521     0.000     0.392    -3.077     2.071     0.020    10.388    32.088 24146.935  1024.641     4.141    11.700
       104     4.224     0.527     0.000     0.397    -3.098     2.112     0.020    10.388    32.070 23673.153  1024.627     4.224    11.925
       105     4.309     0.533     0.000     0.403    -3.119     2.154     0.020    10.388    32.053 23208.674  1024.614     4.309    12.153
       106     4.395     0.539     0.000     0.409    -3.140     2.197     0.020    10.387    32.037 22753.313  1024.601     4.395    12.384
       107     4.483     0.546     0.000     0.416    -3.162     2.241     0.020    10.387    32.020 22306.894  1024.588     4.483    12.619
       108     4.573     0.553     0.000     0.422    -3.184     2.286     0.020    10.387    32.004 21869.238  1024.576     4.573    12.858
       109     4.664     0.559     0.000     0.428    -3.206     2.332     0.020    10.386    31.988 21440.175  1024.564     4.664    13.099
       110     4.757     0.566     0.000     0.434    -3.228     2.379     0.020    10.386    31.973 21019.535  1024.552     4.757    13.344
       111     4.853     0.573     0.000     0.440    -3.250     2.426     0.020    10.385    31.958 20607.152  1024.540     4.853    13.593
       112     4.950     0.580     0.000     0.447    -3.273     2.475     0.020    10.384    31.943 20202.865  1024.529     4.950    13.845
       113     5.049     0.587     0.000     0.453    -3.296     2.524     0.020    10.383    31.928 19806.515  1024.518     5.049    14.101
       114     5.150     0.594     0.000     0.460    -3.319     2.575     0.020    10.382    31.914 19417.944  1024.507     5.150    14.360
