****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth
      Step (FluxAvg)       (m)       (m)       (m)       (m)
        40     2.178     0.164     0.133     0.076   -10.848
        41     2.221     0.167     0.138     0.078   -10.843
        42     2.265     0.171     0.142     0.081   -10.837
        43     2.310     0.174     0.148     0.084   -10.831
        44     2.355     0.177     0.153     0.087   -10.826
        45     2.402     0.181     0.158     0.090   -10.820
        46     2.450     0.184     0.163     0.093   -10.814
        47     2.498     0.188     0.169     0.096   -10.808
        48     2.548     0.192     0.174     0.099   -10.801
        49     2.598     0.195     0.180     0.102   -10.795
        50     2.650     0.199     0.185     0.105   -10.789
        51     2.702     0.203     0.191     0.109   -10.782
        52     2.756     0.207     0.197     0.112   -10.775
        53     2.810     0.211     0.203     0.115   -10.768
        54     2.866     0.215     0.209     0.119   -10.761
        55     2.923     0.220     0.216     0.122   -10.754
        56     2.981     0.224     0.222     0.126   -10.747
        57     3.040     0.228     0.229     0.129   -10.740
        58     3.100     0.233     0.235     0.133   -10.732
        59     3.162     0.237     0.242     0.137   -10.725
        60     3.225     0.242     0.249     0.141   -10.717
        61     3.289     0.247     0.256     0.145   -10.709
        62     3.354     0.251     0.263     0.148   -10.701
        63     3.421     0.256     0.271     0.153   -10.693
        64     3.489     0.261     0.278     0.157   -10.684
        65     3.558     0.266     0.286     0.161   -10.676
        66     3.629     0.272     0.294     0.165   -10.667
        67     3.701     0.277     0.302     0.169   -10.658
        68     3.774     0.282     0.310     0.174   -10.649
        69     3.849     0.288     0.318     0.178   -10.640
        70     3.926     0.293     0.326     0.183   -10.631
        71     4.004     0.299     0.335     0.187   -10.621
        72     4.083     0.305     0.343     0.192   -10.612
        73     4.164     0.311     0.352     0.197   -10.602
        74     4.247     0.317     0.361     0.202   -10.592
        75     4.332     0.323     0.370     0.207   -10.582
        76     4.418     0.329     0.380     0.212   -10.571
        77     4.506     0.335     0.389     0.217   -10.561
        78     4.595     0.342     0.399     0.222   -10.550
