****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01      2.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth     P-Den    P-Con.    CL-Dil      Time   Net-Dil     P-Sal    P-Temp  Amb-Curr        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)   (kg/m3)    (mg/L)        ()       (s)        ()     (psu)       (C)     (m/s)    (mg/L)
         5     1.102     0.011     0.000     0.002    -1.998  1003.465 90766.206     1.000     0.001     1.102     4.743    10.063     0.020     2.459
        10     1.214     0.012     0.000     0.004    -1.996  1005.394 82367.798     1.000     0.002     1.214     7.228    10.120     0.020     3.028
        15     1.338     0.013     0.000     0.006    -1.994  1007.138 74732.462     1.000     0.004     1.338     9.478    10.171     0.020     3.544
        20     1.475     0.015     0.000     0.008    -1.992  1008.715 67793.499     1.000     0.006     1.475    11.516    10.218     0.020     4.011
        25     1.626     0.016     0.000     0.011    -1.989  1010.142 61489.524     1.000     0.008     1.626    13.362    10.261     0.020     4.433
        30     1.793     0.018     0.000     0.014    -1.986  1011.433 55764.153     1.000     0.011     1.793    15.034    10.299     0.020     4.816
        35     1.978     0.019     0.000     0.017    -1.983  1012.602 50565.680     1.000     0.014     1.978    16.549    10.334     0.020     5.163
        40     2.181     0.021     0.000     0.021    -1.980  1013.660 45846.753     1.091     0.018     2.181    17.920    10.366     0.020     5.477
        45     2.406     0.024     0.000     0.025    -1.976  1014.618 41564.063     1.203     0.023     2.406    19.163    10.395     0.020     5.761
        50     2.654     0.026     0.000     0.029    -1.971  1015.486 37678.040     1.327     0.029     2.654    20.288    10.421     0.020     6.018
        55     2.928     0.029     0.000     0.034    -1.967  1016.271 34152.561     1.464     0.036     2.928    21.307    10.445     0.020     6.250
        60     3.231     0.032     0.000     0.039    -1.961  1016.983 30954.681     1.615     0.045     3.231    22.230    10.467     0.020     6.461
        65     3.565     0.035     0.000     0.045    -1.956  1017.627 28054.370     1.782     0.056     3.565    23.065    10.487     0.020     6.651
