****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.50     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      1.50      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.003     0.391     0.000     0.010    -1.513     0.337     1.003  1026.964 99686.421    34.988    10.003     0.020     1.000
         2     1.004     0.359     0.000     0.010    -1.514     0.353     1.004  1026.963 99646.658    34.986    10.003     0.020     1.000
         3     1.004     0.358     0.000     0.011    -1.515     0.372     1.004  1026.961 99587.235    34.984    10.003     0.020     1.000
         4     1.005     0.357     0.000     0.012    -1.516     0.392     1.005  1026.959 99523.361    34.981    10.004     0.020     1.000
         5     1.005     0.355     0.000     0.012    -1.516     0.413     1.005  1026.957 99455.000    34.979    10.004     0.020     1.000
         6     1.006     0.354     0.000     0.013    -1.517     0.434     1.006  1026.955 99381.768    34.976    10.005     0.020     1.000
         7     1.007     0.352     0.000     0.013    -1.518     0.455     1.007  1026.952 99303.233    34.973    10.006     0.020     1.000
         8     1.008     0.350     0.000     0.014    -1.519     0.477     1.008  1026.949 99218.920    34.969    10.006     0.020     1.000
         9     1.009     0.349     0.000     0.015    -1.520     0.499     1.009  1026.946 99128.300    34.966    10.007     0.020     1.000
        10     1.010     0.347     0.000     0.015    -1.521     0.522     1.010  1026.943 99030.785    34.962    10.008     0.020     1.000
        11     1.011     0.346     0.000     0.016    -1.522     0.546     1.011  1026.940 98925.720    34.958    10.009     0.020     1.000
        12     1.012     0.344     0.000     0.017    -1.523     0.570     1.012  1026.936 98812.375    34.953    10.009     0.020     1.000
        13     1.013     0.343     0.000     0.018    -1.525     0.595     1.013  1026.932 98689.930    34.948    10.010     0.020     1.000
        14     1.015     0.341     0.000     0.018    -1.526     0.620     1.015  1026.928 98557.466    34.943    10.011     0.020     1.000
        15     1.016     0.340     0.000     0.019    -1.527     0.646     1.016  1026.923 98413.949    34.938    10.013     0.020     1.000
        16     1.018     0.338     0.000     0.020    -1.528     0.673     1.018  1026.919 98258.211    34.931    10.014     0.020     1.000
        17     1.019     0.336     0.000     0.021    -1.530     0.700     1.019  1026.913 98088.927    34.925    10.015     0.020     1.000
        18     1.021     0.335     0.000     0.021    -1.531     0.729     1.021  1026.907 97904.592    34.918    10.017     0.020     1.000
        19     1.024     0.333     0.000     0.022    -1.533     0.758     1.024  1026.901 97703.486    34.910    10.018     0.020     1.000
        20     1.026     0.332     0.000     0.023    -1.534     0.788     1.026  1026.894 97483.638    34.901    10.020     0.020     1.000
        21     1.028     0.330     0.000     0.024    -1.536     0.819     1.028  1026.886 97242.775    34.891    10.022     0.020     1.000
        22     1.031     0.329     0.000     0.025    -1.538     0.851     1.031  1026.877 96978.261    34.881    10.024     0.020     1.000
        23     1.034     0.328     0.000     0.026    -1.540     0.885     1.034  1026.868 96687.025    34.870    10.026     0.020     1.000
        24     1.038     0.326     0.000     0.027    -1.542     0.920     1.038  1026.858 96365.456    34.857    10.029     0.020     1.000
        25     1.042     0.325     0.000     0.028    -1.544     0.956     1.042  1026.846 96009.281    34.843    10.032     0.020     1.000
