****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        42     2.188     0.264     0.000     0.240    -2.335     1.881     2.188  1028.864 45700.889    37.498    10.338     0.020     1.094
        43     2.232     0.267     0.000     0.247    -2.347     1.949     2.232  1028.765 44800.513    37.373    10.342     0.020     1.116
        44     2.277     0.270     0.000     0.253    -2.359     2.019     2.277  1028.669 43917.959    37.250    10.347     0.020     1.138
        45     2.323     0.274     0.000     0.260    -2.372     2.089     2.323  1028.575 43052.871    37.131    10.351     0.020     1.161
        46     2.369     0.277     0.000     0.266    -2.384     2.161     2.369  1028.482 42204.902    37.013    10.356     0.020     1.185
        47     2.417     0.281     0.000     0.272    -2.397     2.234     2.417  1028.391 41373.708    36.898    10.360     0.020     1.208
        48     2.466     0.284     0.000     0.279    -2.409     2.308     2.466  1028.303 40558.955    36.785    10.364     0.020     1.233
        49     2.515     0.287     0.000     0.285    -2.422     2.383     2.515  1028.216 39760.315    36.674    10.368     0.020     1.258
        50     2.566     0.291     0.000     0.292    -2.436     2.460     2.566  1028.130 38977.468    36.566    10.372     0.020     1.283
        51     2.617     0.294     0.000     0.298    -2.449     2.538     2.617  1028.047 38210.097    36.459    10.375     0.020     1.309
        52     2.670     0.298     0.000     0.305    -2.463     2.617     2.670  1027.965 37457.895    36.355    10.379     0.020     1.335
        53     2.723     0.302     0.000     0.311    -2.476     2.697     2.723  1027.885 36720.560    36.253    10.382     0.020     1.362
        54     2.778     0.305     0.000     0.318    -2.490     2.779     2.778  1027.806 35997.794    36.153    10.385     0.020     1.389
        55     2.834     0.309     0.000     0.324    -2.505     2.861     2.834  1027.729 35289.309    36.055    10.388     0.020     1.417
        56     2.891     0.313     0.000     0.331    -2.519     2.946     2.891  1027.653 34594.820    35.958    10.391     0.020     1.445
        57     2.949     0.316     0.000     0.337    -2.534     3.031     2.949  1027.579 33914.049    35.864    10.394     0.020     1.474
        58     3.008     0.320     0.000     0.344    -2.548     3.118     3.008  1027.507 33246.722    35.772    10.396     0.020     1.504
        59     3.068     0.324     0.000     0.350    -2.563     3.206     3.068  1027.436 32592.572    35.681    10.399     0.020     1.534
        60     3.130     0.328     0.000     0.357    -2.579     3.296     3.130  1027.366 31951.338    35.592    10.401     0.020     1.565
        61     3.193     0.332     0.000     0.363    -2.594     3.387     3.193  1027.298 31322.762    35.506    10.404     0.020     1.596
        62     3.257     0.336     0.000     0.370    -2.610     3.480     3.257  1027.231 30706.594    35.420    10.406     0.020     1.628
        63     3.322     0.340     0.000     0.377    -2.625     3.573     3.322  1027.166 30102.585    35.337    10.408     0.020     1.661
        64     3.389     0.344     0.000     0.383    -2.641     3.669     3.389  1027.102 29510.496    35.255    10.410     0.020     1.694
        65     3.457     0.348     0.000     0.390    -2.658     3.766     3.457  1027.039 28930.089    35.175    10.411     0.020     1.728
        66     3.526     0.352     0.000     0.396    -2.674     3.864     3.526  1026.977 28361.133    35.096    10.413     0.020     1.763
        67     3.597     0.357     0.000     0.403    -2.691     3.964     3.597  1026.917 27803.400    35.019    10.415     0.020     1.798
        68     3.669     0.361     0.000     0.410    -2.707     4.065     3.669  1026.858 27256.667    34.943    10.416     0.020     1.834
        69     3.742     0.365     0.000     0.416    -2.724     4.168     3.742  1026.800 26720.717    34.869    10.417     0.020     1.871
        70     3.817     0.370     0.000     0.423    -2.742     4.272     3.817  1026.743 26195.335    34.797    10.418     0.020     1.909
        71     3.894     0.374     0.000     0.429    -2.759     4.378     3.894  1026.688 25680.312    34.726    10.420     0.020     1.947
        72     3.972     0.379     0.000     0.436    -2.777     4.486     3.972  1026.633 25175.442    34.656    10.420     0.020     1.986
        73     4.052     0.383     0.000     0.443    -2.795     4.595     4.052  1026.580 24680.525    34.588    10.421     0.020     2.026
        74     4.133     0.388     0.000     0.449    -2.813     4.706     4.133  1026.528 24195.363    34.521    10.422     0.020     2.067
        75     4.216     0.392     0.000     0.456    -2.831     4.818     4.216  1026.477 23719.762    34.456    10.423     0.020     2.108
        76     4.300     0.397     0.000     0.463    -2.850     4.933     4.300  1026.427 23253.535    34.391    10.423     0.020     2.150
        77     4.387     0.402     0.000     0.469    -2.869     5.049     4.387  1026.378 22796.494    34.328    10.424     0.020     2.193
        78     4.475     0.407     0.000     0.476    -2.888     5.167     4.475  1026.330 22348.457    34.267    10.424     0.020     2.237
        79     4.564     0.412     0.000     0.483    -2.907     5.286     4.564  1026.283 21909.248    34.206    10.424     0.020     2.282
        80     4.656     0.417     0.000     0.490    -2.927     5.408     4.656  1026.237 21478.690    34.147    10.424     0.020     2.328
        81     4.749     0.422     0.000     0.496    -2.946     5.531     4.749  1026.191 21056.614    34.089    10.424     0.020     2.375
        82     4.844     0.427     0.000     0.503    -2.966     5.656     4.844  1026.147 20642.850    34.032    10.424     0.020     2.422
        83     4.941     0.432     0.000     0.510    -2.987     5.783     4.941  1026.104 20237.235    33.977    10.424     0.020     2.471
        84     5.040     0.437     0.000     0.517    -3.007     5.912     5.040  1026.062 19839.607    33.922    10.424     0.020     2.520
        85     5.141     0.442     0.000     0.524    -3.028     6.043     5.141  1026.020 19449.808    33.869    10.423     0.020     2.571
        86     5.244     0.448     0.000     0.531    -3.049     6.176     5.244  1025.979 19067.684    33.817    10.423     0.020     2.622
        87     5.350     0.453     0.000     0.537    -3.070     6.312     5.350  1025.940 18693.083    33.765    10.422     0.020     2.675
        88     5.457     0.459     0.000     0.544    -3.092     6.449     5.457  1025.901 18325.854    33.715    10.422     0.020     2.728
        89     5.566     0.464     0.000     0.551    -3.113     6.588     5.566  1025.862 17965.854    33.666    10.421     0.020     2.783
        90     5.678     0.470     0.000     0.558    -3.135     6.729     5.678  1025.825 17612.939    33.617    10.420     0.020     2.839
        91     5.791     0.475     0.000     0.565    -3.158     6.873     5.791  1025.788 17266.969    33.570    10.419     0.020     2.896
        92     5.907     0.481     0.000     0.572    -3.180     7.018     5.907  1025.752 16927.807    33.523    10.418     0.020     2.954
        93     6.026     0.487     0.000     0.579    -3.203     7.166     6.026  1025.717 16595.319    33.478    10.417     0.020     3.013
