****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      1.50      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.158     0.000     0.006    -1.506     0.032     1.020  1026.911 98033.193    34.923    10.016     0.020     1.000
         2     1.041     0.161     0.000     0.011    -1.512     0.064     1.041  1026.849 96105.185    34.847    10.031     0.020     1.000
         3     1.061     0.164     0.000     0.017    -1.517     0.097     1.061  1026.789 94215.208    34.772    10.046     0.020     1.000
         4     1.083     0.166     0.000     0.023    -1.523     0.130     1.083  1026.729 92362.507    34.699    10.061     0.020     1.000
         5     1.104     0.169     0.000     0.029    -1.529     0.165     1.104  1026.671 90546.343    34.628    10.075     0.020     1.000
         6     1.127     0.173     0.000     0.035    -1.535     0.201     1.127  1026.614 88765.991    34.558    10.089     0.020     1.000
         7     1.149     0.176     0.000     0.041    -1.542     0.239     1.149  1026.558 87020.740    34.489    10.103     0.020     1.000
         8     1.172     0.179     0.000     0.047    -1.548     0.277     1.172  1026.503 85309.897    34.422    10.117     0.020     1.000
         9     1.196     0.182     0.000     0.053    -1.554     0.317     1.196  1026.450 83632.777    34.355    10.130     0.020     1.000
        10     1.220     0.185     0.000     0.060    -1.561     0.358     1.220  1026.397 81988.714    34.291    10.143     0.020     1.000
        11     1.244     0.188     0.000     0.066    -1.568     0.401     1.244  1026.345 80377.053    34.227    10.155     0.020     1.000
        12     1.269     0.192     0.000     0.073    -1.575     0.445     1.269  1026.295 78797.150    34.165    10.168     0.020     1.000
        13     1.295     0.195     0.000     0.080    -1.582     0.490     1.295  1026.245 77248.379    34.104    10.180     0.020     1.000
        14     1.320     0.199     0.000     0.086    -1.589     0.537     1.320  1026.197 75730.122    34.044    10.191     0.020     1.000
        15     1.347     0.202     0.000     0.093    -1.596     0.586     1.347  1026.149 74241.776    33.986    10.203     0.020     1.000
        16     1.374     0.206     0.000     0.100    -1.603     0.636     1.374  1026.103 72782.747    33.929    10.214     0.020     1.000
        17     1.401     0.209     0.000     0.107    -1.611     0.688     1.401  1026.057 71352.457    33.872    10.225     0.020     1.000
        18     1.430     0.213     0.000     0.115    -1.619     0.741     1.430  1026.012 69950.337    33.817    10.236     0.020     1.000
        19     1.458     0.216     0.000     0.122    -1.627     0.796     1.458  1025.968 68575.829    33.763    10.246     0.020     1.000
        20     1.487     0.220     0.000     0.129    -1.635     0.853     1.487  1025.925 67228.388    33.710    10.257     0.020     1.000
        21     1.517     0.224     0.000     0.137    -1.643     0.912     1.517  1025.883 65907.478    33.658    10.267     0.020     1.000
        22     1.548     0.228     0.000     0.145    -1.651     0.972     1.548  1025.842 64612.575    33.607    10.276     0.020     1.000
        23     1.579     0.231     0.000     0.152    -1.660     1.034     1.579  1025.801 63343.164    33.557    10.286     0.020     1.000
        24     1.610     0.235     0.000     0.160    -1.669     1.099     1.610  1025.762 62098.742    33.509    10.295     0.020     1.000
        25     1.643     0.239     0.000     0.168    -1.678     1.165     1.643  1025.723 60878.815    33.461    10.304     0.020     1.000
        26     1.676     0.243     0.000     0.176    -1.687     1.233     1.676  1025.685 59682.899    33.414    10.313     0.020     1.000
        27     1.709     0.247     0.000     0.184    -1.696     1.304     1.709  1025.648 58510.520    33.368    10.322     0.020     1.000
        28     1.743     0.251     0.000     0.193    -1.705     1.376     1.743  1025.611 57361.212    33.323    10.330     0.020     1.000
        29     1.778     0.256     0.000     0.201    -1.715     1.451     1.778  1025.575 56234.520    33.279    10.338     0.020     1.000
        30     1.814     0.260     0.000     0.210    -1.725     1.528     1.814  1025.540 55129.998    33.235    10.346     0.020     1.000
        31     1.850     0.264     0.000     0.218    -1.735     1.607     1.850  1025.506 54047.208    33.193    10.354     0.020     1.000
        32     1.887     0.268     0.000     0.227    -1.745     1.689     1.887  1025.472 52985.721    33.151    10.362     0.020     1.000
        33     1.925     0.273     0.000     0.236    -1.755     1.772     1.925  1025.439 51945.115    33.110    10.369     0.020     1.000
        34     1.964     0.277     0.000     0.245    -1.766     1.859     1.964  1025.407 50924.980    33.071    10.376     0.020     1.000
        35     2.003     0.281     0.000     0.254    -1.777     1.947     2.003  1025.375 49924.912    33.031    10.383     0.020     1.002
        36     2.043     0.286     0.000     0.263    -1.788     2.038     2.043  1025.344 48944.513    32.993    10.390     0.020     1.022
        37     2.084     0.290     0.000     0.272    -1.799     2.132     2.084  1025.314 47983.397    32.956    10.396     0.020     1.042
        38     2.126     0.295     0.000     0.282    -1.810     2.227     2.126  1025.284 47041.182    32.919    10.403     0.020     1.063
        39     2.168     0.300     0.000     0.291    -1.822     2.326     2.168  1025.255 46117.497    32.883    10.409     0.020     1.084
        40     2.212     0.304     0.000     0.301    -1.834     2.427     2.212  1025.227 45211.975    32.847    10.415     0.020     1.106
