****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      3.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
         1     1.020     0.158     0.000     0.006    -3.006     0.032     1.020  1026.915 98033.540    34.925    10.008     0.020     1.000
         2     1.041     0.161     0.000     0.011    -3.012     0.064     1.041  1026.857 96105.860    34.852    10.016     0.020     1.000
         3     1.061     0.164     0.000     0.017    -3.017     0.097     1.061  1026.799 94216.189    34.781    10.023     0.020     1.000
         4     1.083     0.167     0.000     0.023    -3.023     0.130     1.083  1026.743 92363.776    34.711    10.030     0.020     1.000
         5     1.104     0.170     0.000     0.029    -3.029     0.165     1.104  1026.689 90547.880    34.642    10.038     0.020     1.000
         6     1.127     0.173     0.000     0.035    -3.035     0.201     1.127  1026.635 88767.779    34.574    10.045     0.020     1.000
         7     1.149     0.176     0.000     0.041    -3.041     0.239     1.149  1026.582 87022.764    34.508    10.051     0.020     1.000
         8     1.172     0.179     0.000     0.047    -3.048     0.277     1.172  1026.530 85312.139    34.443    10.058     0.020     1.000
         9     1.196     0.182     0.000     0.053    -3.054     0.317     1.196  1026.480 83635.223    34.380    10.065     0.020     1.000
        10     1.220     0.185     0.000     0.060    -3.061     0.358     1.220  1026.430 81991.348    34.317    10.071     0.020     1.000
        11     1.244     0.189     0.000     0.066    -3.068     0.401     1.244  1026.381 80379.862    34.256    10.077     0.020     1.000
        12     1.269     0.192     0.000     0.073    -3.074     0.445     1.269  1026.334 78800.122    34.196    10.083     0.020     1.000
        13     1.294     0.195     0.000     0.080    -3.081     0.491     1.294  1026.287 77251.500    34.138    10.089     0.020     1.000
        14     1.320     0.199     0.000     0.087    -3.089     0.538     1.320  1026.241 75733.380    34.080    10.095     0.020     1.000
        15     1.347     0.202     0.000     0.093    -3.096     0.587     1.347  1026.196 74245.160    34.023    10.100     0.020     1.000
        16     1.374     0.206     0.000     0.100    -3.103     0.637     1.374  1026.152 72786.247    33.968    10.106     0.020     1.000
        17     1.401     0.209     0.000     0.108    -3.111     0.689     1.401  1026.109 71356.063    33.914    10.111     0.020     1.000
        18     1.430     0.213     0.000     0.115    -3.119     0.742     1.430  1026.066 69954.038    33.861    10.116     0.020     1.000
        19     1.458     0.217     0.000     0.122    -3.127     0.798     1.458  1026.025 68579.617    33.808    10.121     0.020     1.000
        20     1.487     0.220     0.000     0.130    -3.135     0.855     1.487  1025.984 67232.253    33.757    10.126     0.020     1.000
        21     1.517     0.224     0.000     0.137    -3.143     0.914     1.517  1025.944 65911.413    33.707    10.131     0.020     1.000
        22     1.548     0.228     0.000     0.145    -3.151     0.975     1.548  1025.905 64616.571    33.658    10.136     0.020     1.000
        23     1.579     0.232     0.000     0.153    -3.160     1.037     1.579  1025.867 63347.214    33.610    10.140     0.020     1.000
        24     1.610     0.236     0.000     0.161    -3.168     1.102     1.610  1025.829 62102.839    33.563    10.145     0.020     1.000
        25     1.642     0.240     0.000     0.169    -3.177     1.169     1.642  1025.793 60882.953    33.516    10.149     0.020     1.000
        26     1.675     0.244     0.000     0.177    -3.186     1.238     1.675  1025.757 59687.071    33.471    10.153     0.020     1.000
        27     1.709     0.248     0.000     0.185    -3.196     1.309     1.709  1025.721 58514.719    33.426    10.157     0.020     1.000
