****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
       210    62.446     3.031     4.035     1.600    -6.126    23.351    62.446  1024.567     1.601    31.500     7.916     0.065    31.223
       215    68.943     3.241     4.275     1.655    -5.807    25.809    68.943  1024.602     1.450    31.547     7.924     0.065    34.472
       220    76.117     3.463     4.525     1.708    -5.475    28.450    76.117  1024.635     1.314    31.590     7.931     0.066    38.058
       225    84.036     3.698     4.785     1.760    -5.132    31.285    84.036  1024.664     1.190    31.628     7.938     0.067    42.018
       230    92.781     3.947     5.057     1.811    -4.775    34.322    92.781  1024.691     1.078    31.663     7.944     0.068    46.390
       235   102.435     4.209     5.341     1.860    -4.406    37.571   102.435  1024.715     0.976    31.695     7.949     0.069    51.217
       240   113.094     4.486     5.639     1.907    -4.024    41.044   113.094  1024.737     0.884    31.724     7.954     0.070    56.547
       245   124.863     4.784     5.949     1.952    -3.632    44.731   124.863  1024.754     0.801    31.750     7.973     0.072    62.431
       250   137.648     5.144     6.256     1.994    -3.263    48.426   137.648  1024.760     0.726    31.773     8.059     0.075    68.824
---------------------------- Plume traps -----------------------------
       255   147.499     5.462     6.466     2.020    -3.029    50.976   147.499  1024.758     0.678    31.788     8.159     0.077    73.750
------------------------- merging happened ---------------------------
       260   155.017     5.722     6.621     2.038    -2.869    52.859   155.017  1024.753     0.645    31.799     8.248     0.078    76.326
       265   161.123     5.987     6.763     2.055    -2.732    54.588   161.123  1024.747     0.621    31.806     8.326     0.079    80.191
       270   165.961     6.243     6.894     2.069    -2.614    56.195   165.961  1024.742     0.603    31.812     8.392     0.080    83.469
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512    57.696   169.754  1024.737     0.589    31.816     8.446     0.081    86.225
