effluent_chemistry.total_alkalinity,effluent.flow,termination,nearfield_end_dilution,acute_region,acute_distance_m,acute_width_m,acute_dilution,acute_dilution_factor,acute_travel_time_hr,acute_total_alkalinity_umol_kg,acute_dic_umol_kg,acute_ph_total,acute_pco2_uatm,acute_carbonate_umol_kg,acute_bicarbonate_umol_kg,acute_omega_calcite,acute_omega_aragonite,acute_omega_brucite,chronic_region,chronic_distance_m,chronic_width_m,chronic_dilution,chronic_dilution_factor,chronic_travel_time_hr,chronic_total_alkalinity_umol_kg,chronic_dic_umol_kg,chronic_ph_total,chronic_pco2_uatm,chronic_carbonate_umol_kg,chronic_bicarbonate_umol_kg,chronic_omega_calcite,chronic_omega_aragonite,chronic_omega_brucite,port_ph_total,port_dic_umol_kg,port_omega_brucite,port_omega_aragonite,nearfield_peak_omega_brucite,nearfield_peak_ph_total,nearfield_end_distance_m,nearfield_end_time_s,nearfield_end_ph_total,nearfield_end_omega_brucite,omega1_dilution,omega1_time_s,omega1_distance_m,omega1_region,error,warnings
3000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,60.75336622818586,547.9312122130062,1.0254151524065005,0.24800195710455766,2900.182532344628,2497.5025728445385,8.386823233566977,205.44760075340386,303.9865608167188,2184.5139455474473,7.403944006109726,4.67528154039368,0.008684262389595382,farfield,207.0,232.47988182246613,1852.2295588404795,3.466318787899033,2.8355019571045577,2900.0540184937354,2499.260913163484,8.384419947357419,206.8660866451529,302.6248522255612,2187.5693993280556,7.370825132363424,4.654281406715488,0.008573737315272934,10.437071999147678,1131.78925327134,131.40440525753957,16.173621370026606,131.40440525753957,10.437071999147678,2.843859088471849,138.95927851814736,8.38690932953173,0.008688248750077633,1.5849615949129228,0.22165167398984492,0.009440466546138176,nearfield,,GeometryWarning
3000.0,0.001,oscillation limit,330.05767884407237,farfield,20.7,60.76875032430557,337.79268003067017,1.023435301410612,0.2407259209830046,2900.296090177429,2495.948862372397,8.388901190262729,204.2295530275118,305.1944501835616,2181.8088326331367,7.4333886442649435,4.693964447944921,0.008786701918935188,farfield,207.0,232.4970937081006,1135.8678918450687,3.4414224078140037,2.8282259209830047,2900.0880840672103,2498.794824326273,8.385017719890673,206.51415417181798,302.98993332003147,2186.755299412694,7.379771219703908,4.659965695585532,0.008606671935314572,10.437071999147676,1131.78925327134,131.40440525753846,16.1736213700266,131.40440525753846,10.437071999147676,3.367733689223668,144.58293808469705,8.389029470048293,0.008792713755589866,1.6083444381480194,0.0796985626127134,0.013862281893931043,nearfield,,GeometryWarning
3000.0,0.005,oscillation limit,279.9125318954064,farfield,20.7,60.295233729831175,284.6875252191186,1.0170588765403918,0.21423870608102719,2924.8446933936257,2495.193017607685,8.41749169989762,189.7610496291616,324.44910306838125,2162.467849894901,7.905069977598678,4.9923600718603085,0.010269890783668849,farfield,207.0,231.73680014474618,944.5311293174124,3.374379571080979,2.801738706081027,2924.6595914918876,2498.5509791544036,8.413157454629507,192.16190146730528,321.87535566537224,2168.290561373785,7.842455852964339,4.952639048421427,0.010033641624084001,10.437071999147678,1131.78925327134,131.40440525753957,16.173621370026606,131.40440525753957,10.437071999147678,5.274813162166045,163.4590591322049,8.417596004328061,0.010275645005504241,2.120195440097281,0.03956228630857066,0.02531083686167218,nearfield,,GeometryWarning
4000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,60.75336622818586,547.9312122130062,1.0254151524065005,0.24800195710455766,2902.007855790912,2498.4417104680374,8.387766763976552,205.02615441184443,304.68399154230275,2184.7741188949517,7.420930737428699,4.68600795210413,0.00872207875198808,farfield,207.0,232.47988182246613,1852.2295588404795,3.466318787899033,2.8355019571045577,2900.594203431095,2499.5388408915005,8.384700497494842,206.73979380494447,302.831097508229,2187.6466170179406,7.375848506681591,4.657453398638708,0.008584821617074254,10.437071999147676,1646.2940252396622,131.4044052575385,23.526055006266922,131.4044052575385,10.437071999147676,2.843859088471849,138.95927851814736,8.387876530556687,0.008727033611050422,1.7092204960720858,0.27316322488402256,0.011377885025761487,nearfield,,GeometryWarning
4000.0,0.001,oscillation limit,330.05767884407237,farfield,20.7,60.76875032430557,337.79268003067017,1.023435301410612,0.2407259209830046,2903.2569919517277,2497.472260464603,8.390425355072416,203.5533296615593,306.3265110896452,2182.229789476093,7.4609613889775845,4.711375818527667,0.008848593420740056,farfield,207.0,232.4970937081006,1135.8678918450687,3.4414224078140037,2.8282259209830047,2900.968924739312,2499.248021055414,8.385474617159035,206.30887602928772,303.3263114288837,2186.881113460854,7.387964209662006,4.665139169296558,0.008624800300978579,10.437071999147676,1646.2940252396622,131.40440525753846,23.52605500626692,131.40440525753846,10.437071999147676,3.367733689223668,144.58293808469705,8.39058869788672,0.008856077139164501,1.710958425336178,0.0953768275835956,0.01621935985039332,nearfield,,GeometryWarning
4000.0,0.005,oscillation limit,279.9125318954064,farfield,20.7,60.295233729831175,284.6875252191186,1.0170588765403918,0.21423870608102719,2928.3580281659247,2497.0006451135546,8.419205290120157,189.05600081512767,325.8045534495905,2162.950776368381,7.9380949728175425,5.0132166448792885,0.010351255562899515,farfield,207.0,231.73680014474618,944.5311293174124,3.374379571080979,2.801738706081027,2925.718654102718,2499.0958719214887,8.413678389293544,191.94449381828454,322.28342192224306,2168.4368745538545,7.852398340151298,4.958917891610068,0.010057741236998048,10.437071999147676,1646.2940252396622,131.4044052575385,23.526055006266922,131.4044052575385,10.437071999147676,5.274813162166045,163.4590591322049,8.419338123543747,0.010358415572759058,2.1860682533913876,0.04188873668161105,0.026799234306641002,nearfield,,GeometryWarning
5000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,60.75336622818586,547.9312122130062,1.0254151524065005,0.24800195710455766,2903.833179237196,2499.380848091536,8.388708430587007,204.60641830275787,305.3816635219458,2185.033976051408,7.43792334476908,4.696738074276817,0.008759984625266842,farfield,207.0,232.47988182246613,1852.2295588404795,3.466318787899033,2.8355019571045577,2901.134388368455,2499.8167686195175,8.384980882653638,206.61365369789632,303.0373640589176,2187.723806745718,7.380872399010295,4.660625717657849,0.00859591372578587,10.437071999147678,2160.7987972079845,131.40440525753957,30.878488642507254,131.40440525753957,10.437071999147678,2.843859088471849,138.95927851814736,8.388841773448151,0.00876591256265153,1.8340614565891034,0.3265241746025287,0.013317630315778772,nearfield,,GeometryWarning
5000.0,0.001,oscillation limit,330.05767884407237,farfield,20.7,60.76875032430557,337.79268003067017,1.023435301410612,0.2407259209830046,2906.217893726026,2498.9956585568093,8.39194465970207,202.88153186983197,307.4592033757062,2182.649921091917,7.488549511731104,4.728796899887246,0.008910721501877234,farfield,207.0,232.4970937081006,1135.8678918450687,3.4414224078140037,2.8282259209830047,2901.8497654114153,2499.7012177845545,8.385931076966513,206.1040019736144,303.6627459919487,2187.006853347441,7.396158574646555,4.670313511269755,0.008642949457975068,10.437071999147678,2160.7987972079845,131.40440525753954,30.878488642507246,131.40440525753954,10.437071999147678,3.367733689223668,144.58293808469705,8.392142840435886,0.008919688252278311,1.846305797001252,0.11940332722069227,0.019358172269094177,nearfield,,GeometryWarning
5000.0,0.005,oscillation limit,279.9125318954064,farfield,20.7,60.295233729831175,284.6875252191186,1.0170588765403918,0.21423870608102719,2931.8713629382237,2498.8082726194248,8.420912705641644,188.35614820920702,327.16083914632014,2163.432640903745,7.971140320158001,5.034086071057266,0.010432968418572348,farfield,207.0,231.73680014474618,944.5311293174124,3.374379571080979,2.801738706081027,2926.7777167135473,2499.6407646885746,8.414198752355242,191.72757501602217,322.6915648982437,2168.583089683772,7.862342696590985,4.965197915262369,0.010081872212995011,10.437071999147678,2160.7987972079845,131.40440525753957,30.878488642507254,131.40440525753957,10.437071999147678,5.274813162166045,163.4590591322049,8.421073862243349,0.010441546046680995,2.2474712246499937,0.04405732427104005,0.028186635587451048,nearfield,,GeometryWarning
6000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,60.75336622818586,547.9312122130062,1.0254151524065005,0.24800195710455766,2905.658502683479,2500.319985715034,8.389648240398044,204.18838227250882,306.0795761820524,2185.2935180353097,7.454921814160287,4.7074718980899055,0.008797980029850525,farfield,207.0,232.47988182246613,1852.2295588404795,3.466318787899033,2.8355019571045577,2901.6745733058137,2500.094696347534,8.385261103018466,206.48766605339904,303.24365186251475,2187.800968538359,7.385896808981454,4.663798363540486,0.008607013641941396,10.437071999147678,2675.303569176307,131.40440525753957,38.230922278747585,131.40440525753957,10.437071999147678,2.843859088471849,138.95927851814736,8.389805065741875,0.008804885626871022,1.960305916709826,0.3823572460280906,0.015282838488671383,nearfield,,GeometryWarning
6000.0,0.001,oscillation limit,330.05767884407237,farfield,20.7,60.76875032430557,337.79268003067017,1.023435301410612,0.2407259209830046,2909.178795500324,2500.5190566490146,8.39345913359791,202.21411731447682,308.5925246259067,2183.0692317509097,7.516152953684781,4.746227654867485,0.008973086248997814,farfield,207.0,232.4970937081006,1135.8678918450687,3.4414224078140037,2.8282259209830047,2902.730606083518,2500.154414513695,8.386387100110147,205.89953083979148,303.9992369439679,2187.132519188766,7.404354313068086,4.675488720501449,0.008661119408613258,10.437071999147676,2675.303569176307,131.40440525753846,38.23092227874757,131.40440525753846,10.437071999147676,3.367733689223668,144.58293808469705,8.393691929201344,0.008983547187688526,1.9638185642812813,0.1404183707191014,0.02208476343029025,nearfield,,GeometryWarning
6000.0,0.005,oscillation limit,279.9125318954064,farfield,20.7,60.295233729831175,284.6875252191186,1.0170588765403918,0.21423870608102719,2935.384697710523,2500.6159001252954,8.422613988873143,187.66143571223444,328.51795661152744,2163.913449494693,8.004205933197804,5.054968295815221,0.010515029485940998,farfield,207.0,231.73680014474618,944.5311293174124,3.374379571080979,2.801738706081027,2927.836779324378,2500.1856574556596,8.414718545012164,191.51114344711254,323.09978449366895,2168.729206933643,7.872288919854095,4.971479117844183,0.010106034555832292,10.437071999147678,2675.303569176307,131.40440525753957,38.230922278747585,131.40440525753957,10.437071999147678,5.274813162166045,163.4590591322049,8.422803264960272,0.010525036569345288,2.305347649616158,0.04610136374224969,0.029494354489010024,nearfield,,GeometryWarning
8000.0,0.00021906318194444445,oscillation limit,534.3506100208206,farfield,20.7,60.75336622818586,547.9312122130062,1.0254151524065005,0.24800195710455766,2909.3091495760464,2502.1982609620322,8.391522317431724,203.3573702256142,307.4761212626689,2185.81166052889,7.488936283539107,4.728950615555933,0.00887423951423551,farfield,207.0,232.47988182246613,1852.2295588404795,3.466318787899033,2.8355019571045577,2902.754943180533,2500.6505518035683,8.385821050103365,206.2361470727502,303.65629116808225,2187.9552084258908,7.395947180381181,4.67014463496805,0.008629236898715078,10.437071999147678,3704.313113112953,131.40440525753957,52.93578955122826,131.40440525753957,10.437071999147678,2.843859088471849,138.95927851814736,8.391725828470708,0.008883114180713933,2.210615226977482,0.49891253614008146,0.019231277124899023,nearfield,,GeometryWarning
8000.0,0.001,oscillation limit,330.05767884407237,farfield,20.7,60.76875032430557,337.79268003067017,1.023435301410612,0.2407259209830046,2915.1005990489207,2503.5658528334266,8.396473705692086,200.89227118776338,310.8610444457049,2183.9054070742513,7.5714055620298115,4.781118038454556,0.00909852608523273,farfield,207.0,232.4970937081006,1135.8678918450687,3.4414224078140037,2.8282259209830047,2904.4922874277227,2501.060807971976,8.387297839583635,205.4917926995198,304.67238775459356,2187.3836291991524,7.4207499038826965,4.685841736737312,0.008697521700032238,10.437071999147678,3704.313113112953,131.40440525753954,52.93578955122825,131.40440525753954,10.437071999147678,3.367733689223668,144.58293808469705,8.396775070002233,0.009112008893623756,2.2126400757864415,0.18990296275939447,0.027904318785237237,nearfield,,GeometryWarning
