depth,current_speed,current_direction,salinity,temperature,farfield_speed,farfield_direction
0.0,0.02,90.0,30.9,11.2,0.02,90.0
3.0,0.02,90.0,31.2,10.4,0.02,90.0
6.0,0.02,90.0,31.2,9.69,0.02,90.0
9.0,0.02,90.0,31.7,9.44,0.02,90.0
12.0,0.02,90.0,31.8,9.34,0.02,90.0
15.0,0.02,90.0,31.9,9.22,0.02,90.0
