****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00      1.00      0.00     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        42     2.265     0.172     0.146     0.084   -10.831     0.005     2.265  1014.288    44.151    18.070     5.662     0.053     1.132
        43     2.310     0.175     0.151     0.087   -10.825     0.005     2.310  1014.499    43.295    18.343     5.708     0.053     1.155
        44     2.355     0.178     0.157     0.090   -10.819     0.006     2.355  1014.706    42.454    18.611     5.753     0.053     1.178
        45     2.402     0.182     0.162     0.094   -10.813     0.006     2.402  1014.909    41.630    18.874     5.797     0.053     1.201
        46     2.450     0.186     0.168     0.097   -10.807     0.006     2.450  1015.108    40.822    19.131     5.840     0.053     1.225
        47     2.498     0.189     0.173     0.100   -10.800     0.007     2.498  1015.302    40.029    19.383     5.883     0.053     1.249
        48     2.548     0.193     0.179     0.103   -10.794     0.007     2.548  1015.493    39.252    19.631     5.924     0.053     1.274
        49     2.598     0.197     0.185     0.107   -10.787     0.007     2.598  1015.680    38.489    19.873     5.965     0.053     1.299
        50     2.650     0.201     0.191     0.110   -10.780     0.008     2.650  1015.863    37.741    20.111     6.005     0.053     1.325
        51     2.702     0.205     0.197     0.114   -10.773     0.008     2.702  1016.043    37.008    20.344     6.044     0.053     1.351
        52     2.756     0.209     0.203     0.117   -10.766     0.008     2.756  1016.219    36.288    20.573     6.082     0.053     1.378
        53     2.810     0.213     0.209     0.121   -10.758     0.009     2.810  1016.391    35.583    20.797     6.120     0.053     1.405
        54     2.866     0.217     0.216     0.125   -10.751     0.009     2.866  1016.560    34.891    21.017     6.157     0.053     1.433
        55     2.923     0.222     0.222     0.128   -10.743     0.009     2.923  1016.726    34.212    21.232     6.193     0.053     1.461
        56     2.981     0.226     0.229     0.132   -10.736     0.010     2.981  1016.888    33.547    21.443     6.228     0.053     1.490
        57     3.040     0.231     0.236     0.136   -10.728     0.010     3.040  1017.047    32.894    21.650     6.263     0.053     1.520
        58     3.100     0.235     0.243     0.140   -10.720     0.011     3.100  1017.203    32.254    21.853     6.297     0.053     1.550
        59     3.162     0.240     0.250     0.144   -10.711     0.011     3.162  1017.356    31.627    22.052     6.331     0.053     1.581
        60     3.225     0.245     0.257     0.148   -10.703     0.012     3.225  1017.506    31.011    22.247     6.363     0.053     1.612
        61     3.289     0.250     0.265     0.153   -10.695     0.012     3.289  1017.653    30.407    22.438     6.395     0.053     1.644
        62     3.354     0.254     0.272     0.157   -10.686     0.013     3.354  1017.797    29.815    22.626     6.427     0.053     1.677
        63     3.421     0.260     0.280     0.162   -10.677     0.013     3.421  1017.938    29.235    22.809     6.458     0.053     1.710
        64     3.489     0.265     0.288     0.166   -10.668     0.014     3.489  1018.076    28.665    22.990     6.488     0.053     1.744
        65     3.558     0.270     0.296     0.171   -10.659     0.015     3.558  1018.211    28.107    23.166     6.518     0.053     1.779
        66     3.629     0.275     0.304     0.175   -10.649     0.015     3.629  1018.344    27.560    23.340     6.547     0.053     1.814
        67     3.701     0.281     0.313     0.180   -10.640     0.016     3.701  1018.474    27.023    23.509     6.575     0.053     1.850
        68     3.774     0.286     0.321     0.185   -10.630     0.017     3.774  1018.602    26.496    23.676     6.603     0.053     1.887
        69     3.849     0.292     0.330     0.190   -10.620     0.017     3.849  1018.727    25.980    23.839     6.630     0.053     1.925
        70     3.926     0.298     0.339     0.195   -10.610     0.018     3.926  1018.850    25.473    23.999     6.657     0.053     1.963
        71     4.004     0.304     0.348     0.200   -10.599     0.019     4.004  1018.970    24.977    24.156     6.684     0.053     2.002
        72     4.083     0.310     0.357     0.206   -10.588     0.020     4.083  1019.087    24.490    24.310     6.709     0.054     2.042
        73     4.164     0.316     0.366     0.211   -10.578     0.020     4.164  1019.203    24.013    24.461     6.735     0.054     2.082
        74     4.247     0.322     0.376     0.217   -10.567     0.021     4.247  1019.316    23.544    24.608     6.760     0.054     2.124
        75     4.332     0.329     0.386     0.222   -10.555     0.022     4.332  1019.427    23.085    24.753     6.784     0.054     2.166
        76     4.418     0.335     0.396     0.228   -10.544     0.023     4.418  1019.535    22.635    24.895     6.808     0.054     2.209
        77     4.506     0.342     0.406     0.234   -10.532     0.024     4.506  1019.642    22.193    25.035     6.831     0.054     2.253
        78     4.595     0.349     0.416     0.240   -10.520     0.025     4.595  1019.746    21.760    25.171     6.854     0.054     2.298
        79     4.687     0.356     0.427     0.246   -10.508     0.026     4.687  1019.849    21.336    25.305     6.877     0.054     2.343
        80     4.780     0.363     0.438     0.252   -10.496     0.027     4.780  1019.949    20.920    25.436     6.899     0.054     2.390
        81     4.875     0.370     0.449     0.259   -10.483     0.029     4.875  1020.047    20.511    25.565     6.920     0.054     2.438
        82     4.972     0.378     0.460     0.265   -10.470     0.030     4.972  1020.144    20.111    25.691     6.941     0.054     2.486
        83     5.071     0.385     0.472     0.272   -10.457     0.031     5.071  1020.238    19.719    25.815     6.962     0.054     2.536
        84     5.172     0.393     0.483     0.278   -10.443     0.032     5.172  1020.331    19.334    25.936     6.982     0.054     2.586
        85     5.275     0.401     0.495     0.285   -10.430     0.034     5.275  1020.422    18.956    26.055     7.002     0.054     2.638
        86     5.380     0.409     0.507     0.292   -10.416     0.035     5.380  1020.511    18.586    26.172     7.022     0.054     2.690
        87     5.487     0.417     0.520     0.299   -10.401     0.037     5.487  1020.598    18.223    26.286     7.041     0.054     2.744
        88     5.597     0.425     0.532     0.307   -10.387     0.038     5.597  1020.684    17.868    26.398     7.060     0.054     2.798
        89     5.708     0.434     0.545     0.314   -10.372     0.040     5.708  1020.767    17.519    26.508     7.078     0.054     2.854
        90     5.822     0.442     0.559     0.322   -10.357     0.041     5.822  1020.850    17.177    26.616     7.096     0.054     2.911
        91     5.938     0.451     0.572     0.329   -10.341     0.043     5.938  1020.930    16.841    26.721     7.114     0.054     2.969
        92     6.056     0.460     0.586     0.337   -10.326     0.045     6.056  1021.009    16.512    26.825     7.132     0.054     3.028
        93     6.177     0.469     0.600     0.345   -10.310     0.047     6.177  1021.087    16.190    26.926     7.149     0.054     3.088
        94     6.300     0.478     0.614     0.353   -10.293     0.049     6.300  1021.162    15.873    27.026     7.165     0.054     3.150
        95     6.425     0.488     0.629     0.362   -10.276     0.051     6.425  1021.237    15.563    27.123     7.182     0.054     3.213
        96     6.553     0.498     0.643     0.370   -10.259     0.053     6.553  1021.310    15.259    27.219     7.198     0.054     3.277
        97     6.684     0.508     0.659     0.379   -10.242     0.055     6.684  1021.381    14.961    27.313     7.213     0.054     3.342
        98     6.817     0.518     0.674     0.388   -10.224     0.057     6.817  1021.451    14.669    27.404     7.229     0.054     3.409
        99     6.953     0.528     0.690     0.397   -10.206     0.059     6.953  1021.520    14.382    27.495     7.244     0.054     3.477
       100     7.092     0.539     0.706     0.406   -10.188     0.062     7.092  1021.587    14.101    27.583     7.259     0.054     3.546
       101     7.233     0.549     0.722     0.415   -10.169     0.064     7.233  1021.653    13.825    27.670     7.273     0.055     3.617
       102     7.377     0.560     0.739     0.425   -10.150     0.067     7.377  1021.718    13.555    27.754     7.288     0.055     3.689
       103     7.524     0.572     0.756     0.435   -10.130     0.070     7.524  1021.782    13.290    27.838     7.302     0.055     3.762
       104     7.674     0.583     0.773     0.445   -10.110     0.073     7.674  1021.844    13.030    27.919     7.315     0.055     3.837
       105     7.827     0.595     0.791     0.455   -10.090     0.076     7.827  1021.905    12.776    27.999     7.329     0.055     3.914
       106     7.983     0.606     0.809     0.465   -10.069     0.079     7.983  1021.964    12.526    28.078     7.342     0.055     3.992
       107     8.143     0.618     0.827     0.476   -10.048     0.082     8.143  1022.023    12.281    28.155     7.355     0.055     4.071
       108     8.305     0.631     0.846     0.487   -10.027     0.085     8.305  1022.080    12.041    28.230     7.367     0.055     4.153
       109     8.471     0.643     0.865     0.498   -10.005     0.089     8.471  1022.137    11.805    28.304     7.380     0.055     4.235
       110     8.640     0.656     0.885     0.509    -9.982     0.092     8.640  1022.192    11.575    28.376     7.392     0.055     4.320
       111     8.812     0.669     0.905     0.520    -9.960     0.096     8.812  1022.246    11.348    28.448     7.404     0.055     4.406
       112     8.988     0.683     0.925     0.532    -9.936     0.100     8.988  1022.299    11.126    28.517     7.416     0.055     4.494
       113     9.167     0.696     0.946     0.544    -9.913     0.104     9.167  1022.351    10.909    28.585     7.427     0.055     4.584
       114     9.350     0.710     0.967     0.556    -9.888     0.108     9.350  1022.402    10.695    28.652     7.438     0.055     4.675
       115     9.536     0.724     0.989     0.568    -9.864     0.113     9.536  1022.452    10.486    28.718     7.449     0.055     4.768
       116     9.727     0.739     1.011     0.581    -9.839     0.117     9.727  1022.501    10.281    28.782     7.460     0.055     4.863
       117     9.921     0.753     1.033     0.593    -9.813     0.122     9.921  1022.549    10.080    28.846     7.471     0.055     4.960
       118    10.119     0.768     1.056     0.607    -9.787     0.127    10.119  1022.596     9.883    28.907     7.481     0.055     5.059
       119    10.321     0.784     1.080     0.620    -9.760     0.132    10.321  1022.642     9.689    28.968     7.491     0.056     5.160
       120    10.527     0.799     1.103     0.633    -9.733     0.138    10.527  1022.687     9.500    29.027     7.501     0.056     5.263
       121    10.737     0.815     1.128     0.647    -9.705     0.143    10.737  1022.732     9.314    29.086     7.511     0.056     5.368
       122    10.951     0.831     1.152     0.661    -9.677     0.149    10.951  1022.775     9.132    29.143     7.521     0.056     5.475
       123    11.169     0.848     1.178     0.676    -9.648     0.155    11.169  1022.818     8.953    29.199     7.530     0.056     5.585
       124    11.392     0.865     1.203     0.691    -9.618     0.161    11.392  1022.860     8.778    29.254     7.539     0.056     5.696
       125    11.620     0.882     1.230     0.706    -9.588     0.168    11.620  1022.901     8.606    29.308     7.548     0.056     5.810
       126    11.852     0.900     1.256     0.721    -9.558     0.175    11.852  1022.941     8.438    29.360     7.557     0.056     5.926
       127    12.088     0.918     1.284     0.736    -9.527     0.182    12.088  1022.980     8.272    29.412     7.566     0.056     6.044
       128    12.330     0.936     1.312     0.752    -9.495     0.189    12.330  1023.019     8.111    29.463     7.574     0.056     6.165
       129    12.576     0.955     1.340     0.768    -9.463     0.197    12.576  1023.057     7.952    29.513     7.583     0.056     6.288
       130    12.827     0.974     1.369     0.785    -9.430     0.204    12.827  1023.094     7.796    29.561     7.591     0.056     6.413
       131    13.083     0.993     1.399     0.802    -9.396     0.213    13.083  1023.130     7.644    29.609     7.599     0.056     6.541
       132    13.344     1.013     1.429     0.819    -9.361     0.221    13.344  1023.166     7.494    29.656     7.607     0.057     6.672
       133    13.610     1.033     1.460     0.836    -9.326     0.230    13.610  1023.201     7.347    29.702     7.614     0.057     6.805
       134    13.882     1.053     1.491     0.854    -9.291     0.239    13.882  1023.235     7.203    29.747     7.622     0.057     6.941
       135    14.159     1.074     1.523     0.872    -9.254     0.249    14.159  1023.269     7.062    29.791     7.629     0.057     7.080
       136    14.442     1.096     1.555     0.891    -9.217     0.259    14.442  1023.301     6.924    29.835     7.637     0.057     7.221
       137    14.730     1.118     1.589     0.910    -9.179     0.270    14.730  1023.334     6.789    29.877     7.644     0.057     7.365
