****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       217    71.728     3.329     4.374     1.676    -5.676    35.864     0.066     7.927    31.565     1.394  1024.616    71.728    26.843
       218    73.162     3.373     4.423     1.687    -5.610    36.581     0.066     7.928    31.573     1.367  1024.622    73.162    27.371
       219    74.625     3.418     4.474     1.698    -5.543    37.312     0.066     7.930    31.581     1.340  1024.629    74.625    27.907
       220    76.117     3.463     4.525     1.708    -5.475    38.058     0.066     7.931    31.590     1.314  1024.635    76.117    28.450
       221    77.638     3.509     4.576     1.719    -5.408    38.819     0.066     7.932    31.598     1.288  1024.641    77.638    29.001
       222    79.191     3.556     4.627     1.729    -5.339    39.595     0.066     7.934    31.606     1.263  1024.647    79.191    29.560
       223    80.774     3.603     4.679     1.740    -5.271    40.387     0.067     7.935    31.613     1.238  1024.653    80.774    30.127
       224    82.389     3.650     4.732     1.750    -5.201    41.195     0.067     7.936    31.621     1.214  1024.658    82.389    30.702
       225    84.036     3.698     4.785     1.760    -5.132    42.018     0.067     7.938    31.628     1.190  1024.664    84.036    31.285
       226    85.717     3.747     4.838     1.770    -5.061    42.858     0.067     7.939    31.636     1.167  1024.670    85.717    31.876
       227    87.431     3.796     4.892     1.781    -4.990    43.715     0.067     7.940    31.643     1.144  1024.675    87.431    32.475
       228    89.179     3.846     4.947     1.791    -4.919    44.589     0.068     7.941    31.650     1.121  1024.680    89.179    33.082
       229    90.962     3.896     5.001     1.801    -4.847    45.481     0.068     7.942    31.657     1.099  1024.686    90.962    33.698
       230    92.781     3.947     5.057     1.811    -4.775    46.390     0.068     7.944    31.663     1.078  1024.691    92.781    34.322
       231    94.636     3.998     5.113     1.821    -4.702    47.318     0.068     7.945    31.670     1.057  1024.696    94.636    34.954
       232    96.528     4.050     5.169     1.830    -4.629    48.264     0.068     7.946    31.676     1.036  1024.701    96.528    35.596
       233    98.458     4.102     5.226     1.840    -4.555    49.229     0.068     7.947    31.683     1.016  1024.705    98.458    36.245
       234   100.427     4.155     5.283     1.850    -4.480    50.213     0.069     7.948    31.689     0.996  1024.710   100.427    36.904
       235   102.435     4.209     5.341     1.860    -4.406    51.217     0.069     7.949    31.695     0.976  1024.715   102.435    37.571
       236   104.483     4.263     5.399     1.869    -4.330    52.242     0.069     7.950    31.701     0.957  1024.719   104.483    38.248
       237   106.572     4.318     5.458     1.879    -4.254    53.286     0.069     7.951    31.707     0.938  1024.724   106.572    38.933
       238   108.703     4.373     5.518     1.888    -4.178    54.352     0.069     7.952    31.713     0.920  1024.728   108.703    39.628
       239   110.877     4.429     5.578     1.898    -4.101    55.438     0.070     7.953    31.718     0.902  1024.732   110.877    40.331
       240   113.094     4.486     5.639     1.907    -4.024    56.547     0.070     7.954    31.724     0.884  1024.737   113.094    41.044
       241   115.355     4.543     5.700     1.916    -3.946    57.678     0.070     7.955    31.729     0.867  1024.741   115.355    41.766
       242   117.662     4.601     5.762     1.925    -3.867    58.831     0.070     7.955    31.735     0.850  1024.745   117.662    42.498
       243   120.015     4.660     5.824     1.934    -3.789    60.007     0.071     7.958    31.740     0.833  1024.748   120.015    43.237
       244   122.415     4.720     5.886     1.943    -3.710    61.207     0.072     7.964    31.745     0.817  1024.752   122.415    43.982
       245   124.863     4.784     5.949     1.952    -3.632    62.431     0.072     7.973    31.750     0.801  1024.754   124.863    44.731
       246   127.360     4.850     6.012     1.961    -3.555    63.680     0.073     7.985    31.755     0.785  1024.756   127.360    45.481
       247   129.907     4.920     6.074     1.970    -3.479    64.953     0.073     8.000    31.760     0.770  1024.758   129.907    46.231
       248   132.505     4.993     6.137     1.978    -3.404    66.252     0.074     8.018    31.764     0.755  1024.759   132.505    46.982
       249   135.155     5.069     6.199     1.986    -3.330    67.577     0.074     8.038    31.769     0.740  1024.760   135.155    47.733
       250   137.648     5.144     6.256     1.994    -3.263    68.824     0.075     8.059    31.773     0.726  1024.760   137.648    48.426
---------------------------- Plume traps -----------------------------
       251   139.931     5.216     6.307     2.000    -3.205    69.965     0.076     8.079    31.777     0.715  1024.760   139.931    49.042
       252   142.017     5.283     6.352     2.006    -3.154    71.009     0.076     8.100    31.780     0.704  1024.760   142.017    49.591
       253   143.952     5.346     6.393     2.011    -3.108    71.976     0.076     8.120    31.783     0.695  1024.759   143.952    50.088
       254   145.770     5.405     6.431     2.016    -3.067    72.885     0.077     8.140    31.786     0.686  1024.758   145.770    50.546
       255   147.499     5.462     6.466     2.020    -3.029    73.750     0.077     8.159    31.788     0.678  1024.758   147.499    50.976
       256   149.157     5.517     6.500     2.024    -2.993    74.579     0.077     8.178    31.791     0.670  1024.757   149.157    51.382
       257   150.757     5.571     6.532     2.028    -2.960    75.378     0.078     8.197    31.793     0.663  1024.756   150.757    51.768
------------------------- merging happened ---------------------------
       258   152.306     5.623     6.562     2.031    -2.928    76.153     0.078     8.215    31.795     0.657  1024.755   152.306    52.138
       259   153.668     5.672     6.591     2.035    -2.899    76.153     0.078     8.232    31.797     0.651  1024.754   153.668    52.494
       260   155.017     5.722     6.621     2.038    -2.869    76.326     0.078     8.248    31.799     0.645  1024.753   155.017    52.859
       261   156.331     5.774     6.651     2.042    -2.839    77.135     0.078     8.265    31.800     0.640  1024.752   156.331    53.220
       262   157.626     5.828     6.680     2.045    -2.811    77.943     0.079     8.281    31.802     0.634  1024.750   157.626    53.574
       263   158.845     5.881     6.708     2.048    -2.784    78.717     0.079     8.297    31.803     0.630  1024.749   158.845    53.917
       264   160.015     5.935     6.736     2.051    -2.758    79.469     0.079     8.312    31.805     0.625  1024.748   160.015    54.255
       265   161.123     5.987     6.763     2.055    -2.732    80.191     0.079     8.326    31.806     0.621  1024.747   161.123    54.588
       266   162.186     6.039     6.790     2.058    -2.707    80.892     0.080     8.341    31.807     0.617  1024.746   162.186    54.918
       267   163.197     6.091     6.816     2.060    -2.683    81.569     0.080     8.354    31.809     0.613  1024.745   163.197    55.243
       268   164.164     6.142     6.843     2.063    -2.659    82.224     0.080     8.367    31.810     0.609  1024.744   164.164    55.565
       269   165.084     6.193     6.869     2.066    -2.637    82.857     0.080     8.380    31.811     0.606  1024.743   165.084    55.882
       270   165.961     6.243     6.894     2.069    -2.614    83.469     0.080     8.392    31.812     0.603  1024.742   165.961    56.195
       271   166.796     6.292     6.920     2.072    -2.593    84.059     0.080     8.404    31.813     0.600  1024.741   166.796    56.504
       272   167.592     6.340     6.945     2.074    -2.571    84.629     0.081     8.415    31.814     0.597  1024.740   167.592    56.809
       273   168.349     6.388     6.969     2.077    -2.551    85.180     0.081     8.426    31.815     0.594  1024.739   168.349    57.109
       274   169.069     6.435     6.993     2.080    -2.531    85.712     0.081     8.436    31.815     0.591  1024.738   169.069    57.405
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512    86.225     0.081     8.446    31.816     0.589  1024.737   169.754    57.696
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :      96.29 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance      Time     Conc.    Bckgrd
        ()       (m)       (m)    (hrs.)    (mg/L)    (mg/L)
   169.754    97.242     7.320     0.016     0.589     0.000
   169.754    97.473     8.000     0.020     0.575     0.000
   169.754    97.813     9.000     0.026     0.575     0.000
   169.754    98.153    10.000     0.031     0.575     0.000
   169.754    98.494    11.000     0.037     0.575     0.000
   169.754    98.836    12.000     0.043     0.575     0.000
   169.754    99.172    13.000     0.048     0.575     0.000
   169.754    99.510    14.000     0.054     0.575     0.000
   169.754    99.847    15.000     0.060     0.575     0.000
   169.754   100.185    16.000     0.065     0.575     0.000
   169.754   100.523    17.000     0.071     0.575     0.000
   169.754   100.860    18.000     0.076     0.575     0.000
   169.754   101.197    19.000     0.082     0.575     0.000
   169.754   101.535    20.000     0.088     0.575     0.000
   169.754   101.873    21.000     0.093     0.575     0.000
   169.755   102.211    22.000     0.099     0.575     0.000
   169.755   102.549    23.000     0.104     0.575     0.000
   169.755   102.888    24.000     0.110     0.575     0.000
   169.756   103.227    25.000     0.115     0.575     0.000
   169.756   103.566    26.000     0.121     0.575     0.000
   169.758   103.905    27.000     0.127     0.575     0.000
   169.759   104.245    28.000     0.132     0.575     0.000
   169.762   104.585    29.000     0.138     0.575     0.000
   169.765   104.925    30.000     0.143     0.575     0.000
   169.769   105.266    31.000     0.149     0.575     0.000
   169.775   105.606    32.000     0.154     0.575     0.000
   169.782   105.948    33.000     0.160     0.575     0.000
   169.790   106.289    34.000     0.166     0.575     0.000
   169.801   106.631    35.000     0.171     0.575     0.000
   169.813   106.973    36.000     0.177     0.575     0.000
   169.828   107.315    37.000     0.182     0.575     0.000
   169.845   107.658    38.000     0.188     0.575     0.000
   169.865   108.001    39.000     0.193     0.575     0.000
   169.888   108.345    40.000     0.199     0.575     0.000
   169.914   108.688    41.000     0.205     0.575     0.000
   169.943   109.032    42.000     0.210     0.574     0.000
   169.976   109.377    43.000     0.216     0.574     0.000
   170.013   109.721    44.000     0.221     0.574     0.000
   170.054   110.067    45.000     0.227     0.574     0.000
   170.099   110.412    46.000     0.232     0.574     0.000
   170.148   110.757    47.000     0.238     0.574     0.000
   170.201   111.103    48.000     0.243     0.574     0.000
   170.259   111.450    49.000     0.249     0.574     0.000
   170.321   111.796    50.000     0.255     0.574     0.000
   170.388   112.143    51.000     0.260     0.573     0.000
   170.460   112.491    52.000     0.266     0.573     0.000
   170.536   112.838    53.000     0.271     0.573     0.000
   170.618   113.186    54.000     0.277     0.573     0.000
   170.704   113.534    55.000     0.282     0.573     0.000
   170.795   113.883    56.000     0.288     0.572     0.000
   170.892   114.231    57.000     0.293     0.572     0.000
   170.993   114.581    58.000     0.299     0.572     0.000
   171.100   114.930    59.000     0.304     0.572     0.000
   171.212   115.280    60.000     0.310     0.572     0.000
   171.329   115.630    61.000     0.316     0.570     0.000
   171.450   115.980    62.000     0.321     0.570     0.000
   171.577   116.331    63.000     0.327     0.570     0.000
   171.710   116.682    64.000     0.332     0.570     0.000
   171.847   117.034    65.000     0.338     0.570     0.000
   171.989   117.385    66.000     0.343     0.568     0.000
   172.136   117.737    67.000     0.349     0.568     0.000
   172.288   118.090    68.000     0.354     0.568     0.000
   172.445   118.442    69.000     0.360     0.568     0.000
   172.607   118.795    70.000     0.365     0.568     0.000
   172.774   119.148    71.000     0.371     0.565     0.000
   172.946   119.502    72.000     0.377     0.565     0.000
   173.122   119.856    73.000     0.382     0.565     0.000
   173.303   120.210    74.000     0.388     0.565     0.000
   173.489   120.565    75.000     0.393     0.565     0.000
   173.680   120.920    76.000     0.399     0.563     0.000
   173.875   121.275    77.000     0.404     0.563     0.000
   174.074   121.630    78.000     0.410     0.563     0.000
   174.278   121.986    79.000     0.415     0.563     0.000
   174.487   122.342    80.000     0.421     0.563     0.000
   174.700   122.699    81.000     0.426     0.560     0.000
   174.917   123.055    82.000     0.432     0.560     0.000
   175.138   123.412    83.000     0.437     0.560     0.000
   175.363   123.770    84.000     0.443     0.560     0.000
   175.593   124.128    85.000     0.449     0.556     0.000
   175.827   124.486    86.000     0.454     0.556     0.000
   176.064   124.844    87.000     0.460     0.556     0.000
   176.306   125.203    88.000     0.465     0.556     0.000
   176.551   125.562    89.000     0.471     0.556     0.000
   176.800   125.921    90.000     0.476     0.553     0.000
   177.053   126.281    91.000     0.482     0.553     0.000
   177.310   126.640    92.000     0.487     0.553     0.000
   177.571   127.001    93.000     0.493     0.553     0.000
   177.835   127.361    94.000     0.498     0.553     0.000
   178.102   127.722    95.000     0.504     0.549     0.000
   178.373   128.083    96.000     0.509     0.549     0.000
   178.648   128.445    97.000     0.515     0.549     0.000
   178.925   128.807    98.000     0.521     0.549     0.000
   179.207   129.169    99.000     0.526     0.549     0.000
   179.491   129.532   100.000     0.532     0.545     0.000
   179.779   129.894   101.000     0.537     0.545     0.000
............................. Reached Chronic Mixing Zone ..........................
   180.070   130.258   102.000     0.543     0.545     0.000
   180.364   130.621   103.000     0.548     0.545     0.000
   180.661   130.985   104.000     0.554     0.545     0.000
   180.961   131.349   105.000     0.559     0.541     0.000
   181.264   131.713   106.000     0.565     0.541     0.000
   181.570   132.078   107.000     0.570     0.541     0.000
   181.879   132.443   108.000     0.576     0.541     0.000
   182.190   132.809   109.000     0.581     0.541     0.000
   182.505   133.174   110.000     0.587     0.536     0.000
   182.822   133.540   111.000     0.592     0.536     0.000
   183.142   133.907   112.000     0.598     0.536     0.000
   183.465   134.273   113.000     0.603     0.536     0.000
   183.790   134.641   114.000     0.609     0.536     0.000
   184.118   135.008   115.000     0.615     0.532     0.000
   184.449   135.375   116.000     0.620     0.532     0.000
   184.782   135.743   117.000     0.626     0.532     0.000
   185.117   136.112   118.000     0.631     0.532     0.000
   185.455   136.480   119.000     0.637     0.532     0.000
   185.796   136.849   120.000     0.642     0.527     0.000
   186.138   137.218   121.000     0.648     0.527     0.000
   186.483   137.588   122.000     0.653     0.527     0.000
   186.831   137.958   123.000     0.659     0.527     0.000
   187.180   138.328   124.000     0.664     0.523     0.000
   187.532   138.699   125.000     0.670     0.523     0.000
   187.886   139.070   126.000     0.675     0.523     0.000
   188.242   139.441   127.000     0.681     0.523     0.000
   188.600   139.812   128.000     0.686     0.523     0.000
   188.961   140.184   129.000     0.692     0.518     0.000
   189.323   140.556   130.000     0.697     0.518     0.000
   189.688   140.929   131.000     0.703     0.518     0.000
   190.054   141.301   132.000     0.708     0.518     0.000
   190.423   141.674   133.000     0.714     0.518     0.000
   190.793   142.048   134.000     0.719     0.513     0.000
   191.166   142.422   135.000     0.725     0.513     0.000
   191.540   142.796   136.000     0.731     0.513     0.000
   191.916   143.170   137.000     0.736     0.513     0.000
   192.294   143.545   138.000     0.742     0.513     0.000
   192.674   143.920   139.000     0.747     0.508     0.000
   193.056   144.295   140.000     0.753     0.508     0.000
   193.439   144.671   141.000     0.758     0.508     0.000
   193.824   145.047   142.000     0.764     0.508     0.000
   194.211   145.423   143.000     0.769     0.508     0.000
   194.600   145.800   144.000     0.775     0.503     0.000
   194.990   146.176   145.000     0.780     0.503     0.000
   195.382   146.554   146.000     0.786     0.503     0.000
   195.776   146.931   147.000     0.791     0.503     0.000
   196.171   147.309   148.000     0.797     0.503     0.000
   196.568   147.687   149.000     0.802     0.499     0.000
   196.966   148.066   150.000     0.808     0.499     0.000
   197.366   148.445   151.000     0.813     0.499     0.000
   197.767   148.824   152.000     0.819     0.499     0.000
   198.170   149.203   153.000     0.824     0.499     0.000
   198.575   149.583   154.000     0.830     0.494     0.000
   198.981   149.963   155.000     0.835     0.494     0.000
   199.388   150.344   156.000     0.841     0.494     0.000
   199.797   150.724   157.000     0.847     0.494     0.000
   200.207   151.105   158.000     0.852     0.494     0.000
   200.619   151.487   159.000     0.858     0.489     0.000
   201.032   151.869   160.000     0.863     0.489     0.000
   201.447   152.251   161.000     0.869     0.489     0.000
   201.862   152.633   162.000     0.874     0.489     0.000
   202.280   153.015   163.000     0.880     0.489     0.000
   202.698   153.398   164.000     0.885     0.484     0.000
   203.118   153.782   165.000     0.891     0.484     0.000
   203.539   154.165   166.000     0.896     0.484     0.000
   203.961   154.549   167.000     0.902     0.484     0.000
   204.385   154.933   168.000     0.907     0.479     0.000
   204.810   155.318   169.000     0.913     0.479     0.000
   205.236   155.703   170.000     0.918     0.479     0.000
   205.664   156.088   171.000     0.924     0.479     0.000
   206.092   156.473   172.000     0.929     0.479     0.000
   206.522   156.859   173.000     0.935     0.475     0.000
   206.953   157.245   174.000     0.940     0.475     0.000
   207.385   157.632   175.000     0.946     0.475     0.000
   207.818   158.019   176.000     0.951     0.475     0.000
   208.253   158.406   177.000     0.957     0.475     0.000
   208.689   158.793   178.000     0.962     0.470     0.000
   209.125   159.181   179.000     0.968     0.470     0.000
   209.563   159.569   180.000     0.974     0.470     0.000
   210.002   159.957   181.000     0.979     0.470     0.000
   210.442   160.346   182.000     0.985     0.470     0.000
   210.883   160.734   183.000     0.990     0.465     0.000
   211.326   161.124   184.000     0.996     0.465     0.000
   211.769   161.513   185.000     1.001     0.465     0.000
   212.213   161.903   186.000     1.007     0.465     0.000
   212.659   162.293   187.000     1.012     0.465     0.000
   213.105   162.684   188.000     1.018     0.461     0.000
   213.552   163.075   189.000     1.023     0.461     0.000
   214.001   163.466   190.000     1.029     0.461     0.000
   214.450   163.857   191.000     1.034     0.461     0.000
   214.901   164.249   192.000     1.040     0.461     0.000
   215.352   164.641   193.000     1.045     0.456     0.000
   215.804   165.033   194.000     1.051     0.456     0.000
   216.258   165.426   195.000     1.056     0.456     0.000
   216.712   165.819   196.000     1.062     0.456     0.000
   217.167   166.212   197.000     1.067     0.456     0.000
   217.624   166.606   198.000     1.073     0.451     0.000
   218.081   167.000   199.000     1.078     0.451     0.000
   218.539   167.394   200.000     1.084     0.451     0.000
   218.998   167.788   201.000     1.089     0.451     0.000
   219.458   168.183   202.000     1.095     0.451     0.000
   219.918   168.578   203.000     1.101     0.447     0.000
   220.380   168.974   204.000     1.106     0.447     0.000
   220.843   169.370   205.000     1.112     0.447     0.000
   221.306   169.766   206.000     1.117     0.447     0.000
   221.770   170.162   207.000     1.123     0.447     0.000
   222.235   170.559   208.000     1.128     0.442     0.000
   222.701   170.956   209.000     1.134     0.442     0.000
   223.168   171.353   210.000     1.139     0.442     0.000
   223.636   171.751   211.000     1.145     0.442     0.000
   224.105   172.149   212.000     1.150     0.438     0.000
   224.574   172.547   213.000     1.156     0.438     0.000
   225.044   172.946   214.000     1.161     0.438     0.000
   225.515   173.344   215.000     1.167     0.438     0.000
   225.987   173.744   216.000     1.172     0.438     0.000
   226.460   174.143   217.000     1.178     0.434     0.000
   226.933   174.543   218.000     1.183     0.434     0.000
   227.407   174.943   219.000     1.189     0.434     0.000
   227.882   175.343   220.000     1.194     0.434     0.000
   228.358   175.744   221.000     1.200     0.434     0.000
   228.835   176.145   222.000     1.205     0.429     0.000
   229.312   176.546   223.000     1.211     0.429     0.000
   229.790   176.948   224.000     1.216     0.429     0.000
   230.269   177.350   225.000     1.222     0.429     0.000
   230.749   177.752   226.000     1.228     0.429     0.000
   231.229   178.154   227.000     1.233     0.425     0.000
   231.710   178.557   228.000     1.239     0.425     0.000
   232.192   178.960   229.000     1.244     0.425     0.000
   232.675   179.364   230.000     1.250     0.425     0.000
   233.158   179.768   231.000     1.255     0.425     0.000
   233.642   180.172   232.000     1.261     0.421     0.000
   234.127   180.576   233.000     1.266     0.421     0.000
   234.612   180.981   234.000     1.272     0.421     0.000
   235.099   181.385   235.000     1.277     0.421     0.000
   235.586   181.791   236.000     1.283     0.421     0.000
   236.073   182.196   237.000     1.288     0.417     0.000
   236.562   182.602   238.000     1.294     0.417     0.000
   237.051   183.008   239.000     1.299     0.417     0.000
   237.540   183.415   240.000     1.305     0.417     0.000
   238.031   183.822   241.000     1.310     0.417     0.000
   238.522   184.229   242.000     1.316     0.413     0.000
   239.013   184.636   243.000     1.321     0.413     0.000
   239.506   185.044   244.000     1.327     0.413     0.000
   239.999   185.452   245.000     1.332     0.413     0.000
   240.493   185.860   246.000     1.338     0.413     0.000
   240.987   186.268   247.000     1.343     0.408     0.000
   241.482   186.677   248.000     1.349     0.408     0.000
   241.978   187.086   249.000     1.355     0.408     0.000
   242.474   187.496   250.000     1.360     0.408     0.000
   242.971   187.906   251.000     1.366     0.408     0.000
   243.469   188.316   252.000     1.371     0.404     0.000
   243.967   188.726   253.000     1.377     0.404     0.000
   244.466   189.137   254.000     1.382     0.404     0.000
   244.966   189.548   255.000     1.388     0.404     0.000
   245.466   189.959   256.000     1.393     0.404     0.000
   245.967   190.371   257.000     1.399     0.401     0.000
   246.468   190.782   258.000     1.404     0.401     0.000
   246.970   191.195   259.000     1.410     0.401     0.000
   247.473   191.607   260.000     1.415     0.401     0.000
   247.976   192.020   261.000     1.421     0.397     0.000
   248.480   192.433   262.000     1.426     0.397     0.000
   248.984   192.846   263.000     1.432     0.397     0.000
   249.489   193.260   264.000     1.437     0.397     0.000
   249.995   193.674   265.000     1.443     0.397     0.000
   250.501   194.088   266.000     1.448     0.393     0.000
   251.008   194.503   267.000     1.454     0.393     0.000
   251.516   194.917   268.000     1.459     0.393     0.000
   252.024   195.333   269.000     1.465     0.393     0.000
   252.532   195.748   270.000     1.471     0.393     0.000
   253.042   196.164   271.000     1.476     0.389     0.000
   253.552   196.580   272.000     1.482     0.389     0.000
   254.062   196.996   273.000     1.487     0.389     0.000
   254.573   197.413   274.000     1.493     0.389     0.000
   255.084   197.830   275.000     1.498     0.389     0.000
   255.597   198.247   276.000     1.504     0.385     0.000
   256.109   198.664   277.000     1.509     0.385     0.000
   256.623   199.082   278.000     1.515     0.385     0.000
   257.136   199.500   279.000     1.520     0.385     0.000
   257.651   199.919   280.000     1.526     0.385     0.000
   258.166   200.337   281.000     1.531     0.382     0.000
   258.681   200.756   282.000     1.537     0.382     0.000
   259.197   201.175   283.000     1.542     0.382     0.000
   259.714   201.595   284.000     1.548     0.382     0.000
   260.231   202.015   285.000     1.553     0.382     0.000
   260.749   202.435   286.000     1.559     0.378     0.000
   261.267   202.855   287.000     1.564     0.378     0.000
   261.786   203.276   288.000     1.570     0.378     0.000
   262.305   203.697   289.000     1.575     0.378     0.000
   262.825   204.119   290.000     1.581     0.378     0.000
   263.345   204.540   291.000     1.586     0.374     0.000
   263.866   204.962   292.000     1.592     0.374     0.000
   264.387   205.384   293.000     1.598     0.374     0.000
   264.909   205.807   294.000     1.603     0.374     0.000
   265.432   206.229   295.000     1.609     0.374     0.000
   265.955   206.653   296.000     1.614     0.371     0.000
   266.478   207.076   297.000     1.620     0.371     0.000
   267.003   207.500   298.000     1.625     0.371     0.000
   267.527   207.924   299.000     1.631     0.371     0.000
   268.052   208.348   300.000     1.636     0.371     0.000
   268.578   208.772   301.000     1.642     0.367     0.000
   269.104   209.197   302.000     1.647     0.367     0.000
   269.631   209.622   303.000     1.653     0.367     0.000
   270.158   210.048   304.000     1.658     0.367     0.000
   270.685   210.473   305.000     1.664     0.364     0.000
   271.214   210.899   306.000     1.669     0.364     0.000
   271.742   211.325   307.000     1.675     0.364     0.000
   272.271   211.752   308.000     1.680     0.364     0.000
   272.801   212.179   309.000     1.686     0.364     0.000
   273.331   212.606   310.000     1.691     0.360     0.000
   273.862   213.033   311.000     1.697     0.360     0.000
   274.393   213.461   312.000     1.702     0.360     0.000
   274.925   213.889   313.000     1.708     0.360     0.000
   275.457   214.317   314.000     1.714     0.360     0.000
   275.990   214.746   315.000     1.719     0.357     0.000
   276.523   215.175   316.000     1.725     0.357     0.000
   277.056   215.604   317.000     1.730     0.357     0.000
   277.591   216.033   318.000     1.736     0.357     0.000
   278.125   216.463   319.000     1.741     0.357     0.000
   278.660   216.893   320.000     1.747     0.354     0.000
   279.196   217.323   321.000     1.752     0.354     0.000
   279.732   217.754   322.000     1.758     0.354     0.000
   280.268   218.185   323.000     1.763     0.354     0.000
   280.805   218.616   324.000     1.769     0.354     0.000
   281.343   219.047   325.000     1.774     0.351     0.000
   281.881   219.479   326.000     1.780     0.351     0.000
   282.419   219.911   327.000     1.785     0.351     0.000
   282.958   220.343   328.000     1.791     0.351     0.000
   283.498   220.776   329.000     1.796     0.351     0.000
   284.037   221.209   330.000     1.802     0.347     0.000
   284.578   221.642   331.000     1.807     0.347     0.000
   285.118   222.075   332.000     1.813     0.347     0.000
   285.660   222.509   333.000     1.818     0.347     0.000
   286.201   222.943   334.000     1.824     0.347     0.000
   286.744   223.377   335.000     1.830     0.344     0.000
   287.286   223.812   336.000     1.835     0.344     0.000
   287.829   224.247   337.000     1.841     0.344     0.000
   288.373   224.682   338.000     1.846     0.344     0.000
   288.917   225.117   339.000     1.852     0.344     0.000
   289.461   225.553   340.000     1.857     0.341     0.000
   290.006   225.989   341.000     1.863     0.341     0.000
   290.552   226.425   342.000     1.868     0.341     0.000
   291.097   226.862   343.000     1.874     0.341     0.000
   291.644   227.299   344.000     1.879     0.341     0.000
   292.191   227.736   345.000     1.885     0.338     0.000
   292.738   228.173   346.000     1.890     0.338     0.000
   293.285   228.611   347.000     1.896     0.338     0.000
   293.833   229.049   348.000     1.901     0.338     0.000
   294.382   229.487   349.000     1.907     0.335     0.000
   294.931   229.926   350.000     1.912     0.335     0.000
   295.480   230.365   351.000     1.918     0.335     0.000
   296.030   230.804   352.000     1.923     0.335     0.000
   296.580   231.243   353.000     1.929     0.335     0.000
   297.131   231.683   354.000     1.935     0.332     0.000
   297.682   232.123   355.000     1.940     0.332     0.000
   298.234   232.563   356.000     1.946     0.332     0.000
   298.786   233.003   357.000     1.951     0.332     0.000
   299.339   233.444   358.000     1.957     0.332     0.000
   299.892   233.885   359.000     1.962     0.329     0.000
   300.445   234.326   360.000     1.968     0.329     0.000
   300.999   234.768   361.000     1.973     0.329     0.000
   301.553   235.210   362.000     1.979     0.329     0.000
   302.108   235.652   363.000     1.984     0.329     0.000
   302.663   236.095   364.000     1.990     0.326     0.000
   303.218   236.537   365.000     1.995     0.326     0.000
   303.774   236.980   366.000     2.001     0.326     0.000
   304.331   237.424   367.000     2.006     0.326     0.000
   304.887   237.867   368.000     2.012     0.326     0.000
   305.445   238.311   369.000     2.017     0.323     0.000
   306.002   238.755   370.000     2.023     0.323     0.000
   306.560   239.200   371.000     2.028     0.323     0.000
   307.119   239.644   372.000     2.034     0.323     0.000
   307.678   240.089   373.000     2.039     0.323     0.000
   308.237   240.534   374.000     2.045     0.320     0.000
   308.797   240.980   375.000     2.051     0.320     0.000
   309.357   241.426   376.000     2.056     0.320     0.000
   309.918   241.872   377.000     2.062     0.320     0.000
   310.479   242.318   378.000     2.067     0.320     0.000
   311.040   242.765   379.000     2.073     0.318     0.000
   311.602   243.212   380.000     2.078     0.318     0.000
   312.164   243.659   381.000     2.084     0.318     0.000
   312.727   244.106   382.000     2.089     0.318     0.000
   313.290   244.554   383.000     2.095     0.318     0.000
   313.854   245.002   384.000     2.100     0.315     0.000
   314.418   245.450   385.000     2.106     0.315     0.000
   314.982   245.899   386.000     2.111     0.315     0.000
   315.547   246.348   387.000     2.117     0.315     0.000
   316.112   246.797   388.000     2.122     0.312     0.000
   316.678   247.246   389.000     2.128     0.312     0.000
