****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m) (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
       220    76.117     3.463     4.525     1.708    -5.475  1828.210  1600.590     8.282     3.462     2.181    11.937     0.000
       225    84.036     3.698     4.785     1.760    -5.132  1825.551  1600.535     8.276     3.421     2.155    11.382     0.000
       230    92.781     3.947     5.057     1.811    -4.775  1823.142  1600.484     8.271     3.385     2.133    10.896     0.000
       235   102.435     4.209     5.341     1.860    -4.406  1820.960  1600.439     8.266     3.352     2.112    10.469     0.000
       240   113.094     4.486     5.639     1.907    -4.024  1818.985  1600.397     8.261     3.322     2.093    10.093     0.000
       245   124.863     4.784     5.949     1.952    -3.632  1817.195  1600.360     8.257     3.295     2.077     9.763     0.000
       250   137.648     5.144     6.256     1.994    -3.263  1815.598  1600.326     8.252     3.272     2.063     9.483     0.000
---------------------------- Plume traps -----------------------------
       255   147.499     5.462     6.466     2.020    -3.029  1814.556  1600.305     8.248     3.258     2.054     9.309     0.000
------------------------- merging happened ---------------------------
       260   155.017     5.722     6.621     2.038    -2.869  1813.850  1600.290     8.245     3.248     2.048     9.195     0.000
       265   161.123     5.987     6.763     2.055    -2.732  1813.325  1600.279     8.242     3.241     2.044     9.113     0.000
       270   165.961     6.243     6.894     2.069    -2.614  1812.937  1600.271     8.240     3.236     2.041     9.053     0.000
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512  1812.648  1600.265     8.239     3.232     2.039     9.010     0.000
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :      96.29 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance      Time        TA       DIC        pH    OmegaC    OmegaA
        ()       (m)       (m)    (hrs.) (mmol/m3) (mmol/m3)   (total)        ()        ()
   169.754    97.242     7.320     0.016  1812.648  1600.265     8.239     3.232     2.039
   169.754    98.151    10.000     0.031  1812.648  1600.265     8.239     3.227     2.036
   169.754    99.847    15.000     0.060  1812.648  1600.265     8.239     3.227     2.036
   169.754   101.535    20.000     0.088  1812.648  1600.265     8.239     3.227     2.036
   169.756   103.227    25.000     0.115  1812.648  1600.265     8.239     3.227     2.036
   169.765   104.925    30.000     0.143  1812.647  1600.265     8.239     3.227     2.036
   169.801   106.631    35.000     0.171  1812.642  1600.265     8.239     3.227     2.036
   169.888   108.344    40.000     0.199  1812.630  1600.264     8.239     3.227     2.036
   170.054   110.066    45.000     0.227  1812.609  1600.264     8.239     3.227     2.036
   170.321   111.796    50.000     0.255  1812.575  1600.263     8.239     3.226     2.035
   170.704   113.533    55.000     0.282  1812.575  1600.263     8.239     3.226     2.035
   171.211   115.278    60.000     0.310  1812.527  1600.262     8.239     3.226     2.035
   171.845   117.030    65.000     0.338  1812.467  1600.261     8.238     3.225     2.035
   172.605   118.791    70.000     0.365  1812.394  1600.259     8.238     3.224     2.034
   173.486   120.559    75.000     0.393  1812.309  1600.258     8.237     3.223     2.033
   174.483   122.335    80.000     0.421  1812.309  1600.258     8.237     3.223     2.033
   175.587   124.119    85.000     0.448  1812.213  1600.256     8.237     3.222     2.033
   176.793   125.910    90.000     0.476  1812.108  1600.253     8.236     3.220     2.032
   178.093   127.710    95.000     0.504  1811.994  1600.251     8.236     3.219     2.031
   179.479   129.517   100.000     0.531  1811.873  1600.248     8.235     3.217     2.030
............................. Reached Chronic Mixing Zone ..........................
   180.792   131.144   104.484     0.556  1811.873  1600.248     8.235     3.217     2.030
