****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       188    40.401     2.233     3.082     1.343    -7.383    20.200     0.061     7.870    31.227     2.475  1024.359    40.401    14.499
       189    41.208     2.265     3.122     1.355    -7.330    20.604     0.062     7.873    31.242     2.427  1024.371    41.208    14.838
       190    42.032     2.298     3.162     1.367    -7.278    21.016     0.062     7.875    31.257     2.379  1024.382    42.032    15.182
       191    42.872     2.331     3.203     1.379    -7.225    21.436     0.062     7.878    31.271     2.333  1024.393    42.872    15.533
       192    43.729     2.364     3.244     1.391    -7.171    21.865     0.062     7.880    31.286     2.287  1024.404    43.729    15.888
       193    44.603     2.398     3.285     1.403    -7.117    22.302     0.062     7.882    31.300     2.242  1024.415    44.603    16.250
       194    45.495     2.432     3.327     1.415    -7.063    22.747     0.062     7.885    31.313     2.198  1024.425    45.495    16.618
       195    46.404     2.466     3.369     1.427    -7.008    23.202     0.062     7.887    31.327     2.155  1024.435    46.404    16.991
       196    47.332     2.501     3.411     1.439    -6.953    23.666     0.062     7.889    31.340     2.113  1024.445    47.332    17.371
       197    48.278     2.536     3.453     1.451    -6.897    24.139     0.063     7.891    31.353     2.071  1024.455    48.278    17.756
       198    49.243     2.572     3.496     1.462    -6.840    24.622     0.063     7.894    31.366     2.031  1024.465    49.243    18.148
       199    50.228     2.607     3.539     1.474    -6.783    25.114     0.063     7.896    31.378     1.991  1024.474    50.228    18.546
       200    51.232     2.644     3.583     1.486    -6.726    25.616     0.063     7.898    31.390     1.952  1024.483    51.232    18.950
       201    52.256     2.681     3.626     1.498    -6.668    26.128     0.063     7.900    31.402     1.914  1024.492    52.256    19.361
       202    53.301     2.718     3.670     1.509    -6.610    26.650     0.063     7.902    31.414     1.876  1024.501    53.301    19.778
       203    54.366     2.755     3.715     1.521    -6.551    27.183     0.063     7.904    31.425     1.839  1024.510    54.366    20.201
       204    55.453     2.794     3.759     1.532    -6.492    27.727     0.064     7.905    31.437     1.803  1024.519    55.453    20.631
       205    56.562     2.832     3.805     1.544    -6.432    28.281     0.064     7.907    31.448     1.768  1024.527    56.562    21.067
       206    57.692     2.871     3.850     1.555    -6.372    28.846     0.064     7.909    31.459     1.733  1024.535    57.692    21.510
       207    58.846     2.910     3.896     1.566    -6.311    29.423     0.064     7.911    31.469     1.699  1024.543    58.846    21.960
       208    60.022     2.950     3.942     1.578    -6.250    30.011     0.064     7.913    31.480     1.666  1024.551    60.022    22.417
       209    61.222     2.990     3.988     1.589    -6.188    30.611     0.064     7.914    31.490     1.633  1024.559    61.222    22.880
       210    62.446     3.031     4.035     1.600    -6.126    31.223     0.065     7.916    31.500     1.601  1024.567    62.446    23.351
       211    63.695     3.072     4.082     1.611    -6.063    31.847     0.065     7.918    31.510     1.570  1024.574    63.695    23.828
       212    64.968     3.114     4.130     1.622    -6.000    32.484     0.065     7.919    31.519     1.539  1024.581    64.968    24.312
       213    66.267     3.156     4.178     1.633    -5.936    33.134     0.065     7.921    31.529     1.509  1024.588    66.267    24.804
       214    67.592     3.198     4.226     1.644    -5.872    33.796     0.065     7.922    31.538     1.479  1024.595    67.592    25.303
       215    68.943     3.241     4.275     1.655    -5.807    34.472     0.065     7.924    31.547     1.450  1024.602    68.943    25.809
       216    70.322     3.285     4.324     1.666    -5.742    35.161     0.065     7.925    31.556     1.422  1024.609    70.322    26.322
       217    71.728     3.329     4.374     1.676    -5.676    35.864     0.066     7.927    31.565     1.394  1024.616    71.728    26.843
       218    73.162     3.373     4.423     1.687    -5.610    36.581     0.066     7.928    31.573     1.367  1024.622    73.162    27.371
       219    74.625     3.418     4.474     1.698    -5.543    37.312     0.066     7.930    31.581     1.340  1024.629    74.625    27.907
       220    76.117     3.463     4.525     1.708    -5.475    38.058     0.066     7.931    31.590     1.314  1024.635    76.117    28.450
       221    77.638     3.509     4.576     1.719    -5.408    38.819     0.066     7.932    31.598     1.288  1024.641    77.638    29.001
       222    79.191     3.556     4.627     1.729    -5.339    39.595     0.066     7.934    31.606     1.263  1024.647    79.191    29.560
       223    80.774     3.603     4.679     1.740    -5.271    40.387     0.067     7.935    31.613     1.238  1024.653    80.774    30.127
       224    82.389     3.650     4.732     1.750    -5.201    41.195     0.067     7.936    31.621     1.214  1024.658    82.389    30.702
       225    84.036     3.698     4.785     1.760    -5.132    42.018     0.067     7.938    31.628     1.190  1024.664    84.036    31.285
       226    85.717     3.747     4.838     1.770    -5.061    42.858     0.067     7.939    31.636     1.167  1024.670    85.717    31.876
       227    87.431     3.796     4.892     1.781    -4.990    43.715     0.067     7.940    31.643     1.144  1024.675    87.431    32.475
       228    89.179     3.846     4.947     1.791    -4.919    44.589     0.068     7.941    31.650     1.121  1024.680    89.179    33.082
       229    90.962     3.896     5.001     1.801    -4.847    45.481     0.068     7.942    31.657     1.099  1024.686    90.962    33.698
       230    92.781     3.947     5.057     1.811    -4.775    46.390     0.068     7.944    31.663     1.078  1024.691    92.781    34.322
       231    94.636     3.998     5.113     1.821    -4.702    47.318     0.068     7.945    31.670     1.057  1024.696    94.636    34.954
       232    96.528     4.050     5.169     1.830    -4.629    48.264     0.068     7.946    31.676     1.036  1024.701    96.528    35.596
       233    98.458     4.102     5.226     1.840    -4.555    49.229     0.068     7.947    31.683     1.016  1024.705    98.458    36.245
       234   100.427     4.155     5.283     1.850    -4.480    50.213     0.069     7.948    31.689     0.996  1024.710   100.427    36.904
       235   102.435     4.209     5.341     1.860    -4.406    51.217     0.069     7.949    31.695     0.976  1024.715   102.435    37.571
       236   104.483     4.263     5.399     1.869    -4.330    52.242     0.069     7.950    31.701     0.957  1024.719   104.483    38.248
       237   106.572     4.318     5.458     1.879    -4.254    53.286     0.069     7.951    31.707     0.938  1024.724   106.572    38.933
       238   108.703     4.373     5.518     1.888    -4.178    54.352     0.069     7.952    31.713     0.920  1024.728   108.703    39.628
       239   110.877     4.429     5.578     1.898    -4.101    55.438     0.070     7.953    31.718     0.902  1024.732   110.877    40.331
       240   113.094     4.486     5.639     1.907    -4.024    56.547     0.070     7.954    31.724     0.884  1024.737   113.094    41.044
       241   115.355     4.543     5.700     1.916    -3.946    57.678     0.070     7.955    31.729     0.867  1024.741   115.355    41.766
       242   117.662     4.601     5.762     1.925    -3.867    58.831     0.070     7.955    31.735     0.850  1024.745   117.662    42.498
       243   120.015     4.660     5.824     1.934    -3.789    60.007     0.071     7.958    31.740     0.833  1024.748   120.015    43.237
       244   122.415     4.720     5.886     1.943    -3.710    61.207     0.072     7.964    31.745     0.817  1024.752   122.415    43.982
       245   124.863     4.784     5.949     1.952    -3.632    62.431     0.072     7.973    31.750     0.801  1024.754   124.863    44.731
       246   127.360     4.850     6.012     1.961    -3.555    63.680     0.073     7.985    31.755     0.785  1024.756   127.360    45.481
       247   129.907     4.920     6.074     1.970    -3.479    64.953     0.073     8.000    31.760     0.770  1024.758   129.907    46.231
       248   132.505     4.993     6.137     1.978    -3.404    66.252     0.074     8.018    31.764     0.755  1024.759   132.505    46.982
       249   135.155     5.069     6.199     1.986    -3.330    67.577     0.074     8.038    31.769     0.740  1024.760   135.155    47.733
       250   137.648     5.144     6.256     1.994    -3.263    68.824     0.075     8.059    31.773     0.726  1024.760   137.648    48.426
---------------------------- Plume traps -----------------------------
       251   139.931     5.216     6.307     2.000    -3.205    69.965     0.076     8.079    31.777     0.715  1024.760   139.931    49.042
       252   142.017     5.283     6.352     2.006    -3.154    71.009     0.076     8.100    31.780     0.704  1024.760   142.017    49.591
       253   143.952     5.346     6.393     2.011    -3.108    71.976     0.076     8.120    31.783     0.695  1024.759   143.952    50.088
       254   145.770     5.405     6.431     2.016    -3.067    72.885     0.077     8.140    31.786     0.686  1024.758   145.770    50.546
       255   147.499     5.462     6.466     2.020    -3.029    73.750     0.077     8.159    31.788     0.678  1024.758   147.499    50.976
       256   149.157     5.517     6.500     2.024    -2.993    74.579     0.077     8.178    31.791     0.670  1024.757   149.157    51.382
       257   150.757     5.571     6.532     2.028    -2.960    75.378     0.078     8.197    31.793     0.663  1024.756   150.757    51.768
------------------------- merging happened ---------------------------
       258   152.306     5.623     6.562     2.031    -2.928    76.153     0.078     8.215    31.795     0.657  1024.755   152.306    52.138
       259   153.668     5.672     6.591     2.035    -2.899    76.153     0.078     8.232    31.797     0.651  1024.754   153.668    52.494
       260   155.017     5.722     6.621     2.038    -2.869    76.326     0.078     8.248    31.799     0.645  1024.753   155.017    52.859
       261   156.331     5.774     6.651     2.042    -2.839    77.135     0.078     8.265    31.800     0.640  1024.752   156.331    53.220
       262   157.626     5.828     6.680     2.045    -2.811    77.943     0.079     8.281    31.802     0.634  1024.750   157.626    53.574
       263   158.845     5.881     6.708     2.048    -2.784    78.717     0.079     8.297    31.803     0.630  1024.749   158.845    53.917
       264   160.015     5.935     6.736     2.051    -2.758    79.469     0.079     8.312    31.805     0.625  1024.748   160.015    54.255
       265   161.123     5.987     6.763     2.055    -2.732    80.191     0.079     8.326    31.806     0.621  1024.747   161.123    54.588
       266   162.186     6.039     6.790     2.058    -2.707    80.892     0.080     8.341    31.807     0.617  1024.746   162.186    54.918
       267   163.197     6.091     6.816     2.060    -2.683    81.569     0.080     8.354    31.809     0.613  1024.745   163.197    55.243
       268   164.164     6.142     6.843     2.063    -2.659    82.224     0.080     8.367    31.810     0.609  1024.744   164.164    55.565
       269   165.084     6.193     6.869     2.066    -2.637    82.857     0.080     8.380    31.811     0.606  1024.743   165.084    55.882
       270   165.961     6.243     6.894     2.069    -2.614    83.469     0.080     8.392    31.812     0.603  1024.742   165.961    56.195
       271   166.796     6.292     6.920     2.072    -2.593    84.059     0.080     8.404    31.813     0.600  1024.741   166.796    56.504
       272   167.592     6.340     6.945     2.074    -2.571    84.629     0.081     8.415    31.814     0.597  1024.740   167.592    56.809
       273   168.349     6.388     6.969     2.077    -2.551    85.180     0.081     8.426    31.815     0.594  1024.739   168.349    57.109
       274   169.069     6.435     6.993     2.080    -2.531    85.712     0.081     8.436    31.815     0.591  1024.738   169.069    57.405
---------------------------- Plume surfaces --------------------------
       275   169.754     6.481     7.017     2.082    -2.512    86.225     0.081     8.446    31.816     0.589  1024.737   169.754    57.696
-------------------- Starting Farfield Calculations --------------------
Farfield dispersion based on wastefield width of :     109.59 (m)
4/3 Power Law based Eddy Diffusivity is used:
  Dilution     Width  Distance      Time     Conc.    Bckgrd
        ()       (m)       (m)    (hrs.)    (mg/L)    (mg/L)
   169.754   109.610     7.320     0.000     0.589     0.000
   169.754   109.850     8.000     0.004     0.575     0.000
   169.754   110.204     9.000     0.010     0.575     0.000
   169.754   110.558    10.000     0.016     0.575     0.000
   169.754   110.913    11.000     0.021     0.575     0.000
   169.754   111.268    12.000     0.027     0.575     0.000
   169.754   111.618    13.000     0.033     0.575     0.000
   169.754   111.969    14.000     0.038     0.575     0.000
   169.754   112.320    15.000     0.044     0.575     0.000
   169.754   112.671    16.000     0.049     0.575     0.000
   169.754   113.023    17.000     0.055     0.575     0.000
   169.754   113.373    18.000     0.061     0.575     0.000
   169.754   113.724    19.000     0.066     0.575     0.000
   169.754   114.075    20.000     0.072     0.575     0.000
   169.754   114.426    21.000     0.077     0.575     0.000
   169.754   114.778    22.000     0.083     0.575     0.000
   169.754   115.129    23.000     0.089     0.575     0.000
   169.754   115.481    24.000     0.094     0.575     0.000
   169.754   115.833    25.000     0.100     0.575     0.000
   169.754   116.186    26.000     0.105     0.575     0.000
   169.755   116.538    27.000     0.111     0.575     0.000
   169.755   116.891    28.000     0.116     0.575     0.000
   169.755   117.244    29.000     0.122     0.575     0.000
   169.756   117.598    30.000     0.128     0.575     0.000
   169.757   117.952    31.000     0.133     0.575     0.000
   169.758   118.306    32.000     0.139     0.575     0.000
   169.759   118.660    33.000     0.144     0.575     0.000
   169.762   119.015    34.000     0.150     0.575     0.000
   169.765   119.370    35.000     0.155     0.575     0.000
   169.768   119.725    36.000     0.161     0.575     0.000
   169.773   120.081    37.000     0.167     0.575     0.000
   169.779   120.436    38.000     0.172     0.575     0.000
   169.786   120.793    39.000     0.178     0.575     0.000
   169.795   121.149    40.000     0.183     0.575     0.000
   169.805   121.506    41.000     0.189     0.575     0.000
   169.817   121.863    42.000     0.194     0.575     0.000
   169.831   122.221    43.000     0.200     0.575     0.000
   169.847   122.578    44.000     0.205     0.575     0.000
   169.866   122.937    45.000     0.211     0.575     0.000
   169.887   123.295    46.000     0.217     0.574     0.000
   169.910   123.654    47.000     0.222     0.574     0.000
   169.937   124.013    48.000     0.228     0.574     0.000
   169.966   124.372    49.000     0.233     0.574     0.000
   169.999   124.732    50.000     0.239     0.574     0.000
   170.035   125.092    51.000     0.244     0.574     0.000
   170.074   125.452    52.000     0.250     0.574     0.000
   170.116   125.813    53.000     0.255     0.574     0.000
   170.162   126.174    54.000     0.261     0.574     0.000
   170.212   126.535    55.000     0.267     0.574     0.000
   170.266   126.897    56.000     0.272     0.573     0.000
   170.323   127.258    57.000     0.278     0.573     0.000
   170.385   127.621    58.000     0.283     0.573     0.000
   170.450   127.983    59.000     0.289     0.573     0.000
   170.520   128.346    60.000     0.294     0.573     0.000
   170.593   128.709    61.000     0.300     0.572     0.000
   170.671   129.072    62.000     0.305     0.572     0.000
   170.753   129.436    63.000     0.311     0.572     0.000
   170.839   129.800    64.000     0.317     0.572     0.000
   170.930   130.165    65.000     0.322     0.572     0.000
   171.024   130.529    66.000     0.328     0.571     0.000
   171.123   130.894    67.000     0.333     0.571     0.000
   171.227   131.259    68.000     0.339     0.571     0.000
   171.334   131.625    69.000     0.344     0.571     0.000
   171.446   131.991    70.000     0.350     0.571     0.000
   171.562   132.357    71.000     0.355     0.569     0.000
   171.682   132.724    72.000     0.361     0.569     0.000
   171.807   133.090    73.000     0.366     0.569     0.000
   171.936   133.457    74.000     0.372     0.569     0.000
   172.069   133.825    75.000     0.378     0.569     0.000
   172.207   134.193    76.000     0.383     0.567     0.000
   172.348   134.561    77.000     0.389     0.567     0.000
   172.494   134.929    78.000     0.394     0.567     0.000
   172.644   135.298    79.000     0.400     0.567     0.000
   172.798   135.667    80.000     0.405     0.567     0.000
   172.956   136.036    81.000     0.411     0.565     0.000
   173.117   136.405    82.000     0.416     0.565     0.000
   173.283   136.775    83.000     0.422     0.565     0.000
   173.453   137.145    84.000     0.427     0.565     0.000
   173.627   137.516    85.000     0.433     0.562     0.000
   173.805   137.887    86.000     0.439     0.562     0.000
   173.986   138.258    87.000     0.444     0.562     0.000
   174.171   138.629    88.000     0.450     0.562     0.000
   174.360   139.001    89.000     0.455     0.562     0.000
   174.553   139.373    90.000     0.461     0.560     0.000
   174.749   139.745    91.000     0.466     0.560     0.000
   174.949   140.118    92.000     0.472     0.560     0.000
   175.153   140.491    93.000     0.477     0.560     0.000
   175.360   140.864    94.000     0.483     0.560     0.000
   175.570   141.238    95.000     0.488     0.557     0.000
   175.784   141.612    96.000     0.494     0.557     0.000
   176.001   141.986    97.000     0.499     0.557     0.000
   176.222   142.360    98.000     0.505     0.557     0.000
   176.445   142.735    99.000     0.511     0.557     0.000
   176.673   143.110   100.000     0.516     0.553     0.000
   176.903   143.486   101.000     0.522     0.553     0.000
............................. Reached Chronic Mixing Zone ..........................
   177.136   143.861   102.000     0.527     0.553     0.000
   177.373   144.237   103.000     0.533     0.553     0.000
   177.612   144.614   104.000     0.538     0.553     0.000
   177.855   144.990   105.000     0.544     0.550     0.000
   178.101   145.367   106.000     0.549     0.550     0.000
   178.349   145.745   107.000     0.555     0.550     0.000
   178.601   146.122   108.000     0.560     0.550     0.000
   178.855   146.500   109.000     0.566     0.550     0.000
   179.112   146.878   110.000     0.571     0.546     0.000
   179.372   147.257   111.000     0.577     0.546     0.000
   179.635   147.636   112.000     0.582     0.546     0.000
   179.900   148.015   113.000     0.588     0.546     0.000
   180.168   148.394   114.000     0.594     0.546     0.000
   180.438   148.774   115.000     0.599     0.542     0.000
   180.712   149.154   116.000     0.605     0.542     0.000
   180.987   149.534   117.000     0.610     0.542     0.000
   181.266   149.915   118.000     0.616     0.542     0.000
   181.546   150.296   119.000     0.621     0.542     0.000
   181.830   150.677   120.000     0.627     0.538     0.000
   182.115   151.059   121.000     0.632     0.538     0.000
   182.403   151.441   122.000     0.638     0.538     0.000
   182.693   151.823   123.000     0.643     0.538     0.000
   182.986   152.205   124.000     0.649     0.534     0.000
   183.281   152.588   125.000     0.654     0.534     0.000
   183.578   152.971   126.000     0.660     0.534     0.000
   183.877   153.355   127.000     0.665     0.534     0.000
   184.179   153.738   128.000     0.671     0.534     0.000
   184.482   154.122   129.000     0.677     0.530     0.000
   184.788   154.507   130.000     0.682     0.530     0.000
   185.096   154.892   131.000     0.688     0.530     0.000
   185.406   155.276   132.000     0.693     0.530     0.000
   185.718   155.662   133.000     0.699     0.530     0.000
   186.032   156.047   134.000     0.704     0.526     0.000
   186.347   156.433   135.000     0.710     0.526     0.000
   186.665   156.819   136.000     0.715     0.526     0.000
   186.985   157.206   137.000     0.721     0.526     0.000
   187.307   157.593   138.000     0.726     0.526     0.000
   187.630   157.980   139.000     0.732     0.522     0.000
   187.956   158.367   140.000     0.737     0.522     0.000
   188.283   158.755   141.000     0.743     0.522     0.000
   188.612   159.143   142.000     0.748     0.522     0.000
   188.942   159.532   143.000     0.754     0.522     0.000
   189.275   159.920   144.000     0.759     0.517     0.000
   189.609   160.309   145.000     0.765     0.517     0.000
   189.945   160.699   146.000     0.770     0.517     0.000
   190.283   161.088   147.000     0.776     0.517     0.000
   190.622   161.478   148.000     0.782     0.517     0.000
   190.963   161.868   149.000     0.787     0.513     0.000
   191.305   162.259   150.000     0.793     0.513     0.000
   191.649   162.650   151.000     0.798     0.513     0.000
   191.995   163.041   152.000     0.804     0.513     0.000
   192.342   163.432   153.000     0.809     0.513     0.000
   192.691   163.824   154.000     0.815     0.509     0.000
   193.041   164.216   155.000     0.820     0.509     0.000
   193.393   164.608   156.000     0.826     0.509     0.000
   193.746   165.001   157.000     0.831     0.509     0.000
   194.101   165.394   158.000     0.837     0.509     0.000
   194.457   165.787   159.000     0.842     0.504     0.000
   194.815   166.181   160.000     0.848     0.504     0.000
   195.174   166.575   161.000     0.853     0.504     0.000
   195.534   166.969   162.000     0.859     0.504     0.000
   195.896   167.363   163.000     0.864     0.500     0.000
   196.259   167.758   164.000     0.870     0.500     0.000
   196.623   168.153   165.000     0.875     0.500     0.000
   196.989   168.549   166.000     0.881     0.500     0.000
   197.356   168.945   167.000     0.887     0.500     0.000
   197.724   169.341   168.000     0.892     0.495     0.000
   198.094   169.737   169.000     0.898     0.495     0.000
   198.465   170.134   170.000     0.903     0.495     0.000
   198.837   170.531   171.000     0.909     0.495     0.000
   199.210   170.928   172.000     0.914     0.495     0.000
   199.585   171.325   173.000     0.920     0.491     0.000
   199.961   171.723   174.000     0.925     0.491     0.000
   200.338   172.121   175.000     0.931     0.491     0.000
   200.716   172.520   176.000     0.936     0.491     0.000
   201.095   172.919   177.000     0.942     0.491     0.000
   201.476   173.318   178.000     0.947     0.487     0.000
   201.858   173.717   179.000     0.953     0.487     0.000
   202.240   174.117   180.000     0.958     0.487     0.000
   202.624   174.517   181.000     0.964     0.487     0.000
   203.009   174.917   182.000     0.969     0.487     0.000
   203.396   175.318   183.000     0.975     0.482     0.000
   203.783   175.718   184.000     0.980     0.482     0.000
   204.171   176.120   185.000     0.986     0.482     0.000
   204.560   176.521   186.000     0.992     0.482     0.000
   204.951   176.923   187.000     0.997     0.482     0.000
   205.342   177.325   188.000     1.003     0.478     0.000
   205.735   177.728   189.000     1.008     0.478     0.000
   206.128   178.130   190.000     1.014     0.478     0.000
   206.523   178.533   191.000     1.019     0.478     0.000
   206.918   178.937   192.000     1.025     0.478     0.000
   207.315   179.340   193.000     1.030     0.473     0.000
   207.712   179.744   194.000     1.036     0.473     0.000
   208.111   180.148   195.000     1.041     0.473     0.000
   208.510   180.553   196.000     1.047     0.473     0.000
   208.911   180.958   197.000     1.052     0.473     0.000
   209.312   181.363   198.000     1.058     0.469     0.000
   209.714   181.768   199.000     1.063     0.469     0.000
   210.117   182.174   200.000     1.069     0.469     0.000
   210.521   182.580   201.000     1.074     0.469     0.000
   210.926   182.986   202.000     1.080     0.469     0.000
   211.332   183.393   203.000     1.085     0.465     0.000
   211.739   183.800   204.000     1.091     0.465     0.000
   212.147   184.207   205.000     1.096     0.465     0.000
   212.555   184.615   206.000     1.102     0.465     0.000
   212.965   185.022   207.000     1.108     0.461     0.000
   213.375   185.430   208.000     1.113     0.461     0.000
   213.786   185.839   209.000     1.119     0.461     0.000
   214.198   186.248   210.000     1.124     0.461     0.000
   214.611   186.657   211.000     1.130     0.461     0.000
   215.025   187.066   212.000     1.135     0.456     0.000
   215.439   187.476   213.000     1.141     0.456     0.000
   215.855   187.885   214.000     1.146     0.456     0.000
   216.271   188.296   215.000     1.152     0.456     0.000
   216.688   188.706   216.000     1.157     0.456     0.000
   217.106   189.117   217.000     1.163     0.452     0.000
   217.524   189.528   218.000     1.168     0.452     0.000
   217.943   189.940   219.000     1.174     0.452     0.000
   218.364   190.351   220.000     1.179     0.452     0.000
   218.784   190.763   221.000     1.185     0.452     0.000
   219.206   191.175   222.000     1.190     0.448     0.000
   219.629   191.588   223.000     1.196     0.448     0.000
   220.052   192.001   224.000     1.201     0.448     0.000
   220.476   192.414   225.000     1.207     0.448     0.000
   220.900   192.828   226.000     1.212     0.448     0.000
   221.326   193.241   227.000     1.218     0.444     0.000
   221.752   193.655   228.000     1.224     0.444     0.000
   222.179   194.070   229.000     1.229     0.444     0.000
   222.606   194.484   230.000     1.235     0.444     0.000
   223.035   194.899   231.000     1.240     0.444     0.000
   223.464   195.315   232.000     1.246     0.440     0.000
   223.893   195.730   233.000     1.251     0.440     0.000
   224.324   196.146   234.000     1.257     0.440     0.000
   224.755   196.562   235.000     1.262     0.440     0.000
   225.187   196.979   236.000     1.268     0.440     0.000
   225.619   197.395   237.000     1.273     0.436     0.000
   226.052   197.812   238.000     1.279     0.436     0.000
   226.486   198.230   239.000     1.284     0.436     0.000
   226.921   198.647   240.000     1.290     0.436     0.000
   227.356   199.065   241.000     1.295     0.436     0.000
   227.792   199.483   242.000     1.301     0.432     0.000
   228.228   199.902   243.000     1.306     0.432     0.000
   228.666   200.321   244.000     1.312     0.432     0.000
   229.103   200.740   245.000     1.317     0.432     0.000
   229.542   201.159   246.000     1.323     0.432     0.000
   229.981   201.579   247.000     1.329     0.428     0.000
   230.421   201.999   248.000     1.334     0.428     0.000
   230.861   202.419   249.000     1.340     0.428     0.000
   231.302   202.839   250.000     1.345     0.428     0.000
   231.744   203.260   251.000     1.351     0.424     0.000
   232.186   203.681   252.000     1.356     0.424     0.000
   232.629   204.103   253.000     1.362     0.424     0.000
   233.073   204.524   254.000     1.367     0.424     0.000
   233.517   204.946   255.000     1.373     0.424     0.000
   233.961   205.369   256.000     1.378     0.420     0.000
   234.407   205.791   257.000     1.384     0.420     0.000
   234.853   206.214   258.000     1.389     0.420     0.000
   235.299   206.637   259.000     1.395     0.420     0.000
   235.746   207.061   260.000     1.400     0.420     0.000
   236.194   207.484   261.000     1.406     0.416     0.000
   236.642   207.909   262.000     1.411     0.416     0.000
   237.091   208.333   263.000     1.417     0.416     0.000
   237.541   208.757   264.000     1.422     0.416     0.000
   237.991   209.182   265.000     1.428     0.416     0.000
   238.441   209.607   266.000     1.433     0.412     0.000
   238.892   210.033   267.000     1.439     0.412     0.000
   239.344   210.459   268.000     1.445     0.412     0.000
   239.796   210.885   269.000     1.450     0.412     0.000
   240.249   211.311   270.000     1.456     0.412     0.000
   240.703   211.738   271.000     1.461     0.409     0.000
   241.157   212.165   272.000     1.467     0.409     0.000
   241.611   212.592   273.000     1.472     0.409     0.000
   242.066   213.019   274.000     1.478     0.409     0.000
   242.522   213.447   275.000     1.483     0.409     0.000
   242.978   213.875   276.000     1.489     0.405     0.000
   243.435   214.303   277.000     1.494     0.405     0.000
   243.892   214.732   278.000     1.500     0.405     0.000
   244.350   215.161   279.000     1.505     0.405     0.000
   244.808   215.590   280.000     1.511     0.405     0.000
   245.267   216.020   281.000     1.516     0.401     0.000
   245.727   216.450   282.000     1.522     0.401     0.000
   246.186   216.880   283.000     1.527     0.401     0.000
   246.647   217.310   284.000     1.533     0.401     0.000
   247.108   217.741   285.000     1.538     0.401     0.000
   247.569   218.172   286.000     1.544     0.398     0.000
   248.031   218.603   287.000     1.549     0.398     0.000
   248.494   219.034   288.000     1.555     0.398     0.000
   248.957   219.466   289.000     1.561     0.398     0.000
   249.420   219.898   290.000     1.566     0.398     0.000
   249.884   220.330   291.000     1.572     0.394     0.000
   250.349   220.763   292.000     1.577     0.394     0.000
   250.814   221.196   293.000     1.583     0.394     0.000
   251.279   221.629   294.000     1.588     0.394     0.000
   251.745   222.063   295.000     1.594     0.391     0.000
   252.212   222.496   296.000     1.599     0.391     0.000
   252.679   222.931   297.000     1.605     0.391     0.000
   253.146   223.365   298.000     1.610     0.391     0.000
   253.614   223.799   299.000     1.616     0.391     0.000
   254.083   224.234   300.000     1.621     0.387     0.000
   254.552   224.670   301.000     1.627     0.387     0.000
   255.021   225.105   302.000     1.632     0.387     0.000
   255.491   225.541   303.000     1.638     0.387     0.000
   255.962   225.977   304.000     1.643     0.387     0.000
   256.433   226.413   305.000     1.649     0.384     0.000
   256.904   226.850   306.000     1.654     0.384     0.000
   257.376   227.287   307.000     1.660     0.384     0.000
   257.848   227.724   308.000     1.666     0.384     0.000
   258.321   228.161   309.000     1.671     0.384     0.000
   258.794   228.599   310.000     1.677     0.380     0.000
   259.268   229.037   311.000     1.682     0.380     0.000
   259.742   229.475   312.000     1.688     0.380     0.000
   260.216   229.914   313.000     1.693     0.380     0.000
   260.692   230.353   314.000     1.699     0.380     0.000
   261.167   230.792   315.000     1.704     0.377     0.000
   261.643   231.231   316.000     1.710     0.377     0.000
   262.120   231.671   317.000     1.715     0.377     0.000
   262.596   232.111   318.000     1.721     0.377     0.000
   263.074   232.551   319.000     1.726     0.377     0.000
   263.552   232.992   320.000     1.732     0.374     0.000
   264.030   233.433   321.000     1.737     0.374     0.000
   264.509   233.874   322.000     1.743     0.374     0.000
   264.988   234.315   323.000     1.748     0.374     0.000
